lev;sys;numbis;text;vw
;;;...Bibliotheca Hertziana;
;;;...Systematischer Standortkatalog;
1;A ;;...Handbücherei;
2;Aa ;;......Allgemeine Nachschlagewerke;
3;Aa xxx;yyy;.........Lexika;
4;Aa 40;;............Enzyklopädien und Sachlexika;
3;Aa xxx;yyy;.........Bibliographien;
4;Aa 60;;............Bibliographien der Bibliographien;
4;Aa 65;;"............Bibliographien der ""verkleideten Literatur"" (Anonymen- und Pseudonymenlexika; falsches, fehlendes oder fingiertes Impressum)";
4;Aa 70;;............internationale Allgemeinbibliographien;
4;Aa 75;;............idem (= internationale Allgemeinbibliographien), nur Zeitschriften;
4;Aa xxx;yyy;............Nationale Allgemeinbibliographien;
5;Aa 80;;...............italienische;
5;Aa 83;;...............idem (= italienische), nur Zeitschriften;
5;Aa 85;;...............deutsche;
5;Aa 87;;...............idem (= deutsche), nur Zeitschriften;
5;Aa 89;;...............französische;
5;Aa 91;;...............idem (= französische), nur Zeitschriften;
5;Aa 93;;...............englisch-amerikanische;
5;Aa 95;;...............idem (= englisch-amerikanische), nur Zeitschriften;
5;Aa 97;;...............sonstige;
5;Aa 99;;...............idem (= sonstige), nur Zeitschriften;
4;Aa xxx;yyy;............Bibliographien zur Landeskunde;
5;Aa 110;;...............Italien;
5;Aa 120;124;...............mitteleuropäische Länder;
5;Aa 126;134;...............westeuropäische Länder;
5;Aa 136;138;...............südeuropäische Länder;
5;Aa 140;146;...............nordeuropäische Länder;
5;Aa 148;152;...............osteuropäische Länder;
5;Aa 154;164;...............Balkan-Länder;
5;Aa 170;;...............außereuropäische Kontinente allgemein;
5;Aa 172;;...............Asien allgemein;
5;Aa 174;;...............Vorderasien;
5;Aa 176;;...............Ostasien;
5;Aa 178;;...............Afrika;
5;Aa 180;186;...............Amerika;
5;Aa 188;;...............Australien und Südsee (Ozeanien);
3;Aa xxx;yyy;.........Biographische Lexika;
4;Aa 200;;............international;
4;Aa 210;;............Italien;
4;Aa 220;224;............mitteleuropäische Länder;
4;Aa 226;234;............westeuropäische Länder;
4;Aa 236;238;............südeuropäische Länder;
4;Aa 240;246;............nordeuropäische Länder;
4;Aa 248;252;............osteuropäische Länder;
4;Aa 254;264;............Balkan-Länder;
4;Aa 270;;............außereuropäische Kontinente allgemein;
4;Aa 272;;............Asien allgemein;
4;Aa 274;;............Vorderasien;
4;Aa 276;;............Ostasien;
4;Aa 278;;............Afrika;
4;Aa 280;286;............Amerika;
4;Aa 288;;............Australien und Südsee (Ozeanien);
3;Aa xxx;yyy;.........Adreßbücher wissenschaftlicher Gesellschaften bzw. Institutionen;
4;Aa 300;;............international;
4;Aa 301;303;............MINERVA. Internationales Verzeichnis wissenschaftlicher Institutionen (1911 ff.);
4;Aa 310;;............Italien;
4;Aa 315;;............Rom;
4;Aa 320;324;............mitteleuropäische Länder;
4;Aa 326;334;............westeuropäische Länder;
4;Aa 336;338;............südeuropäische Länder;
4;Aa 340;346;............nordeuropäische Länder;
4;Aa 348;352;............osteuropäische Länder;
4;Aa 354;364;............Balkan-Länder;
4;Aa 370;;............außereuropäische Kontinente allgemein;
4;Aa 372;;............Asien allgemein;
4;Aa 374;;............Vorderasien;
4;Aa 376;;............Ostasien;
4;Aa 378;;............Afrika;
4;Aa 380;386;............Amerika;
4;Aa 388;;............Australien und Südsee (Ozeanien);
3;Aa xxx;yyy;.........Sonstiges;
4;Aa 400;;............ausgewählte Handbücher;
4;Aa 501;512;............Handbuch der klassischen Altertumswissenschaft (1913 ff.);
4;Aa 601;604;............ANRW. Aufstieg und Niedergang der römischen Welt (1972 ff.);
2;Ab ;;......Kunstwissenschaft;
3;Ab xxx;yyy;.........Enzyklopädien und Sachlexika;
4;Ab xxx;yyy;............Enzyklopädien und Sachlexika zur internationalen Kunst;
5;Ab 20;;...............allgemein (oder mehrere Kunstgattungen);
5;Ab 30;;...............Architektur;
5;Ab 40;;...............Plastik;
5;Ab 50;;...............Malerei und Graphik (auch Buchmalerei);
5;Ab 60;;...............Kunstgewerbe;
5;Ab 70;;...............Ornament;
5;Ab 80;;...............Ikonographie;
4;Ab xxx;yyy;............Enzyklopädien und Sachlexika zur Kunst einzelner Länder;
5;Ab 100;;...............Italien;
5;Ab 104;112;...............mitteleuropäische Länder;
5;Ab 116;124;...............westeuropäische Länder;
5;Ab 128;;...............südeuropäische Länder;
5;Ab 132;;...............nordeuropäische Länder;
5;Ab 136;;...............osteuropäische Länder;
5;Ab 140;;...............Balkan-Länder;
5;Ab 144;;...............außereuropäische Kontinente allgemein;
5;Ab 148;;...............Asien allgemein;
5;Ab 152;;...............Vorderasien;
5;Ab 156;;...............Ostasien;
5;Ab 160;;...............Afrika;
5;Ab 164;176;...............Amerika;
5;Ab 180;;...............Australien und Südsee (Ozeanien);
3;Ab xxx;yyy;.........Kunst-Bibliographien;
4;Ab xxx;yyy;............Bibliographien zur internationalen Kunst;
5;Ab 220;;...............allgemein (oder mehrere Kunstgattungen);
5;Ab 230;;...............Architektur;
5;Ab 240;;...............Plastik;
5;Ab 250;;...............Malerei und Graphik (auch Buchmalerei);
5;Ab 260;;...............Kunstgewerbe;
5;Ab 270;;...............Ornament;
5;Ab 280;;...............Ikonographie;
4;Ab xxx;yyy;............Bibliographien zur Kunst Italiens;
5;Ab 300;;...............Italien allgemein;
5;Ab 303;;...............Oberitalien;
5;Ab 306;;...............Piemont;
5;Ab 309;;...............Lombardei;
5;Ab 312;;...............Südtirol (Provincia di Bolzano);
5;Ab 315;;...............Le Tre Venezie (ohne Südtirol speziell);
5;Ab 318;;...............Ligurien;
5;Ab 321;;...............Emilia und Romagna (einschließlich San Marino);
5;Ab 324;;...............Mittelitalien;
5;Ab 327;;...............Toskana;
5;Ab 330;;...............Marken;
5;Ab 333;;...............Umbrien;
5;Ab 336;;...............Latium;
5;Ab 339;;...............Unteritalien (auch mit Sizilien);
5;Ab 342;;...............Abruzzen und Molise;
5;Ab 345;;...............Kampanien;
5;Ab 348;;...............Apulien;
5;Ab 351;;...............Basilicata und Kalabrien;
5;Ab 354;;...............Sizilien (auch mit Inseln);
5;Ab 357;;...............Inseln (ohne Sizilien);
5;Ab 360;;...............Sardinien;
5;Ab 363;;...............Korsika;
5;Ab 366;;...............sonstige einzelne Inseln (Malta etc.);
4;Ab xxx;yyy;............Bibliographien zur Kunst sonstiger einzelner Länder;
5;Ab 400;404;...............mitteleuropäische Länder;
5;Ab 406;414;...............westeuropäische Länder;
5;Ab 416;418;...............südeuropäische Länder;
5;Ab 420;426;...............nordeuropäische Länder;
5;Ab 428;432;...............osteuropäische Länder;
5;Ab 434;444;...............Balkan-Länder;
5;Ab 450;;...............außereuropäische Kontinente allgemein;
5;Ab 452;;...............Asien allgemein;
5;Ab 454;;...............Vorderasien;
5;Ab 456;;...............Ostasien;
5;Ab 458;;...............Afrika;
5;Ab 460;466;...............Amerika;
5;Ab 468;;...............Australien und Südsee (Ozeanien);
3;Ab xxx;yyy;.........Kunstgelehrten-Lexika und Kunstadreßbücher;
4;Ab 500;;............interkontinental;
4;Ab 505;;............Europa allgemein;
4;Ab 510;;............Italien;
4;Ab 520;524;............mitteleuropäische Länder;
4;Ab 526;534;............westeuropäische Länder;
4;Ab 536;538;............südeuropäische Länder;
4;Ab 540;546;............nordeuropäische Länder;
4;Ab 548;552;............osteuropäische Länder;
4;Ab 554;564;............Balkan-Länder;
4;Ab 570;;............außereuropäische Kontinente allgemein;
4;Ab 572;;............Asien allgemein;
4;Ab 574;;............Vorderasien;
4;Ab 576;;............Ostasien;
4;Ab 578;;............Afrika;
4;Ab 580;586;............Amerika;
4;Ab 588;;............Australien und Südsee (Ozeanien);
3;Ab xxx;yyy;.........Künstlerlexika;
4;Ab xxx;yyy;............Künstlerlexika international;
5;Ab 620;;...............allgemein (oder mehrere Kunstgattungen);
5;Ab 630;;...............Architekten;
5;Ab 640;;...............Bildhauer;
5;Ab 650;;...............Maler und Graphiker (auch Miniaturisten);
5;Ab 660;;...............Kunstgewerbler;
4;Ab xxx;yyy;............Künstlerlexika Italien (allgemein und einzelne Gattungen);
5;Ab 700;;...............Italien gesamt;
5;Ab 703;;...............Oberitalien;
5;Ab 706;;...............Piemont;
5;Ab 709;;...............Lombardei;
5;Ab 712;;...............Südtirol (Provincia di Bolzano);
5;Ab 715;;...............Le Tre Venezie (ohne Südtirol speziell);
5;Ab 718;;...............Ligurien;
5;Ab 721;;...............Emilia und Romagna (einschließlich San Marino);
5;Ab 724;;...............Mittelitalien;
5;Ab 727;;...............Toskana;
5;Ab 730;;...............Marken;
5;Ab 733;;...............Umbrien;
5;Ab 736;;...............Latium;
5;Ab 739;;...............Unteritalien (auch mit Sizilien);
5;Ab 742;;...............Abruzzen und Molise;
5;Ab 745;;...............Kampanien;
5;Ab 748;;...............Apulien;
5;Ab 751;;...............Basilicata und Kalabrien;
5;Ab 754;;...............Sizilien (auch mit Inseln);
5;Ab 757;;...............Inseln (ohne Sizilien);
5;Ab 760;;...............Sardinien;
5;Ab 763;;...............Korsika;
5;Ab 766;;...............sonstige einzelne Inseln (Malta etc.);
4;Ab xxx;yyy;............Künstlerlexika übriger Länder (allgemein und einzelne Gattungen);
5;Ab 800;804;...............mitteleuropäische Länder;
5;Ab 806;814;...............westeuropäische Länder;
5;Ab 816;818;...............südeuropäische Länder;
5;Ab 820;826;...............nordeuropäische Länder;
5;Ab 828;832;...............osteuropäische Länder;
5;Ab 834;844;...............Balkan-Länder;
5;Ab 850;;...............außereuropäische Kontinente allgemein;
5;Ab 852;;...............Asien allgemein;
5;Ab 854;;...............Vorderasien;
5;Ab 856;;...............Ostasien;
5;Ab 858;;...............Afrika;
5;Ab 860;866;...............Amerika;
5;Ab 868;;...............Australien und Südsee (Ozeanien);
3;Ab xxx;yyy;.........Spezielle Reisehandbücher ;"jeweils nur die neueste Auflage; sonst unter Be"
4;Ab 1000;;............Guida d'Italia (Touring Club Italiano);
4;Ab 1100;;............Reclams Kunstführer Italien;
4;Ab 1200;;............Buchowiecki, Handbuch der Kirchen Roms;
3;Ab xxx;yyy;.........Kunst-Dokumentationen (Inhaltserschließung von kunstwissenschaftlicher Literatur);
4;Ab xxx;yyy;............Dokumentationen zur internationalen Kunst;
5;Ab 2220;;...............allgemein (oder mehrere Kunstgattungen);
5;Ab 2230;;...............Architektur;
5;Ab 2240;;...............Plastik;
5;Ab 2250;;...............Malerei und Graphik (auch Buchmalerei);
5;Ab 2260;;...............Kunstgewerbe;
5;Ab 2270;;...............Ornament;
5;Ab 2280;;...............Ikonographie;
4;Ab xxx;yyy;............Dokumentationen zur Kunst Italiens;
5;Ab 2300;;...............Italien allgemein;
5;Ab 2303;;...............Oberitalien;
5;Ab 2306;;...............Piemont A;
5;Ab 2309;;...............Lombardei;
5;Ab 2312;;...............Südtirol (Provincia di Bolzano);
5;Ab 2315;;...............Le Tre Venezie (ohne Südtirol speziell);
5;Ab 2318;;...............Ligurien;
5;Ab 2321;;...............Emilia und Romagna (einschließlich San Marino);
5;Ab 2324;;...............Mittelitalien;
5;Ab 2327;;...............Toskana;
5;Ab 2330;;...............Marken;
5;Ab 2333;;...............Umbrien;
5;Ab 2336;;...............Latium;
5;Ab 2339;;...............Unteritalien (auch mit Sizilien);
5;Ab 2342;;...............Abruzzen und Molise;
5;Ab 2345;;...............Kampanien;
5;Ab 2348;;...............Apulien;
5;Ab 2351;;...............Basilicata und Kalabrien;
5;Ab 2354;;...............Sizilien (auch mit Inseln);
5;Ab 2357;;...............Inseln (ohne Sizilien);
5;Ab 2360;;...............Sardinien;
5;Ab 2363;;...............Korsika;
5;Ab 2366;;...............sonstige einzelne Inseln (Malta etc.);
4;Ab xxx;yyy;............Dokumentationen zur Kunst sonstiger einzelner Länder;
5;Ab 2400;2404;...............mitteleuropäische Länder;
5;Ab 2406;2414;...............westeuropäische Länder;
5;Ab 2416;2418;...............südeuropäische Länder;
5;Ab 2420;2426;...............nordeuropäische Länder;
5;Ab 2428;2432;...............osteuropäische Länder;
5;Ab 2434;2444;...............Balkan-Länder;
5;Ab 2450;;...............außereuropäische Kontinente allgemein;
5;Ab 2452;;...............Asien allgemein;
5;Ab 2454;;...............Vorderasien;
5;Ab 2456;;...............Ostasien;
5;Ab 2458;;...............Afrika;
5;Ab 2460;2466;...............Amerika;
5;Ab 2468;;...............Australien und Südsee (Ozeanien);
4;Ab 5000;;............Sonstiges;
2;Ad ;;......Ur- und Frühgeschichte;
3;Ad 50;;.........Enzyklopädien und Sachlexika;
3;Ad 100;;.........Bibliographien;
3;Ad 200;;.........Gelehrtenlexika und Adreßbücher;
3;Ad 300;;.........Künstlerlexika;
3;Ad 500;;.........Sonstiges;
2;Ae ;;......Archäologie;
4;Ae xxx;yyy;............Enzyklopädien und Sachlexika;
5;Ae 50;;...............Archäologie allgemein;
5;Ae 55;;...............vorderasiatische Archäologie (auch Archäologie des Alten Testaments);
5;Ae 60;;...............ägyptische Archäologie (auch Kunst der Hyksos);
5;Ae 65;;...............Archäologie des Zweistromlandes (auch Kunst der Hethiter);
5;Ae 70;;...............griechisch-römische Archäologie (auch mykenische Kunst);
5;Ae 75;;...............etruskische Archäologie;
4;Ae xxx;yyy;............Bibliographien;
5;Ae 100;;...............Archäologie allgemein;
5;Ae 120;;...............vorderasiatische Archäologie (auch Archäologie des Alten Testaments);
5;Ae 130;;...............ägyptische Archäologie (auch Kunst der Hyksos);
5;Ae 140;;...............Archäologie des Zweistromlandes (auch Kunst der Hethiter);
5;Ae 150;;...............griechisch-römische Archäologie (auch mykenische Kunst);
5;Ae 160;;...............etruskische Archäologie;
4;Ae 200;;............Gelehrtenlexika und Adreßbücher;
4;Ae xxx;yyy;............Künstlerlexika;
5;Ae 300;;...............Archäologie allgemein;
5;Ae 320;;...............vorderasiatische Archäologie (auch Archäologie des Alten Testaments);
5;Ae 330;;...............ägyptische Archäologie (auch Kunst der Hyksos);
5;Ae 340;;...............Archäologie des Zweistromlandes (auch Kunst der Hethiter);
5;Ae 350;;...............griechisch-römische Archäologie (auch mykenische Kunst);
5;Ae 360;;...............etruskische Archäologie;
4;Ae 500;;............Sonstiges;
2;Af ;;......Historische Hilfswissenschaften;
4;Af xxx;yyy;............Enzyklopädien und Sachlexika;
5;Af 40;;...............historische Hilfswissenschaften zusammenfassend;
5;Af 45;;...............Paläographie;
5;Af 50;;...............Epigraphik;
5;Af 55;;...............Diplomatik;
5;Af 60;;...............Heraldik und Sphragistik;
5;Af 65;;...............Numismatik;
5;Af 70;;...............Metrologie;
5;Af 75;;...............Chronologie;
5;Af 80;;...............Genealogie;
5;Af 85;;...............Sonstiges;
4;Af xxx;yyy;............Bibliographien;
5;Af 100;;...............historische Hilfswissenschaften zusammenfassend;
5;Af 110;;...............Paläographie;
5;Af 120;;...............Epigraphik;
5;Af 130;;...............Diplomatik;
5;Af 140;;...............Heraldik und Sphragistik;
5;Af 150;;...............Numismatik;
5;Af 160;;...............Metrologie;
5;Af 170;;...............Chronologie;
5;Af 180;;...............Genealogie;
4;Af xxx;yyy;............Gelehrtenlexika und Adreßbücher;
5;Af 200;;...............historische Hilfswissenschaften zusammenfassend;
5;Af 210;;...............Paläographie;
5;Af 220;;...............Epigraphik;
5;Af 230;;...............Diplomatik;
5;Af 240;;...............Heraldik und Sphragistik;
5;Af 250;;...............Numismatik;
5;Af 260;;...............Metrologie;
5;Af 270;;...............Chronologie;
5;Af 280;;...............Genealogie;
4;Af 500;;............Sonstiges;
2;Ag ;;......Buch-, Bibliotheks- und Archivwesen;
4;Ag xxx;yyy;............Gesamtkataloge mehrerer Bibliotheken;
5;Ag 20;;...............international;
5;Ag 22;;...............Italien;
5;Ag 24;;...............Deutschland;
5;Ag 28;;...............sonstige Länder;
4;Ag xxx;yyy;............Gesamtkataloge mehrerer Archive;
5;Ag 30;;...............international;
5;Ag 32;;...............Italien;
5;Ag 34;;...............Deutschland;
5;Ag 38;;...............sonstige Länder;
4;Ag xxx;yyy;............Enzyklopädien und Sachlexika;
5;Ag 50;;...............Buch-, Bibliotheks- und Archivwesen zusammenfassend;
5;Ag 60;;...............Buch- und Verlagswesen;
5;Ag 70;;...............Bibliotheks- und Archivwesen;
4;Ag xxx;yyy;............Bibliographien;
5;Ag 100;;...............Buch-, Bibliotheks- und Archivwesen zusammenfassend;
5;Ag 120;;...............Buch- und Verlagswesen;
5;Ag 140;;...............Bibliotheks- und Archivwesen;
4;Ag 180;;............Bibliophilen-Lexika;
4;Ag xxx;yyy;............Gelehrtenlexika und Adreßbücher;
5;Ag 200;;...............Buch-, Bibliotheks- und Archivwesen zusammenfassend;
5;Ag 220;;...............Buch- und Verlagswesen (moderne Verleger-Lexika);
5;Ag 240;;...............Bibliotheks- und Archivwesen;
4;Ag xxx;yyy;............Historische Buchdrucker- und Verleger-Lexika;
5;Ag 300;;...............international;
5;Ag 320;;...............Italien;
5;Ag 340;;...............Deutschland;
5;Ag 360;;...............sonstige Länder;
4;Ag 500;;............Sonstiges;
