id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV013209454,eng,"Sokol, Stanley S.",The artists of Poland,,by Stanley S. Sokol,"Jefferson, NC [u.a.]",McFarland,2000,,Polen|Künstler,g|s,,
BV013209541,eng,,Journal of the Royal Statistical Society,,,Oxford,Wiley-Blackwell,1952-,,Statistik,s,,
BV013209543,eng,,Annals of mathematical statistics,,Institute of Mathematical Statistics,"Baltimore, Md.",Waverly Press,1930-1972,,Statistik,s,,
BV013209564,eng,,Quarterly publications of the American Statistical Association,,,"Boston, Mass. [u.a.]",,1920-1921,,Statistik,s,,
BV013209575,eng,,Journal of the Royal Statistical Society,,,London,Wiley-Blackwell,1948-,,Statistik,s,,
BV013209595,eng,,Journal of the Royal Statistical Society,,,London,Soc.,1887-1948,,,,,
BV013209604,eng,,Journal of the Statistical Society of London,,,London,Charles Knight,1838-1886,,Statistik,s,,
BV013209605,eng,,Blue & white,,by Martin Lerner. [The Metropolitan Museum of Art],New York,,1978,"Lerner, Martin",China|Blauweißporzellan,g|s,,
BV013209614,eng,,Journal of the Royal Statistical Society,,,London,Wiley-Blackwell,1948-,,Statistik,s,,
BV013209628,eng,,Journal of the Royal Statistical Society,,,London,,1934-1947,,Statistik,s,,
BV013209633,eng,,Statistical science,,,"Hayward, Calif.",Inst.,1986-,,Statistik,s,,
BV013209636,ger,,Majolika,,Kunstgewerbemuseum der Stadt Köln. Bearb. von Brigitte Klesse,Köln,,1966,"Klesse, Brigitte",Museum für Angewandte Kunst Köln|Fayence,b|s,BV040469156,Kunstgewerbemuseum <Köln>: Kataloge des Kunstgewerbemuseums Köln
BV013209646,eng,,The statistician,,,Oxford [u.a.],Blackwell,1962-2003,,Statistik,s,,
BV013209651,eng,,The incorporated statistician,,,London,Assoc.,1950-1961,,Statistik,s,,
BV013209859,eng,"Cross, David A.",A striking likeness,,David A. Cross,,Ashgate,2000,,"Romney, George",p,,
BV013209961,ger,"Le Rider, Jacques",Farben und Wörter,,Jacques Le Rider. Aus dem Franz. von Dirk Weissmann,Wien [u.a.],Böhlau,2000,"Weissmann, Dirk",Farbenlehre,s,,Les couleurs et les mots
BV013209983,ger,"Hesemann, Michael",Die stummen Zeugen von Golgatha,,Michael Hesemann,Kreuzlingen ; München,Hugendubel,2000,,Passion Jesu|Reliquie|Jesus Christus,u|s|p,,
BV013210265,ger,"Jung-Inglessis, Eva-Maria",Die Engel von Rom,,E.-M. Jung-Inglessis,St. Ottilien,EOS-Verl.,2000,,Rom|Kunst,g|s,,
BV013210382,eng,"Pryds, Darleen N.",The king embodies the word,,by Darleen N. Pryds,Leiden ; Boston ; Köln,Brill,2000,,"Robert I. (Neapel, König)|Laienpredigt",p|s,BV000003923,Studies in the history of Christian thought
