id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV037157247,ger,,Tätigkeitsbericht ...,,"Technoseum, Landesmuseum für Technik und Arbeit in Mannheim",Mannheim,Technoseum,2010-,,,,,
BV037157467,ger,"Seybold, Dietrich",Leonardo da Vinci im Orient,,Dietrich Seybold,Köln ; Wien,Böhlau Verlag,2011,,Leonardo (da Vinci)|Orient,p|g,BV035421022,Studien zur Kunst
BV037157474,swe,,Marinerat,,Fotevikens Museum,Höllviken,Fotevikens Maritima Centrum,1997-2000,,,,,
BV037157481,ger,,Lexikon der Musik der Renaissance,,hrsg. von Elisabeth Schmierer,Laaber,Laaber-Verl.,2012,"Schmierer, Elisabeth",,,BV040272353,Handbuch der Musik der Renaissance
BV037157488,ger,,Lexikon der Musik der Renaissance,,hrsg. von Elisabeth Schmierer,Laaber,Laaber-Verl.,2012,"Schmierer, Elisabeth",,,BV040272353,Handbuch der Musik der Renaissance
BV037157491,eng,,The invention of discovery,,ed. by James Dougal Fleming,Farnham [u.a.],Ashgate,2011,"Fleming, James Dougal",Literatur,s,,
BV037157532,eng,"Trodd, Colin",Visions of Blake,,Colin Trodd,Liverpool,Liverpool Univ. Press.,2012,,"Blake, William|Rezeption|Großbritannien",p|s|g,,
BV037157540,eng,"Temple, Nicholas",Renovatio urbis,,Nicholas Temple,London [u.a.],Routledge,2011,,Rom|Architektur|Julius II. (Papst),g|s|p,,
BV037157615,ger,"Toussaint, Gia",Kreuz und Knochen,,Gia Toussaint,Berlin,Reimer,2011,,Christliche Kunst,s,,
BV037163692,eng,,Ovid in the Middle Ages,,ed. by James G. Clark ...,Cambridge [u.a.],Cambridge Univ. Press,2011,"Clark, James G.","Ovidius Naso, Publius|Rezeption",p|s,,
BV037180192,ita,"Freddolini, Francesco",Giovanni Baratta e lo studio al Baluardo,,Francesco Freddolini,Pisa,Ed. PLUS - Pisa Univ. Press,2010,,"Baratta, Giovanni|Italien|Marmorplastik",p|g|s,BV035004838,Studi e fonti per la storia della scultura
BV037180415,ita,"Vasumi Roveri, Elisabetta",Aldo Rossi e L'architettura della città,,Elisabetta Vasumi Roveri,Torino [u.a.],U. Allemandi,2010,,"Rossi, Aldo|Architektur|Rossi, Aldo",u|s|p,,
BV037180440,ita,"Squillace, Francesco",Le chiese di Chiaravalle secondo un atto notarile del 1695,,Francesco Squillace,Soveria Mannelli (Catanzaro),Calabria Letteraria Ed.,2010,,Chiaravalle Centrale|Stadtplanung,g|s,,
BV037180881,ger,"Mensing, Björn",Die Bedeutung der Versöhnungskirche in der Dachauer Gedenkstättenarbeit,,Björn Mensing,,,2010,,Versöhnungskirche,g,,
BV037180884,ger,"Striffler, Helmut",Evangelische Versöhnungskirche in der KZ-Gedenkstätte Dachau,,Helmut Striffler,,,2010,,Versöhnungskirche,g,,
BV037181103,eng,,Highligths of the annual report,,The Ashmolean Museum. University of Oxford,Oxford,,2003-,,,,,
BV037182796,ger,"Schulze, Dietmar",Ludwig II.,,Dietmar Schulze,München,Volk-Verl.,2011,,"Ludwig II. (Bayern, König)|Denkmal",p|s,BV040098507,Schriftenreihe des Bayerischen Landesamtes für Denkmalpflege
BV037182936,ita,"Pinelli, Antonio",Souvenir,,Antonio Pinelli,Roma [u.a.],GLF Ed. Laterza,2010,,Rom|Bildungsreise,g|s,,
BV037182960,ita,"Monte, Antonio",L' arte della tessitura nel Salento,,"Antonio Monte, Maria Grazia Presicce ; presentazione di Eugenio Imbriani",Narni,Crace,2010,"Presicce, Maria Grazia|Imbriani, Eugenio",Penisola Salentina|Weberei,g|s,,
BV037183218,ger,,Die Sammlung des Bankiers Wagener,,"für die Nationalgalerie, Staatliche Museen zu Berlin hrsg. von Udo Kittelmann, Birgit Verwiebe und Angelika Wesenberg",Leipzig,Seemann [u.a.],2011,"Kittelmann, Udo|Verwiebe, Birgit|Wesenberg, Angelika|Waagen, Gustav Friedrich",Sammlung Wagener|Malerei|Nationalgalerie,u|s|b,,
BV037183351,ita,"Zevi, Bruno",Cronache di architettura,,,Bari,Laterza,1978,,"Aalto, Alvar",p,BV000002079,Universale Laterza
BV037183366,ita,"Zevi, Bruno",Cronache di architettura,,,Bari,Laterza,1978,,,,BV000002079,Universale Laterza
BV037183421,ita,"Zevi, Bruno",Cronache di architettura,,,Bari,Laterza,1978,,,,BV000002079,Universale Laterza
BV037183445,ita,"Zevi, Bruno",Cronache di architettura,,,Bari,Laterza,1979,,"Pei, Ieoh M.",p,BV000002079,Universale Laterza
BV037183446,ita,,"Palazzo Colonna, appartamenti",,a cura di Maria Grazia Picozzi. Testi di Daniela Candilio ...,Roma,De Luca,2010,"Picozzi, Maria Grazia|Candilio, Daniela",Palazzo Colonna|Plastik|Colonna (Familie),g|s|p,,
BV037183470,ita,,Monasticon Cartusiense,,hrsg. von Gerhard Schlegel ...,Salzburg,Inst. für Anglistik und Amerikanistik,2010,"Leoncini, Giovanni|Schlegel, Gerhard|Hogg, James",,,BV001889714,Analecta Cartusiana
BV037183473,ita,"Zevi, Bruno",Cronache di architettura,,,Bari,Laterza,1980,,,,BV000002079,Universale Laterza
BV037183495,ita,"Zevi, Bruno",Cronache di architettura,,,Bari,Laterza,1981,,,,BV000002079,Universale Laterza
BV037183583,fre,"Eggenberger, Peter",La construction de l'ancienne abbaye cistercienne de Bonmont,,Peter Eggenberger et Jachen Sarott,Chéserex,Éd. Pro Bono Monte,1988,"Sarott, Jachen",,,BV037183579,Bonmont
BV037183695,ger,"Gruber, Joachim",Boethius,,Joachim Gruber,Stuttgart,Hiersemann,2011,,"Boethius, Anicius Manlius Severinus",p,BV038747220,Standorte in Antike und Christentum
BV037183763,ita,Flavio,Borsus,,Blondus Flavius. A cura di Maria Agata Pincelli,Roma,Ist. Storico Italiano per il Medio Evo,2009,"Pincelli, Maria Agata","Flavio (Biondo)|Borso (Modena und Reggio, Herzog)",u|p,BV037183757,Edizione nazionale delle opere di Biondo Flavio
BV037183781,ita,"Lardo, Cristiana","I mostri dell'Orlando furioso, specchi della natura umana",,Cristiana Lardo,Firenze,<<Le>> Lettere,2012,,"Ariosto, Ludovico|Rezeption",u|s,,
BV037183789,mis,,Pūrṇimā,,,Kāṭhamāḍauṃ,Saṃśodhana-maṇḍala,1964-2000,,,,,
BV037183912,ben,,Aitihasika Citra,,,Calcutta,,1906-1909,,,,,
BV037184361,ger,"Blum, Gerd",Giorgio Vasari,,Gerd Blum,München,Beck,2011,,"Vasari, Giorgio",p,,
BV037184393,ita,"Marucchi, Orazio",Compendio storico e topografico delle Catacombe romane,,Orazio Marucchi,Albano Laziale,Strini,1928,,Rom|Katakombe,g|s,BV038967187,Collana romana
BV037184453,dan,,Pluk fra forskning i Sønderjylland,,Institut for Graenseregionsforskning,Sønderborg,,2009-,,,,,
BV037184476,dan,,Nyt om Arbejdermuseet & Arbejderbevægelsens Bibliotek og Arkiv,,Arbejdermuseets,København,,2004-,,,,,
BV037184496,ger,,TU-Info,,,Graz,,2009-,,,,,
BV037184577,ger,,Beiträge zur Aargauer Geschichte,,,Baden,"Hier und Jetzt, Verl. für Kultur und Geschichte",1978-,,,,,
BV037185188,ger,"Troelenberg, Eva-Maria",Eine Ausstellung wird besichtigt,,Eva-Maria Troelenberg,Frankfurt am Main [u.a.],Lang,2011,,Ausstellung von Meisterwerken Muhammedanischer Kunst (München)|Polenteppich,f|s,BV037477204,Europäische Hochschulschriften - Reihe XXVIII
BV037185223,und,,Monde arabe contemporain,,"IRMAC, Institut de Recherches sur le Monde Arabe Contemporain ; GREMO, Groupe d'Etudes et de Recherches sur le Moyen-Orient",Lyon,IRMAC,1992-,,,,,
BV037185403,ger,,"Reinhold Petermann, Skulpturen, Hugo Jamin, Malerei, Graphik",,Verantw.: Brigitte Briesenick ...,Mainz,Gesellschaft f. Bildende Kunst,1962,"Briesenick, Brigitte|Petermann, Reinhold|Jamin, Hugo","Petermann, Reinhold|Plastik",p|s,,
BV037185610,fre,,Ex quadris lapidibus,,textes réunis et éd. par Yves Gallet,Turnhout,Brepols,2011,"Gallet, Yves|Vergnolle, Éliane","Architektur|Vergnolle, Éliane",s|p,,
BV037185719,eng,"Martin, Gregory",Rubens in London,,Gregory Martin,London,Miller,2011,,"Rubens, Peter Paul|Banqueting Hall|Deckenmalerei",p|g|s,,
BV037185808,eng,,Outfront,,,"Halifax, Nova Scotia",Dalhousie University Press,2006-2010,,,,,
BV037185972,ger,,Von der Geheimhaltung zur internationalen und interdisziplinären Forschung,,hrsg. von Sabine Ehrmann-Herfort und Michael Matheus,Berlin [u.a.],De Gruyter,2010,"Ehrmann-Herfort, Sabine|Matheus, Michael",Deutsches Historisches Institut in Rom Musikgeschichtliche Abteilung|Musikgeschichte,b|s,BV000000971,Bibliothek des Deutschen Historischen Instituts in Rom
BV037186274,ita,,Principi e signori,,"a cura di Guido Arbizzoni, Concetta Bianca, Marcella Peruzzi",Urbino,Accademia Raffaello,2010,"Arbizzoni, Guido|Bianca, Concetta|Peruzzi, Marcella",Italien|Bibliothek,g|s,BV037477226,Collana di studi e testi
BV037186299,eng,,Electronic Melbourne art journal,,,Melbourne,Melbourne Art Network (MAN),2005-,,,,,
BV037186447,ita,,Palazzo Madama a Torino,,a cura di Enrica Pagella e Carlo Viano,Cinisello Balsamo (Milano),Silvana Ed.,2010,"Pagella, Enrica|Viano, Carlo",Palazzo Madama|Adelshaus,g|s,,
