id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV007636500,ita,,Itinerari di Brescia romana,,[Clara Stella ; Luisa Bezzi],Brescia,Grafo,1979,"Stella, Clara|Bezzi Martini, Luisa",Brescia|Ausgrabung,g|s,BV000016205,Quaderni di didattica dei beni culturali
BV007638917,ita,,Donatello,,John Pope-Hennessy,Firenze,Cantini,1985,"Pope-Hennessy, John Wyndham|Donatello",Donatello|Plastik,p|s,,
BV007639345,eng,,Byzantine art in Roumania,,by Marcu Beza,London [u.a.],Batsford,1940,"Beza, Marcu",,,,
BV007639615,ita,"Gandolfi, Vittorio",Il Teatro Farnese di Parma,,Vittorio Gandolfi,Parma,Battei,1980,,"Teatro Farnese|Aleotti, Giovanni Battista|Theaterbau",g|p|s,BV020536338,Collana di architettura
BV007639765,ita,"Cogliati Arano, Luisa",Andrea Solario,,Luisa Cogliati Arano,Milano,E. T. I.,1966,"Solari, Andrea","Solari, Andrea|Bildnis",p|s,,
BV007639900,eng,"Blumenthal, Arthur R.",Giulio Parigi's stage designs,,Arthur R. Blumenthal,New York [u.a.],Garland,1986,,"Parigi, Giulio|Bühnenbild|Florenz",p|s|g,,
BV007640369,ita,"Volbach, Wolfgang Fritz",Stoffe medioevali,,,Città del Vaticano,,1943,,Museo Sacro|Textilkunst,b|s,BV006660942,Museo Sacro <Città del Vaticano>: Guida
BV007641078,ger,"Goldhann, Ludwig",Aesthetische Wanderungen in Sicilien,,,Leipzig,Brockhaus,1855,,,,,
BV007643227,ita,,La carta storico-monumentale dell'Agro Romano,,a cura di S. Bonamico ...,Roma,Ed. di Capitolium,1968,"Bonamico, Sergio",Rom|Topografie,g|s,BV002704990,Capitolium
BV007643791,eng,"Hamilton, Olive",Paradise of exiles,,,London,Deutsch,1974,,Engländer|Toskana,s|g,,
BV007644700,ita,"Del Bravo, Carlo",Il genio di Lorenzo Bartolini,,,Firenze,Studio per Ed. Scelte,1977,,"Bartolini, Lorenzo",p,,
BV007644880,ita,"Angelini, Sandro",Santa S. Maria Maggiore in Bergamo,,,Bergamo,Ist. Ital. d'Arti Grafiche,1959,,"Santa Maria Maggiore|Kunst|Johannes Bonaventura (Kardinal, Heiliger)",g|s|p,,
BV007644882,ita,"Godi, Giovanni",Studi su Giulio Campi,,Giovanni Godi ; Giuseppe Cirillo,Milano,Ed. di Arte Lombarda,1978,"Cirillo, Giuseppe","Campi, Giulio",p,,
BV007645348,ita,,Arte a Roma dal neoclassico al romanticismo,,a cura di Franco Borsi. Testi di Cristina Acidini ...,Roma,Editalia,1979,"Borsi, Franco|Acidini Luchinat, Cristina",Rom|Kunst,g|s,,
BV007645484,ita,,La Chiesa Fiorentina presenta: Capolavori di scultura fiorentina dal XIV al XVII secolo,,a cura di Alessandro Parronchi,Firenze,Becocci,1986,"Parronchi, Alessandro",Florenz|Plastik|Donatello,g|s|p,,
BV007645486,ita,"Bellini, Paolo",L' opera incisa di Pietro Testa,,a cura di Paolo Bellini,Vicenza,Neri Pozza Ed.,1976,"Testa, Pietro","Testa, Pietro|Grafik",p|s,,
BV007645689,ita,,L' Anonimo Magliabechiano,,a cura di Annamaria Ficarra,Napoli,Fiorentino,1968,"Ficarra, Annamaria",Italien|Kunstgeschichtsschreibung,g|s,BV006664863,Collana di studi e testi per la storia dell'arte
BV007645693,ita,,David di bronzo,,a cura di Beatrice Paolozzi Strozzi,Firenze,Museo Nazionale del Bargello,1986,"Paolozzi Strozzi, Beatrice|Donatello",Donatello,u,BV037477689,Lo specchio del Bargello
BV007648159,ger,,Peter Brandl,,,Hamburg,,1987,,"Brandl, Peter|Zeichnung",p|s,BV011105805,"Thomas LeClaire, Kunsthandel: Thomas LeClaire, Kunsthandel"
BV007648162,ita,"Lunelli, Renato",L' arte organaria del Rinascimento in Roma e gli organi di S. Pietro in Vaticano dalle origini a tutto il periodo Frescobaldiano,,Renato Lunelli,Firenze,Olschki,1958,,"Frescobaldi, Girolamo|Rom|Orgelspiel",p|g|s,BV016998902,Historiae musicae cultores
BV007648699,ger,,Rappresentanze diplomatiche tedesche presso la Santa Sede,,Ambasciata della Repubblica Federale di Germania presso la Santa Sede,Roma,,1985,,,,,
BV007648738,ita,,Il bronzo e il rame nell'arte decorativa italiana,,"testo esplicativo, studio sulla tecnica fusoria e saggio bibliografico di Arturo Pettorelli",Milano,Hoepli,1926,"Pettorelli, Arturo",Italien|Bronzekunst,g|s,,
BV007650385,ger,"Aspern, Karl",Geschichte der Türken,,Karl Aspern,Regensburg,Habbel,1915,,Türkei|Geschichte,g|s,,
BV007650572,ita,"Berengo, Marino",La società veneta alla fine del settecento,,,Firenze,Sansoni,1956,,Venedig|Gesellschaft,g|s,BV025260975,Biblioteca storica Sansoni
BV007650713,ger,"Waldmüller, Ferdinand Georg",Bilder und Erlebnisse,,Waldmüller. Mit einer Einl. von Georg Jacob Wolf,München,Delphin-Verl.,[1916],"Wolf, Georg Jacob","Waldmüller, Ferdinand Georg",p,BV004755789,Kleine Delphin-Kunstbücher
BV007650877,ita,"Gaeta, Francesco",Poesie,,a cura di Benedetto Croce,Bari,Laterza,1928,"Croce, Benedetto",,,,
BV007651248,hrv,"Mirković, Lazar",Ikonografske studije,,,Novi Sad,Matica Srpska,1974,,Blasius (Heiliger)|Ikonographie|Italien,p|s|g,BV006181323,Studije za istoriju srpske umetnosti
BV007651352,ger,,Frühe italienische Malerei,,Gemäldegalerie Berlin. Bearb. von Miklós Boskovits. Übersetzt aus dem Italienischen und redigiert von Erich Schleier,Berlin,Mann,1988,"Boskovits, Miklós|Schleier, Erich",Gemäldegalerie|Italien|Malerei,b|g|s,,
BV007651629,ger,"Spielhagen, Friedrich",Von Neapel bis Syrakus,,,Leipzig,Staackmann,1878,,Italien,g,,
BV007651704,ger,"Raeber, Kuno",Calabria,,,München,Biederstein,1961,,,,,
BV007652446,fre,"Mamczarz, Irène",Le Théâtre Farnèse de Parme et le drame musical italien (1618 - 1732),,,Firenze,Olschki,1988,,Teatro Farnese|Oper,g|s,BV000013263,Teatro
