,id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle,signature,inventory_nr,Unnamed: 0,text,text_3,text_2,text_1,lev,sys,numbis,vw,backreference,subject_list,year_clean
898801,BV041482756,ita,"Eschinardi, Francesco",Descrizione Di Roma E Dell'Agro Romano,,Fatta Già Ad Uso Della Carta Topografica Del Cingolani Dal Padre Francesco Eschinardi Della Compagnia di Gesù,Roma,Salomoni [u.a.],1750,"Venuti, Ridolfino|Salomoni, Generoso|Francioli, Domenico",Rom|Topografie,g|s,,,,,,,,,,,,,,,Rom Topografie,1750.0
588264,BV038427905,dan,"Kronborg Christensen, John",Gotlandske bulhuse,,John Kronborg Christensen,,,1979,,Skandinavien|Architekturtheorie,g|s,,,,,,,,,,,,,,,Skandinavien Architekturtheorie,1979.0
1043200,BV047069043,ita,"Ceriotti, Luca",Contributo alla cronologia abbaziale dei monasteri cassinesi (1419-1810),,Luca Ceriotti,Parma,Tipografie riunite Donati,2019,,Kloster Montecassino,b,BV047176207,Studi di storia religiosa,,,,,,,,,,,,,KlosterMontecassino,2019.0
247337,BV037943714,dut,"Veldman, Ilja M.",De Passe en de zusterdunsten,,,,,2003,,"Passe, Crispijn van de",p,,,,,,,,,,,,,,,PasseCrispijnvande,2003.0
586099,BV038423916,hun,"Kontha, Sándor",Béni Ferenczy,,S. Kontha,,,1979,,"Ferenczy, Béni",p,,,,,,,,,,,,,,,FerenczyBéni,1979.0
480257,BV038272038,eng,"Scott, Barbara",Letter from Paris,,,,,1987,,Bonaparte (Familie),p,,,,,,,,,,,,,,,Bonaparte(Familie),1987.0
1031595,BV046785964,eng,"Schulz, Philipp",Male survivors of wartime sexual violence,,Philipp Schulz,"Oakland, California",University of California Press,[2021],,Uganda|Mann,g|s,,,,,,,,,,,,,,,Uganda Mann,2021.0
151834,BV037697791,ita,,Catalogo generale delle opere di Enrico Baj dal 1972 al 1996,,Testo critico: Martina Corgnati. Contributi: Luciano Caprile ... Schede notizie e apparati: Roberta Cerini,Milano,Marconi [u.a.],1997,"Corgnati, Martina|Caprile, Luciano|Cerini Baj, Roberta","Baj, Enrico",p,,,,,,,,,,,,,,,BajEnrico,1997.0
725744,BV038643192,ita,"Maniglio Calcagno, Annalisa",Temi e variazioni del giardino paesistico tra Settecento e Ottocento,,Annalisa Maniglio Calcagno,,,1988,,Villa Ghirlanda Silva,g,,,,,,,,,,,,,,,VillaGhirlandaSilva,1988.0
21872,BV004340435,ita,"Vian, Paolo",La raccolta prima degli autografi ferrajoli,,a cura di Paolo Vian,Città del Vaticano,Biblioteca Apostolica Vaticana,1990,,"Ferrajoli, Gaetano|Sammlung",p|s,BV036830143,Biblioteca Apostolica Vaticana: Studi e testi,,,,,,,,,,,,,FerrajoliGaetano Sammlung,1990.0
728061,BV038646616,ita,"Casiello, Stella",La cittadella monastica di S. Guglielmo al Goleto,,Stella Casiello,,,1972,,Kloster San Luca Sant'Angelo dei Lombardi,b,,,,,,,,,,,,,,,KlosterSanLucaSant'AngelodeiLombardi,1972.0
407722,BV038186201,ita,"Raynaud, Dominique",Le fonti ottiche di Lorenzo Ghiberti,,,,,2001,,"Ghiberti, Lorenzo",u,,,,,,,,,,,,,,,GhibertiLorenzo,2001.0
240208,BV037933521,ger,"Jenewein, Gunhild",Vom Modell zur Spolie,,,,,2003,,Latium|Antike,g|s,,,,,,,,,,,,,,,Latium Antike,2003.0
381683,BV038148795,ita,"Quattrone, Stefania",Piazza di Spagna il centro del centro del mondo,,,,,1996,,"Piazza di Spagna|De Chirico, Giorgio",g|p,,,,,,,,,,,,,,,PiazzadiSpagna DeChiricoGiorgio,1996.0
155,BV000065249,ger,,Von Odysseus bis Felix Krull,,"[Idee und Konzeption: Klaus Popitz. Katalogbearb.: Ingeborg Becker ...] Kunstbibliothek Berlin mit Museum für Architektur, Modebild und Grafik-Design, Staatliche Museen Preussischer Kulturbesitz",Berlin,Reimer,1982,"Becker, Ingeborg|Popitz, Klaus",Literarische Gestalt,s,BV000002218,"Kunstbibliothek Berlin mit Museum für Architektur, Modebild und Grafik-Design: Veröffentlichung der Kunstbibliothek Berlin",,,,,,,,,,,,,LiterarischeGestalt,1982.0
432800,BV038221018,ita,"Aceto, Francesco",Per l'attività di Tino di Camaino a Napoli,,,,,1990,,Tino (di Camaino),p,,,,,,,,,,,,,,,Tino(diCamaino),1990.0
385603,BV038154290,ita,"Savettieri, Chiara",La Laus perspectivae di Matteo Colacio e la fortuna critica della tarsia in area veneta,,,,,1998,,"Italien|Perspektive|Colacio, Matteo",g|s|u,,,,,,,,,,,,,,,Italien Perspektive ColacioMatteo,1998.0
1056393,BV047228700,eng,,The politics of dementia,,"edited by Irmela Marei Krüger-Fürhoff, Nina Schmidt and Sue Vice",Berlin ; Boston,De Gruyter,[2022],"Krüger-Fürhoff, Irmela Marei|Schmidt, Nina|Vice, Sue",Roman,s,BV042014874,Media and cultural memory,,,,,,,,,,,,,Roman,2022.0
1042144,BV047041671,por,"Redinha, J. Simões",A Química,,J. Simões Redinha,Coimbra,Coimbra University Press,2020,,Chemie|Universidade de Coimbra,s|b,,,,,,,,,,,,,,,Chemie UniversidadedeCoimbra,2020.0
678709,BV038569057,fre,"Spinosa, Nicola",Un tableau de Charles Mellin retrouvé au Mont-Cassin,,Nicola Spinosa,,,1982,,"Rom|Kunstsoziologie|Mellin, Charles",g|s|p,,,,,,,,,,,,,,,Rom Kunstsoziologie MellinCharles,1982.0
1042672,BV047056577,ita,"Prandi, Adriano",Sulla ricostruzione della Mensa Martyrum nella memoria apostolorum in catacumbas,,Adriano Prandi,,,1944,,San Sebastiano ad Catacumbas,g,,,,,,,,,,,,,,,SanSebastianoadCatacumbas,1944.0
413393,BV038193637,eng,"Harris, John",Recreating Petworth,,,,,1997,,Petworth House,g,,,,,,,,,,,,,,,PetworthHouse,1997.0
874662,BV040450831,ita,"Reggiani, Anna Maria",L'Aquila,,Anna Maria Reggiani,,,2012,,L'Aquila|Wiederaufbau,g|s,,,,,,,,,,,,,,,L'Aquila Wiederaufbau,2012.0
540689,BV038350799,ita,"Frizzoni, Gustavo","Un' altra Sant'Ursula del Moretto, a Milano",,Gustavo Frizzoni,,,1904,,Moretto (da Brescia)|Ikonographie,p|s,,,,,,,,,,,,,,,Moretto(daBrescia) Ikonographie,1904.0
19066,BV003482039,ita,"Roellenbleck, Georg",Venezia scena dell'ultimo dialogo umanista,,,Venezia,Centro Tedesco di Studi Veneziani,1984,,"Bodin, Jean",u,BV036822780,Centro Tedesco di Studi Veneziani: Quaderni,,,,,,,,,,,,,BodinJean,1984.0
218012,BV037889003,eng,,American naive paintings,,"[Hrsg.:] Deborah Chotner. With contributions by Julie Aronson ... National Gallery of Art, Washington",Cambridge,Cambridge University Press,1992,"Chotner, Deborah|Aronson, Julie",USA|Naive Malerei|National Gallery of Art,g|s|b,,,,,,,,,,,,,,,USA NaiveMalerei NationalGalleryofArt,1992.0
553536,BV038369979,eng,"Greenhill, Eleanor Simmons",The provenance of a gothic head,,Eleanor S. Greenhill,,,1967,,Notre-Dame|Plastik,g|s,,,,,,,,,,,,,,,Notre-Dame Plastik,1967.0
977689,BV044518943,ita,"Dottori, Riccardo","Sogno, presagio, inquietante nella Metafisica di de Chirico",,Riccardo Dottori,,,[2017],,"De Chirico, Giorgio|Pittura metafisica",p|s,,,,,,,,,,,,,,,DeChiricoGiorgio Pitturametafisica,2017.0
309416,BV038042487,ger,"Müller, Albrecht",Die Plangenese der Lesehalle in Walkenried,,,,,1998,,Kloster Walkenried|Kreuzgang,b|s,,,,,,,,,,,,,,,KlosterWalkenried Kreuzgang,1998.0
48099,BV012628342,eng,,Mathematics of computation,,American Mathematical Society,"Providence, RI",Soc.,1960-,,Mathematik,s,,,,,,,,,,,,,,,Mathematik,1960.0
583962,BV038420005,ita,"Barsanti, Anna",Una vita inedita del Furini,,Anna Barsanti,,,1974,,"Furini, Francesco",p,,,,,,,,,,,,,,,FuriniFrancesco,1974.0
933648,BV042669181,ger,,Ich bin hier!,,"ein Kooperationsprojekt der Staatlichen Kunsthalle Karlsruhe, des Musée des Beaux-Arts in Lyon und der National Galleries of Scotland in Edinburgh. Hrsg. von Pia Müller-Tamm und Dorit Schäfer",Köln ; Karlsruhe,Snoeck ; [u.a.],2015,"Müller-Tamm, Pia|Schäfer, Dorit",Selbstbildnis,s,,,,,,,,,,,,,,,Selbstbildnis,2015.0
704658,BV038610116,eng,"Weitzmann-Fiedler, Josepha",A Pyramus and Thisbe bowl in the Princeton Museum,,Josepha Weitzmann-Fiedler,,,1957,,Pyramus und Thisbe|Ikonographie,p|s,,,,,,,,,,,,,,,PyramusundThisbe Ikonographie,1957.0
155924,BV037708769,ita,"Conti, Cosimo",Del restauro in generale e dei restauratori,,Cosimo Conti. A cura di Antonio P. Torresi,Ferrara,Liberty house,1996,"Torresi, Antonio P.","Conti, Cosimo",u,,,,,,,,,,,,,,,ContiCosimo,1996.0
115729,BV026089534,ger,,Schwerpunkt: Antonio Gramsci,,hrsg. von Helene Harth und Titus Heydenreich,München [u.a.],Piper,1991,"Harth, Helene|Heydenreich, Titus","Gramsci, Antonio",p,BV002589096,Zibaldone,,,,,,,,,,,,,GramsciAntonio,1991.0
233572,BV037923352,ita,"Pratizzoli, Elena",Gli affreschi della Biblioteca del monastero di San Giovanni Evangelista di Parma (1),,,,,2003,,"Biblioteca Monastica dei PP Benedettini|Wandmalerei|Paganini, Giovanni Antonio",b|s|p,,,,,,,,,,,,,,,BibliotecaMonasticadeiPPBenedettini Wandmalerei PaganiniGiovanniAntonio,2003.0
335904,BV038083581,ger,"Mietke, Gabriele",Bauphasen und Datierung der Basilika von Meriamlik (Ayatekla),,,,,2009,,Silifke|Sakralbau,g|s,,,,,,,,,,,,,,,Silifke Sakralbau,2009.0
952101,BV043649199,eng,,The Cantastorie in Renaissance Italy: street singers between oral and literature cultures,,"edited by Luca Degl'Innocenti, Massimo Rospocher and Rosa Salzberg",London,Taylor & Francis,[2016],"Degl'Innocenti, Luca|Rospocher, Massimo|Salzberg, Rosa",Italien|Bänkelsang,g|s,BV002552263,Italian studies,,,,,,,,,,,,,Italien Bänkelsang,2016.0
460967,BV038251058,ita,"Artico Giaretta, Lia",La cattedrale medievale di Santa Maria,,,,,1985,,Santa Maria Maggiore di Equilo,g,,,,,,,,,,,,,,,SantaMariaMaggiorediEquilo,1985.0
367705,BV038131545,ita,"Camesasca, Ettore",Pietro Aretino nelle stampe della raccolta A. Bertarelli,,,,,1993,,"Vecellio, Tiziano|Raimondi, Marcantonio|Bildnis",u|p|s,,,,,,,,,,,,,,,VecellioTiziano RaimondiMarcantonio Bildnis,1993.0
9137,BV021573856,ger,,Kartenwelten,,Christof Dipper ... (Hg.). Mit Beitr. von Wolfgang Behringer ...,Darmstadt,Primus-Verl.,2006,"Dipper, Christof|Behringer, Wolfgang",Karte,s,,,,,,,,,,,,,,,Karte,2006.0
64488,BV017158020,ger,,Frömmigkeitsformen in Mittelalter und Renaissance,,Johannes Laudage (Hrsg.),Düsseldorf,Droste,2004,"Laudage, Johannes|Semmler, Josef",Frömmigkeit,s,BV000016764,Studia humaniora,,,,,,,,,,,,,Frömmigkeit,2004.0
54539,BV013379445,eng,,Journal of clinical virology,,,Amsterdam [u.a.],Elsevier Science,1993-,,Viruskrankheit,s,,,,,,,,,,,,,,,Viruskrankheit,1993.0
131066,BV037607707,eng,,Costantino Nivola in Springs,,The Parrish Art Museum. Micaela Martegani,Nuoro,Ilisso,2003,"Martegani, Micaela","Nivola, Costantino",p,,,,,,,,,,,,,,,NivolaCostantino,2003.0
348452,BV038101668,ita,"Susi, Eugenio",San Secondiano e Corneto,,,,,2007,,Tarquinia|Martyrium,g|s,,,,,,,,,,,,,,,Tarquinia Martyrium,2007.0
141462,BV037664084,eng,,Donatello,,produced by Ann Turner. Text Steffi Schültzke,Halle,Arthaus Musik,2008,"Turner, Ann|Schültzke, Steffi",Donatello|Plastik,p|s,,,,,,,,,,,,,,,Donatello Plastik,2008.0
142873,BV037669802,ita,"Donizetti, Mario",Lettera a Phyllis,,,Bergamo,Corponove Editrice,2007,,"Donizetti, Mario|Schrift",p|s,,,,,,,,,,,,,,,DonizettiMario Schrift,2007.0
276836,BV037990012,fre,"Roz, Michel",Un art dépouillé et fonctionnel,,,,,1996,,"Lyon|Architektur|Garnier, Tony",g|s|p,,,,,,,,,,,,,,,Lyon Architektur GarnierTony,1996.0
919787,BV042204857,ita,"Wionski, Heinz",Denkmalpflege an den Grenzen der Erhaltungsfähigkeit,,Heinz Wionski,,,2014,,Hessen|Denkmalpflege,g|s,,,,,,,,,,,,,,,Hessen Denkmalpflege,2014.0
648197,BV038522248,ger,"Redslob, Edwin",Andreas Schlüter und die Plastik der Niederlande,,Edwin Redslob,,,1955,,"Schlüter, Andreas|Wahnsinn",p|s,,,,,,,,,,,,,,,SchlüterAndreas Wahnsinn,1955.0
318972,BV038057849,ita,"Cioci, Francesco",Le maioliche astronomiche,,,,,2007,,"Marken|Astronomie|Wallace Collection|Xanto Avelli, Francesco",g|s|b|p,,,,,,,,,,,,,,,Marken Astronomie WallaceCollection XantoAvelliFrancesco,2007.0
1182320,BV048478275,eng,"Deneer, Eveline",Painting the vie privée of our forefathers,,Eveline Deneer,,,2022,,Niederlande|Historienmalerei,g|s,,,,,,,,,,,,,,,Niederlande Historienmalerei,2022.0
178540,BV037763025,ita,"Balzani, Alberto","L' ospizio apostolico dei poveri invalidi, detto Il S. Michele",,,Roma,Istituto di Studi Romani,1969,,Rom|Kultur,g|s,,,,,,,,,,,,,,,Rom Kultur,1969.0
727481,BV038645690,ita,"Carloni, Rosella",Alcune osservazioni sulla tomba del Cardinal Matteo d'Acquasparta in S. Maria in Aracoeli,,Rosella Carloni,,,1983,,"Matthäus (von Acquasparta, Kardinal)|Grabmal",p|s,,,,,,,,,,,,,,,Matthäus(vonAcquaspartaKardinal) Grabmal,1983.0
370545,BV038134793,fre,"Belting, Hans",Mémoire et portrait,,,,,1998,,"Niederlande|Bildnismalerei|Eyck, Jan van",g|s|p,,,,,,,,,,,,,,,Niederlande Bildnismalerei EyckJanvan,1998.0
293269,BV038016532,ger,"Diers, Michael",Ein Scherbengericht,,,,,2007,,"Bild|Kleist, Heinrich von",s|u,,,,,,,,,,,,,,,Bild KleistHeinrichvon,2007.0
959512,BV043869871,ita,"Palladino, Pia",Aggiunte alla miniatura tardogotica,,Pia Palladino,,,[2016],,Italien|Buchmalerei,g|s,,,,,,,,,,,,,,,Italien Buchmalerei,2016.0
42139,BV011090744,ita,Giotto,Il cantiere di Giotto,,Bruno Zanardi,Milano,Skira,1996,"Zanardi, Bruno",San Francesco|Freskomalerei|Giotto (di Bondone),g|s|p,,,,,,,,,,,,,,,SanFrancesco Freskomalerei Giotto(diBondone),1996.0
36132,BV008877223,fre,,L' acanthe dans la sculpture monumentale de l'Antiquité à la Renaissance,,,Paris,Ed. du Comité des Travaux Historiques et Scientifiques u.a.,1993,,Akanthus,s,,,,,,,,,,,,,,,Akanthus,1993.0
286699,BV038005945,ita,"Valeri, Biancamaria",Celestino V e Ferentino,,,,,1997,,Ferentino|Geschichte|Cölestin V. (Papst),g|s|p,,,,,,,,,,,,,,,Ferentino Geschichte CölestinV.(Papst),1997.0
341016,BV038091158,ger,"Winzeler, Marius",Prager Goldschmiedekunst,,,,,2009,,Prag|Goldschmiedekunst,g|s,,,,,,,,,,,,,,,Prag Goldschmiedekunst,2009.0
788192,BV038788979,ita,,Catalogo delle collezioni permanenti,,"Museo d'Arte delle Generazioni Italiane del '900 G. Bargellini <Pieve di Cento> ; Museo d'Arte delle Generazioni Italiane del '900 G. Bargellini, Pieve di Cento. Red. Patrizia Bonfiglioli, Valentina Brandani",Bologna,Edizioni Bora,2006,"Bonfiglioli, Patrizia|Brandani, Valentina",Italien|Kunst,g|s,,,,,,,,,,,,,,,Italien Kunst,2006.0
953066,BV043675554,ger,"Scheu, Mariana",Johann Baptist Hagenauer und seine Schüler,,Mariana Scheu,,,[2015],,"Hagenauer, Johann Baptist|Österreich|Bildhauer",p|g|s,,,,,,,,,,,,,,,HagenauerJohannBaptist Österreich Bildhauer,2015.0
571015,BV038397779,eng,"Houfe, Simon",Whistler in the country,,Simon Houfe,,,1973,,"Whistler, James McNeill",p,,,,,,,,,,,,,,,WhistlerJamesMcNeill,1973.0
13294,BV002236399,ger,"Bellm, Richard",Wolgemuts Skizzenbuch im Berliner Kupferstichkabinett,,Richard Bellm,Baden-Baden [u.a.],Heitz,1959,"Wolgemut, Michael","Pleydenwurff, Wilhelm",p,BV004079375,Studien zur deutschen Kunstgeschichte,,,,,,,,,,,,,PleydenwurffWilhelm,1959.0
128367,BV037590234,ita,,Antonio Mottolese,,,Salò,,1990,"Grazioli, Elio","Mottolese, Antonio",p,,,,,,,,,,,,,,,MottoleseAntonio,1990.0
257857,BV037959606,slv,"Osvald, Monika",Grof Rudolf Coronini Cronberg in Kojsko v Goriških Brdih,,,,,2004,,"Kojsko|Sakralbau|Coronini, Rudolf",g|s|p,,,,,,,,,,,,,,,Kojsko Sakralbau CoroniniRudolf,2004.0
197896,BV037807236,ger,,Sammlung Götzschel,,[Hrsg.: Otto Schmitt],Frankfurt a. M.,,[1923],"Schmitt, Otto","Götzschel, Eduard|Sammlung|Deutschland",p|s|g,,,,,,,,,,,,,,,GötzschelEduard Sammlung Deutschland,1923.0
139336,BV037656273,ita,"Coppola Pignatelli, Paola",Le frontiere dell'architettura,,"Rosalba Belibani, Domizia Mandolesi, Stefano Panunzi",Roma,Gangemi Editore,2006,"Belibani, Rosalba|Mandolesi, Domizia|Panunzi, Stefano","Coppola Pignatelli, Paola|Schrift",p|s,,,,,,,,,,,,,,,CoppolaPignatelliPaola Schrift,2006.0
