sign	grp	nr	ref	name	comment	author	date	x
Ca-ABB	Ca	70		Abbate, Niccolo dell'		nk	1987.09.22	
Ca-ABB	Ca	105		Abbati, Clemente degli		ni	1984.11.28	
Ca-ABB	Ca	110		Abbati, Giuseppe		ni	1984.11.28	
Ca-ABB	Ca	150		Abbatini, Guido Ubaldo		gw	1990.03.21	
Ca-ABB	Ca	180		Abbiati, Filippo		ni	1984.11.28	
Ca-ABB	Ca	220		Abbondi, Antonio di Pietro	gen. Scarpagnino	fr	1990.06.21	
Ca-ABO	Ca	8		Abondio	Familie	ni	1984.11.28	
Ca-ABO	Ca	10		Abondio, Alessandro		ni	1984.11.28	
Ca-ABO	Ca	20		Abondio, Antonio d.J.		ni	1984.11.28	
Ca-ABO	Ca	30		Abondio, Antonio d. Ae.		ni	1984.11.28	
Ca-ACE	Ca	6472		Acerbi, Ezechiele		ni	1984.11.28	
Ca-ACQ	Ca	80		Acqua, Francesco dell'		fr	1990.06.22	
Ca-ACQ	Ca	7962		Acquisti, Luigi		fr	1993.03.31	
Ca-ADE	Ca	4624		Ademollo, Luigi		fr	1988.05.27	
Ca-AGA	Ca	10		Agabiti, Pietro Paolo		nk	1986.03.19	
Ca-AGA	Ca	110		Agazzi, Ermenegildo		ni	1984.11.28	
Ca-AGN	Ca	1910		Agnelli, Antonio		gw	1988.07.22	
Ca-AGN	Ca	1960		Agneni, Eugenio		fr	1987.01.20	
Ca-AGN	Ca	5448		Agnolo di Domenico di Donnino		nk	1989.07.10	
Ca-AGN	Ca	5464		Agnolo di Nalduccio Marretti		fr	1992.01.17	
Ca-AGO	Ca	7265		Agostini, Giovanni Antonio		fr	1989.06.30	
Ca-AGO	Ca	7285		Agostino Ducci	eigentl.: Agostino d'Antonio di Duccio (Guccio). Nach seiner eigenen Signatur: Agostino da Firenze	ni	1984.11.28	
Ca-AGO	Ca	7295		Agostino di Giovanni	und Agnolo di Ventura	(import)	2018.06.06	
Ca-AGO	Ca	7316		Agostino da Lodi		nk	1988.11.18	
Ca-AGR	Ca	30		Agrate, Gian Francesco Ferrari da		fr	1993.11.03	
Ca-AGR	Ca	60		Agresti, Livio	detto Il Ricciutino	ni	1984.11.28	
Ca-AGR	Ca	75		Agricola, Augusto	Fotograf, 1819-1857	fr	1993.09.20	
Ca-AGR	Ca	80		Agricola, Filippo		ni	1984.11.28	
Ca-AIL	Ca	10		Aili, Lorenzo		nk	1992.03.19	
Ca-ALA	Ca	50		Alamagna, Giovanni de		nk	1988.11.10	
Ca-ALA	Ca	6612		Alari	Fam. di organari in Roma	fr	1988.12.22	
Ca-ALB	Ca	90		Albanese, Girolamo		ni	1984.11.28	
Ca-ALB	Ca	180		Albani, Francesco		ni	1984.11.28	
Ca-ALB	Ca	260		Albano, Salvatore		ni	1984.11.28	
Ca-ALB	Ca	410		Alberegno, Jacopo	auch als Iacobello A. erwaehnt	nk	1986.01.30	
Ca-ALB	Ca	800		Alberti, Achille		nk	1992.11.26	
Ca-ALB	Ca	808		Alberti	Familie aus Borgo San Sepolcro.	ni	1984.11.28	
