text_2,inventory_year,count
Geschichte der Buchmalerei,1985,53
Geschichte der Buchmalerei,1986,30
Geschichte der Buchmalerei,1987,11
Geschichte der Buchmalerei,1988,36
Geschichte der Buchmalerei,1989,36
Geschichte der Buchmalerei,1990,27
Geschichte der Buchmalerei,1991,28
Geschichte der Buchmalerei,1992,30
Geschichte der Buchmalerei,1993,98
Geschichte der Buchmalerei,1994,144
Geschichte der Buchmalerei,1995,53
Geschichte der Buchmalerei,1996,74
Geschichte der Buchmalerei,1997,52
Geschichte der Buchmalerei,1998,60
Geschichte der Buchmalerei,1999,49
Geschichte der Buchmalerei,2000,67
Geschichte der Buchmalerei,2001,45
Geschichte der Buchmalerei,2002,22
Geschichte der Buchmalerei,2003,21
Geschichte der Buchmalerei,2004,40
Geschichte der Buchmalerei,2005,21
Geschichte der Buchmalerei,2006,31
Geschichte der Buchmalerei,2007,28
Geschichte der Buchmalerei,2008,40
Geschichte der Buchmalerei,2009,40
Geschichte der Buchmalerei,2010,50
Geschichte der Buchmalerei,2011,65
Geschichte der Buchmalerei,2012,30
Geschichte der Buchmalerei,2013,118
Geschichte der Buchmalerei,2014,78
Geschichte der Buchmalerei,2015,109
Geschichte der Buchmalerei,2016,69
Geschichte der Buchmalerei,2017,72
Geschichte der Buchmalerei,2018,119
Geschichte der Buchmalerei,2019,185
Geschichte der Buchmalerei,2020,79
Geschichte der Buchmalerei,2021,107
Geschichte der Buchmalerei,2022,162
Geschichte der Buchmalerei,2023,8
"Technik, Nationalstile und Varia",1993,2
"Technik, Nationalstile und Varia",2006,2
"Technik, Nationalstile und Varia",2019,6
"Technik, Nationalstile und Varia",2021,3
"Technik, Nationalstile und Varia",2022,2
