text_2,inventory_year,count
Glas und Kristall,1985,1
Glas und Kristall,1993,1
Glas und Kristall,1995,1
Glas und Kristall,1996,1
Glas und Kristall,1997,1
Glas und Kristall,2000,2
Glas und Kristall,2002,7
Glas und Kristall,2004,2
Glas und Kristall,2005,1
Glas und Kristall,2006,3
Glas und Kristall,2007,3
Glas und Kristall,2009,1
Glas und Kristall,2012,2
Glas und Kristall,2013,1
Glas und Kristall,2015,1
Glas und Kristall,2016,1
Glas und Kristall,2019,1
Glas und Kristall,2020,1
Glas und Kristall,2021,2
Glas und Kristall,2022,1
Keramik,1985,4
Keramik,1990,1
Keramik,1993,1
Keramik,1994,1
Keramik,1997,3
Keramik,1999,1
Keramik,2000,3
Keramik,2002,2
Keramik,2003,1
Keramik,2004,1
Keramik,2005,2
Keramik,2006,1
Keramik,2007,2
Keramik,2008,1
Keramik,2013,5
Keramik,2014,1
Keramik,2015,2
Keramik,2016,3
Keramik,2017,2
Keramik,2018,7
Keramik,2020,1
Keramik,2021,1
Keramik,2022,3
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1985,4
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1986,3
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1987,2
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1990,2
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1992,2
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1993,2
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1994,10
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1996,2
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1998,7
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",1999,1
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",2000,4
"Kirchenausstattung (Altäre, Chorschranken, Gestühl, Kanzeln, Taufen, Orgeln, Glocken)",2001,2
