text_2,inventory_year,count
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1986,1
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1987,1
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1988,4
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1989,12
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1991,2
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1992,4
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1993,18
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1994,4
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1995,9
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1996,15
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1997,15
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1998,17
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",1999,7
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2000,9
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2001,13
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2002,23
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2003,13
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2004,9
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2005,9
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2006,15
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2007,10
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2008,11
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2009,28
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2010,6
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2011,11
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2012,3
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2013,14
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2014,11
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2015,37
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2016,25
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2017,19
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2018,51
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2019,19
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2020,32
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2021,42
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2022,28
"Denkmalpflege, Kunstschutz im Kriege, Kunstraub",2023,4
