id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV018230409,dut,"Spierdijk, C.",Klokken en klokkenmakers,,C. Spierdijk,Amsterdam,J. H. de Bussy,1962,,"Niederlande|Uhr|Huygens, Christiaan",g|s|p,,
BV018232877,ita,"Balmas, Enea",Montaigne a Padova e altri studi sulla letteratura francese del cinquecento,,,,,1962,,"Montaigne, Michel Eyquem de",p,,
BV018233256,ita,"Winckelmann, Johann Joachim",Lettere italiane,,,,,1961,"Zampa, Giorgio",,,,
BV018233499,ita,"Bernardi, Quirino",Toponomastica storica della città di Aquila,,,,,1961,,,,,
BV018233941,ita,"Grosso, Michele",Spunti e profili nella storia del Piemonte nei sec. XVII e XVIII,,,,,1961,"Mellano, Maria Franca",,,,
BV018233944,ita,"Ciferri, Raffaele",Saggio di bibliografia numismatica medioevale italiana,,R. Ciferri,Pavia,Assoz. pavese di numismatica e medaglistica,1961,,,,,
BV018233957,ita,"Duprè Theseider, Eugenio",Problemi del papato avignonese,,,Bologna,Pàtron,1961,,,,,
BV018235265,ita,"Rossini, Raul",Meridionali a Torino,,,,,1961,,,,,
BV018236444,eng,"Ayrton, Michael",The testament of Daedalus,,Michael Ayrton. With a forew. by Rex Warner,London,Methuen,1962,,Dädalus,p,,
BV018236544,eng,"Ellacott, Samuel Ernest",Armour and blade,,,,,1962,,Rüstung,s,,
BV018237291,ita,"Gulino, Pietro",Attorno Mongibello,,Pietro Gulino,Torino,Soc. Ed. Internazionale,1961,,,,,
BV018238729,ita,"Papini, Giovanni",Città felicità,,Giovanni Papini. A cura di Viola Paszkowski Papini,Firenze,Vallecchi,1960,"Paszkowski Papini, Viola",Florenz,g,,
BV018240794,ita,"Panedda, Dionigi",Olbia attraverso i secoli,,Dionigi Panedda,Cagliari,Fossataro,1959,,,,,
BV018241355,eng,"Unger, Merrill Frederick",Archaeology and the New Testament,,,,,1962,,Biblische Archäologie,s,,
BV018242016,eng,"Quinn, Esther Casier",The quest of Seth for the oil of life,,,,,1962,,,,,
BV018242792,ita,"Stea, Baldo",Saggio critico sulla storia di Trani,,,,,1954,,,,,
BV018242941,eng,"May, William Edward",Naval swords and firearms,,,,,1962,"Kennard, Arthur Norris",Großbritannien|Waffe,g|s,,
BV018243260,lat,,Missale Romanum,,,,,1963,,,,,
BV018243589,ger,,Deutsche Forschungsgemeinschaft,,,,,1963,,,,,
BV018245040,spa,"Sigüenza, José de",Fundación del monasterio de El Escorial,,Fray Jose de Sigüenza. Prologo de Federico Carlos Sainz de Robles,Madrid,Aguilar,1963,"Sáinz de Robles, Federico Carlos",Real Monasterio de San Lorenzo de El Escorial|Gründung|El Escorial,b|s|g,,
BV018245132,ita,"Manni, Eugenio",Sicilia pagana,,,,,1963,,,,,
BV018246649,ita,"Bocchialini, Jacopo","Frammenti di storia, di arte e di vita parmense attraverso mezzo secolo di giornalismo",,,,,1962,,,,,
BV018247017,ita,"Giacomelli, Renzo",Vecchia Bologna,,,,,1962,,,,,
BV018247260,ita,"Zanetto, Giovanni",Il vetusto Torrazzo della Serra,,,,,1961,,,,,
BV018247601,ita,"Guastamacchia, Gabriele M.",Francescani di Puglia,,,,,1963,,,,,
BV018248834,ita,"Mazzoleni, Jole",Contributo alla storia feudale della Calabria nel sec. XVII,,Jole Mazzoleni,Napoli,Fiorentino,1963,,,,,
BV018249433,ita,"Morganti, Mario",Il cardinal Baronio e la città di Sora,,,,,1961,,"Baronio, Cesare",p,,
