,id,lang,title,year,embedding_x,embedding_y,cluster
0,BV000023649,ger,"Deutsches Literaturarchiv, Schiller-Nationalmuseum",1982,357,-124,192
1,BV000024214,ger,Jacob Burckhardt und die Kunsterwartung im Vormärz,1982,-187,-449,44
2,BV000024767,ger,Über das Studium der Geschichte,1982,131,-294,-1
3,BV000025578,ger,Fitzcarraldo,1982,293,-120,169
4,BV000026429,ita,Filippo Raguzzini nel terzo centenario della nascita,1982,272,-230,-1
5,BV000026609,ger,Die klassische Philologie von Petrarca bis Mommsen,1982,-161,-464,45
6,BV000026897,ger,Lexikon der Namen und Heiligen,1982,170,-222,113
7,BV000027669,ita,La croce del Pollaiolo,1982,46,-151,-1
10,BV000028770,ger,Die Sonnenuhr,1982,251,-105,169
11,BV000028857,ger,Die Modellsammlung der Porzellanmanufaktur Doccia,1982,489,362,-1
14,BV000029648,fre,Toscane romane,[1982],-144,-71,-1
15,BV000029991,ger,Glossarium artis,1985,144,-290,107
18,BV000030258,eng,"The papacy and England, 12th - 14th centuries",1982,144,457,4
19,BV000030678,ger,Goethe als Zeichner,1982,204,124,83
20,BV000030684,ger,Graphik in Holland,1982,-315,94,8
21,BV000030886,ger,Colloquium Die Stilistische Entwicklung der Italienischen Musik zwischen 1770 und 1830 und ihre Beziehungen zum Norden,1982,413,317,-1
25,BV000031355,ita,Catalogo degli incunabuli della Biblioteca Universitaria di Messina,1982,131,-204,-1
26,BV000031484,ita,Guida alla città etrusca e al Museo di Marzabotto,1982,285,-68,-1
27,BV000031564,ita,Torcello,1982,-51,389,12
28,BV000031818,dut,Verzamelen in Nederland,1982,-289,313,-1
29,BV000032256,ger,Die Antike und ihre Wirkung auf die Kunst Europas,1982,-85,222,78
30,BV000032691,fre,La représentation de l'Antiquité au Moyen Age,1982,12,-120,-1
31,BV000033061,ger,Filmische Realitätsaneignung,1982,170,-351,-1
34,BV000034606,eng,The triumph of the Eucharist,1982,315,-49,-1
35,BV000034779,ger,Der Investiturstreit,1982,208,-151,131
36,BV000034901,ger,Ideologie und Herrschaft im Mittelalter,1982,-97,-173,-1
37,BV000035613,ger,Winckelmann,1982,-238,275,-1
38,BV000035623,ger,Cypern,1982,225,294,-1
39,BV000035639,eng,Victorian sculpture,1982,119,215,41
40,BV000036165,eng,Bartolomeo Cavaceppi,1982,404,279,-1
41,BV000036663,ger,Literarisches Mäzenatentum,1982,-8,132,-1
42,BV000036722,ger,Labyrinthe,1982,285,-75,-1
43,BV000037153,ger,"Metapher, Allegorie, Symbol",1982,383,71,57
44,BV000037538,ger,Farbengebung und Farbenlehre in der deutschen Malerei um 1800,1982,-17,-260,66
45,BV000037645,ger,Goldschmiedekunst der Gotik in Mitteleuropa,1982,42,-389,36
46,BV000037656,ger,Friedrich von Thiersch,1982,-191,-408,-1
47,BV000037975,ger,Das Goldene Evangelienbuch von Echternach,1982,46,-324,-1
48,BV000037977,ita,Leonardo all'Ambrosiana,1982,332,170,24
49,BV000038072,ger,Die Buchdrucker des 16. und 17. Jahrhunderts im deutschen Sprachgebiet,1982,-170,-487,-1
50,BV000038076,eng,Fifty years,1982,263,-328,128
56,BV000038850,ita,Il Chi è? delle donne italiane,1982,434,374,-1
58,BV000038943,ger,Kunst des Mittelalters in Armenien,1982,-336,287,31
59,BV000039145,ger,Römische Sarkophage,1982,476,64,37
60,BV000039147,ger,Das Buch im Orient,1982,-93,-328,34
61,BV000039198,ger,Das Bürgerhaus in Oldenburg,1982,-55,143,69
62,BV000039200,eng,Heavenly caves,1982,217,-279,120
63,BV000039201,eng,"Avanguardia, Transavanguardia",1982,378,0,-1
64,BV000039397,ger,Lexikon der Informatik und Datenverarbeitung,1983,383,-260,-1
65,BV000039468,eng,Dictionary of classical mythology,1982,25,-117,100
66,BV000039527,ger,Taschenuhren,1982,340,-147,192
69,BV000039787,ger,"Glaspasten, geschnittene Steine, arabische Münzgewichte",1982,144,-313,107
83,BV000040383,fre,Bretagne romane,1982,-238,-79,-1
86,BV000040710,ger,Gelehrtenrepublik und Fürstenstaat,1982,-204,-494,-1
93,BV000042173,ger,Das Fenster des Barock,1982,315,-18,101
94,BV000042225,ita,Rime,1982,119,-260,111
95,BV000042546,ger,Die Sonnenuhr des Augustus,1982,-102,-192,-1
96,BV000042901,ger,Ruhrgebiet-Landschaften 1927 - 1935,1982,293,-143,161
97,BV000043014,fre,Sur le Christ et les églises,1982,-21,-128,-1
98,BV000043346,ger,Jenseitsvorstellungen in Antike und Christentum,1982,370,-120,192
99,BV000043416,eng,Crusader art in the twelfth century,1982,161,-192,132
100,BV000043480,ger,Forschungen zur Villa Albani,1982,-263,-86,65
101,BV000043652,eng,A catalogue of incunabula in all the libraries of Oxford University outside the Bodleian,1982,136,147,81
102,BV000044082,ger,Köpfe der Lutherzeit,1983,51,-404,36
103,BV000044094,ger,Geschichte als Paradigma,1982,242,-324,128
104,BV000044237,eng,Netsuke,1982,51,-86,-1
105,BV000045941,eng,Botticelli's Primavera,1983,153,-502,-1
