id,lang,title,year,embedding_x,embedding_y,cluster
BV038653346,ger,Der thronende Christus mit Stola,1962,576,72,-1
BV038356372,spa,"El primitivo santuario de Nuestra Señora, de la Calle, de Palencia",1967,-331,96,-1
BV046793000,ger,Im Haus der Weisheit,2020,-368,-421,-1
BV037930235,ita,I portici lignei a Bologna,1994,-355,265,-1
BV038505926,ita,Recenti esplorazioni nelle catacombe Cassia e S. Maria a Siracusa,1971,809,132,-1
BV043905115,ger,Voreingenommene Erzählungen,[2016],-61,289,-1
BV037721944,fre,Ennio Calabria,1988,699,-385,-1
BV038077519,eng,Madeline Harrison Caviness,2009,-625,915,-1
BV038460424,eng,Dutch manuscript illumination before the Master of Catherine of Cleves,1968,797,361,-1
BV038868033,ita,Incisioni di Moses Levy (1885 - 1968),1999,760,445,-1
BV000592340,pol,Słownik artystów polskich i obcych w Polsce działających,1986,-196,-710,-1
BV038526187,eng,Portraits by Nicholas Hilliard an his assistants of King James I and his family,[1958?],1091,385,-1
BV038016625,ita,Un artista itinerante fra le Marche e l'Abruzzo,2000,-159,-216,-1
BV003597721,ita,Incontri con Roma nel Rinascimento,1960,282,626,5
BV040687773,ger,Perspektive als Idee,2012,245,783,5
BV038054378,ita,Politica e governo delle proprietà immobiliari urbane ed extraurbane di una nobile famiglia milanese nella lombarda dell'Ottocento,1998,-404,385,-1
BV038475897,fre,Les marchands de tableaux aux Pays-Bas au XVIIe siècle,1992,220,-132,-1
BV045866489,ita,Lontano dagli occhi,[2018],159,722,5
BV043881286,ita,Lettere del re di Svezia Gustavo III dall'Italia (1783-1784),2015,98,-325,-1
BV037949026,cze,Prostor a jeho problematika,1993,134,650,5
BV038406100,ger,"Reliquiar, Oberitalien (Venedig?), Anfang des 16. Jahrhunderts",1962,-98,-253,-1
BV047727675,ger,Münchener Neue Sezession: 1919,1919,453,-337,-1
BV038473617,ger,"Dauerhaftigkeit, einst Denkmalargument",1993,-257,72,-1
BV038366659,eng,Controversial methods and methods of controversy,1963,-772,0,-1
BV038657630,eng,Emblems and devices on a ceiling in the Château of Dampierre-sur-Boutonne,1983,441,36,7
BV037826936,ger,Stadtresidenz Landshut,1985,453,433,-1
BV038148258,eng,The Art of Bloomsbury,2000,441,445,-1
BV038568043,eng,Edward Middleditch (1923 - 87),1988,-699,409,-1
BV038304278,ger,Der Stern des Giotto,1987,0,-735,-1
BV036460436,ger,Atlas der Weltbilder,2011,208,481,-1
BV021655127,spa,Ibiza,1956,-503,48,-1
BV012037806,ger,Katalog illustrierter Fabelausgaben,1998,822,313,-1
BV040501621,eng,Leone & Pompeo Leoni,2012,687,807,-1
BV038572912,ger,Die Tradition der Sachlichkeit und die Sachlichkeit des Traditionalismus,1985,-110,-554,-1
BV047752179,eng,An Austrian decorative artist: Koloman Moser,1905,404,-168,-1
BV038877161,ita,I post meridionali,1984,662,156,-1
BV047423512,eng,Bathhouses and riverbanks,2021,441,108,7
BV038949294,ger,"Parodie, Intertextualität, Interbildlichkeit",2006,638,228,-1
BV047103042,ita,Presentazione (nel segno dell'amicizia),2020,527,-457,2
BV038927248,ger,Statuenliebe in St. Peter,1999,269,-156,-1
BV038473109,fre,Une vanité à instrument de musique de Pieter van Steenwijck au musée de Belfort,1972,-208,168,-1
BV038428043,cze,Neznámý obraz J. M. Rottmayra ve Valticích,1983,-343,-325,-1
BV046305647,eng,The ethics of cybersecurity,[2020],-233,891,0
BV038632943,fre,Le problème de Monsu Desiderio,1957,331,1301,-1
BV038201359,eng,From darkness to light,2002,-49,-180,9
BV038862856,ita,Piansano,2010,-576,-289,-1
BV038641638,ger,Augsburger Barock 1620 bis 1720,1968,-220,-325,8
BV040510203,ger,Die Gemälde der Herzog-August-Bibliothek Wolfenbüttel,2012,-392,903,0
BV038137990,ita,L' Exultet II della cattedrale di Bari,1999,208,144,-1
BV041636843,eng,Montaigne and the origins of modern philosophy,2013,-294,-301,-1
BV038139439,ger,Authentizitätsverheißung im mittelalterlichen Reliquienkult und in der Gegenwartskunst,1998,306,698,5
BV038454525,ger,Zisterzienserarchitektur im Bistum Meissen,1971,-257,240,-1
BV042391759,fre,"Sainte Face, visage de Dieu, visage de l'homme dans l'art contemporain (XIXe - XXe siècle)",2015,294,566,5
BV038598964,ita,Postilla ai Disegni bolognesi agli Uffizi,1974,233,96,6
BV044201164,fre,La réception des Vite di Giorgio Vasari,[2017],785,325,-1
BV014287949,ger,Hairesis,2002,73,204,-1
BV038378266,eng,Some Aspects of Religious Life in 17th Century Seville,1960,576,939,-1
BV037985360,ger,"Slevogts Bilder hängen neben solchen von Manet, Degas und Puvis de Chavannes",2006,355,-433,-1
BV038569144,ger,Die Sammlungen Hulton und andere Londoner Ausstellungen,1957,797,240,-1
BV038461473,ita,Un modello di creta di Francesco Fiammingo,1962,-61,-554,-1
BV038132218,ita,Una chiesa lombarda nell'antica Palermo,1993,134,-265,-1
BV037565601,pol,Złote Niderlandy,2001,920,602,-1
BV038100532,ita,Giuseppe Wilpert e l'epigrafia,2009,834,12,3
BV038206323,ita,Aspetti e problemi dell'architettura medievale del Salernitano,1994,-306,192,-1
BV041116211,ita,"Cappella nel bosco - Varano dei Marchesi, Parma",2012,-269,-253,-1
BV046028035,ita,Recenti indagini presso il castello di Cor (BL),2018,-417,-469,-1
BV038077314,ita,L' arte contemporanea in Sicilia,2008,306,795,-1
BV038198486,ita,La fame dell'immagine,2001,343,156,-1
BV037478942,ita,XY,1986-2005,-392,-349,-1
BV042345281,eng,Language Conflict and Language Planning,[1966],-269,-108,-1
BV047582234,fre,Giuseppe Penone - Sève et pensée,[2021],404,481,-1
BV038919645,pol,Z dziejów wielkomiejskiej fary,1996,760,-108,3
BV045511033,eng,Illuminators from Pistoia and Pisa in Trecento Florence,[2018],-282,747,0
BV041556369,ita,Fara S. Martino e l'abbazia di S. Martino in Valle,2012,-85,-554,-1
BV037937352,fre,Anastase le Bibliothècaire,1992,539,421,-1
BV014057284,ita,I testi e i codici di Ermete nel Medioevo,2001,588,253,-1
BV037695802,ita,Lucia Marcucci,1972,466,686,-1
BV004045994,ger,Der Reisebericht in der deutschen Literatur,1990,355,-72,7
BV042890921,eng,Approaches to poverty in medieval Europe,[2016],220,228,-1
BV046767045,eng,Bentham and the arts,2020,-552,289,-1
BV038048768,fre,"Antoine Boullier, orfèvre parisien et infatigable producteur",2007,-294,-397,-1
BV037834684,ita,XXVIII Biennale di Venezia,1956,233,843,-1
BV038670891,fre,La gare en question,1978,-12,-120,9
BV035018360,ger,"Deß ... Ludovici Blosii, ... Handt-Buchlein, der Kleinen und Demühtigen",1665,613,373,-1
BV037731004,ita,Gaetano Lapis,1976,220,-60,-1
BV045305663,ita,Dipinti e opere d'arte in Casa Albani,2018,588,-614,2
BV036432147,eng,Architecture Disciplinarity and the Arts,2009,294,397,-1
BV038656646,fre,La paysage au moulin de Georges Michel,1980,-392,132,4
BV042178675,eng,Black experience and the empire,2006,24,349,-1
BV047737371,ger,Sascha Schneider auf der Dresdner Kunst-Ausstellung,1904,441,349,-1
BV038148437,ita,Sacralità di una fonte nella Schio tardomedievale,1999,588,-397,-1
BV042572284,ita,"Arianna Fantin, testi cuciti",2014,220,-180,-1
BV042529329,eng,Adventures of the Black Square,2015,-368,156,4
BV037995696,ger,Delacroix' Marino Faliero,2006,-601,48,-1
BV012948897,ita,Una piazza per la città del principe,1999,404,24,7
BV043185552,ita,Giulia Napoleone e i mille colori del nero,2015,404,409,-1
BV041933340,ita,"Riforma della chiesa, esperienze monastiche e poteri locali",2014,24,421,-1
BV038082283,ita,Veneziano - De Molfetta,2009,748,-120,3
BV038461180,spa,Precisiones sobre Gaspar Becerra,1969,0,373,-1
BV037954666,ita,Genealogie Doria,2004,-368,807,0
BV038099920,eng,I.C.R.A. excavates in Spoleto,1964,552,891,1
BV021752799,ita,Da Galileo Galilei a Cosimo Noferi,2005,-871,361,-1
BV038035306,ger,"Im Spannungsfeld von Corvey, Brunsburg, Herstelle und Nienover",2007,907,542,-1
BV038063803,ita,"Emilio Richter, artista giardiniere a Roma sotto il governo pontificio e il regno d'Italia (seconda parte)",1996,417,-445,-1
BV038048351,ita,Da Wobreck a Fonduli,2008,368,1265,-1
BV038491476,eng,Some additions and corrections to Lugt's Répertoire des catalogues de ventes publiques for the years 1682 - 1725,1946,-184,-240,-1
BV047761099,dut,"Mauritshuis, [2]",1913,-490,710,0
BV038620803,ger,Aktion als Existenzverherrlichung,1972,-24,638,-1
BV038489882,cze,České malírství po roce 1945,1965,-269,831,0
BV038069764,ita,Schede per la chiesa di S. Tomaso,1975,-220,-373,8
BV038543778,eng,The new Cool-Art,1965,257,-48,-1
BV045534654,ita,Architettura resiliente,2018,282,409,-1
BV038944282,eng,Marcel Duchamp,1972,-294,-421,-1
BV022967461,eng,Gifts for the gods,2007,171,-253,-1
BV037697186,ita,F. Farulli,1985,527,602,-1
BV037686686,fre,"Le général de Beylié, 1849 - 1910",2010,368,-349,-1
BV038522060,ger,"Design, Kunst, Styling",1988,564,-108,-1
BV038156496,eng,Piero and the north,1995,147,-204,-1
