id,language_code,holdings,author_person,author_corporate,author_uniform,title,publication,physical_description,subject_personal,subject_corporate,subject_meeting,subject_uniform_title,subject_named_event,subject_chronological,subject_topical,subject_geographic
BV000023649,ger,{'a': 'DE-Y7'},,Schiller-Nationalmuseum und Deutsches Literaturarchiv,,"Deutsches Literaturarchiv, Schiller-Nationalmuseum",Marbach a. Neckar,"181, 16 S.",,Deutsches Literaturarchiv Marbach,,,,Geschichte,,
BV000024214,ger,{'a': 'DE-188'},"Schlink, Wilhelm",,,Jacob Burckhardt und die Kunsterwartung im Vormärz,Wiesbaden,27 S.,"Burckhardt, Jacob",,,,,Geschichte 1830-1848,Kunstbetrachtung,Deutschland
BV000024767,ger,{'a': 'DE-Y3'},"Burckhardt, Jacob",,,Über das Studium der Geschichte,München,582 S.,"Burckhardt, Jacob",,,,,Weltgeschichte,Weltgeschichte,
BV000025578,ger,{'a': 'DE-Y2'},"Herzog, Werner",,,Fitzcarraldo,München u.a.,164 S.,"Herzog, Werner",,,Fitzcarraldo,,,German fiction,
BV000026429,ita,{'a': 'DE-Y2'},"Rotili, Mario",,,Filippo Raguzzini nel terzo centenario della nascita,Napoli,69 S.,"Rauzzini, Filippo",,,,,,"Architecture, Rococo",Italien
BV000026609,ger,{'a': 'DE-Y2'},"Pfeiffer, Rudolf",,,Die klassische Philologie von Petrarca bis Mommsen,München,260 S.,"Petrarca, Francesco",,,,,Geschichte 1300 - 1850,Altertumswissenschaft,Deutschland
BV000026897,ger,{'a': 'DE-Bb23'},"Wimmer, Otto",,,Lexikon der Namen und Heiligen,Innsbruck [u.a.],980 S.,,,,,,,Etymologie,
BV000027669,ita,{'a': 'DE-M17'},,,,La croce del Pollaiolo,Firenze,27 S.,"Del Pollaiuolo, Antonio",Museo Nazionale del Bargello,,,,,Kreuzreliquiar,Italien
BV000028059,ger,{'a': 'DE-Y2'},,,,Echternacher Sakramentar und Antiphonar,Graz,278 Bl.,,,,,,,,
BV000028061,ger,{'a': 'DE-Y2'},,,,Echternacher Sakramentar und Antiphonar,Graz,"VII, 234 S.",,,,,,,,
BV000028770,ger,{'a': 'DE-B1550'},"Rohr, René R. J.",,,Die Sonnenuhr,München,215 S.,,,,,,,Astronomisches Instrument,
BV000028857,ger,{'a': 'DE-188'},"Lankheit, Klaus",,,Die Modellsammlung der Porzellanmanufaktur Doccia,München,240 S.,,Porzellanmanufaktur Doccia,,,,Geschichte 1700-1800,Plastik,Doccia
BV000029509,lat,{'a': 'DE-B220'},,,,Codex diplomaticus Amiatinus,Tübingen,"XXVIII, 420 S.",,,,,,,,
BV000029510,lat,{'a': 'DE-B220'},,,,Codex diplomaticus Amiatinus,Tübingen,"XIX, 391 S.",,,,,,,,
BV000029648,fre,{'a': 'DE-355'},"Moretti, Italo",,,Toscane romane,[Paris],361 S.,,,,,,Geschichte 1000-1300,Kunst,Italien
BV000029991,eng,{'a': 'DE-M157'},,,,Glossarium artis,München [u.a.],278 S.,,,,,,,Treppe,
BV000030019,ger,{'a': 'DE-Y2'},,Bayerische Staatsbibliothek,,Katalog der Handbibliothek der Handschriftenabteilung,Wiesbaden,739 S.,,,,,,,,
BV000030020,ger,{'a': 'DE-Y2'},,Bayerische Staatsbibliothek,,Katalog der Handbibliothek der Handschriftenabteilung,Wiesbaden,668 S.,,,,,,,,
BV000030678,ger,{'a': 'DE-B1550'},,,,Goethe als Zeichner,München,247 S.,"Goethe, Johann Wolfgang von",,,,,,Zeichnung,
BV000030684,ger,{'a': 'DE-Y2'},,,,Graphik in Holland,München,167 S.,Rembrandt,Staatliche Graphische Sammlung München,,,,Geschichte 1600-1700,Grafik,Holland
BV000030886,ger,{'a': 'DE-Y2'},,,Colloquium Die Stilistische Entwicklung der Italienischen Musik zwischen 1770 und 1830 und Ihre Beziehungen zum Norden,Colloquium Die Stilistische Entwicklung der Italienischen Musik zwischen 1770 und 1830 und ihre Beziehungen zum Norden,[Laaber],"VIII, 461 S.",,,,,,Geschichte 1770-1830,Musikalischer Stil,Italien
BV000030980,ger,{'a': 'DE-Y2'},"May, Georg",,,Ludwig Kaas,Amsterdam,"XCV, 707 S.",,,,,,,,
BV000030982,ger,{'a': 'DE-Bo133'},"May, Georg",,,Ludwig Kaas,Amsterdam,"X, 745 S.",,,,,,,,
BV000030984,ger,{'a': 'DE-Y2'},"May, Georg",,,Ludwig Kaas,Amsterdam,"XII, 613 S.",,,,,,,,
BV000031355,ita,{'a': 'DE-Y2'},"Bonifacio, Achille",,,Catalogo degli incunabuli della Biblioteca Universitaria di Messina,Firenze,169 S.,,Università degli studi di Messina,,,,,Inkunabel,Italien
BV000031484,ita,{'a': 'DE-Y2'},,,,Guida alla città etrusca e al Museo di Marzabotto,Bologna,133 S.,,,,,,,Ausgrabung,Marzabotto
BV000031564,ita,{'a': 'DE-Y2'},"Vecchi, Maurizia",,,Torcello,Roma,"V, 221 S.",,,,,,Geschichte 500-600,Kirchenbau,Torcello
BV000031818,dut,{'a': 'DE-Y2'},,,,Verzamelen in Nederland,Haarlem,"X, 305 S.",,,,,,Geschichte 1600-1950,Sammlung,Niederlande
BV000032256,ger,{'a': 'DE-Y2'},,,,Die Antike und ihre Wirkung auf die Kunst Europas,Stuttgart,"VII, 144 S.",,,,,,Geschichte 800 v. Chr.-200,Kunst,Griechenland
BV000032691,fre,{'a': 'DE-11'},,,,La représentation de l'Antiquité au Moyen Age,Wien,398 S.,,,,,,Geschichte 800-1500,Antike,
BV000033061,ger,{'a': 'DE-Y2'},"Zurhake, Monika",,,Filmische Realitätsaneignung,Heidelberg,451 S.,"Eggeling, Viking",,,Symphonie Diagonale,,,Film,
BV000034068,ita,{'a': 'DE-Y2'},,,,Bibliografia topografica della colonizzazione Greca in Italia e nelle isole Tirreniche,Pisa [u.a.],"XXII, 428 S.",,,,,,,,
BV000034069,ita,{'a': 'DE-Y2'},,,,Bibliografia topografica della colonizzazione Greca in Italia e nelle isole Tirreniche,Pisa [u.a.],"XV, 476 S.",,,,,,,,Grande-Grèce - Bibliographie analytique
BV000034606,eng,{'a': 'DE-M341'},"Scribner, Charles",,,The triumph of the Eucharist,"Ann Arbor, Mich.","XV, 224 S.","Rubens, Peter Paul",,,,,Geschichte 1600-1800,Bildteppich,Beneluxländer
BV000034779,ger,{'a': 'DE-Y2'},"Blumenthal, Uta-Renate",,,Der Investiturstreit,Stuttgart [u.a.],192 S.,,,,,,Geschichte 1000-1122,Investiturstreit,
BV000034901,ger,{'a': 'DE-76'},,,,Ideologie und Herrschaft im Mittelalter,Darmstadt,"VIII, 508 S.",,,,,,Geschichte 500-1500,Herrschaft,
BV000035613,ger,{'a': 'DE-127'},"Leppmann, Wolfgang",,,Winckelmann,Bern ; München,288 S.,"Winckelmann, Johann Joachim",,,,,,,
BV000035623,ger,{'a': 'DE-Y2'},"Maier, Franz Georg",,,Cypern,München,236 S.,,,,,,Geschichte Anfänge-1960,Geschichte,Zypern
BV000035639,eng,{'a': 'DE-Y2'},"Read, Benedict",,,Victorian sculpture,New Haven [u.a.],"X, 414 S.",,,,,,Geschichte 1830-1914,Plastik,Britische Inseln
BV000036165,eng,{'a': 'DE-Y2'},"Howard, Seymour",,,Bartolomeo Cavaceppi,New York [u.a.],"IV, 437 S.","Cavaceppi, Bartolomeo",,,,,Geschichte 1600-1800,Restaurierung,Italien
BV000036663,ger,{'a': 'DE-M100'},,,,Literarisches Mäzenatentum,Darmstadt,412 S.,,,,,,Geschichte 1100-1500,Literatur,Europa
BV000036722,ger,{'a': 'DE-Y2'},"Kern, Hermann",,,Labyrinthe,München,491 S.,,,,,,,Kultur,
BV000037153,ger,{'a': 'DE-20'},"Kurz, Gerhard",,,"Metapher, Allegorie, Symbol",Göttingen,103 S.,,,,,,,Allegorie,
BV000037538,ger,{'a': 'DE-M508'},"Rehfus-Dechêne, Birgit",,,Farbengebung und Farbenlehre in der deutschen Malerei um 1800,München,147 S.,"Mengs, Anton Raphael",,,,,Geschichte 1500-2000,Malerei,Deutschland
BV000037645,ger,{'a': 'DE-11'},"Fritz, Johann Michael",,,Goldschmiedekunst der Gotik in Mitteleuropa,München,"377 Seiten, 401 ungezählte Seiten Bildtafeln, XVI Seiten Bildtafeln",,,,,,Geschichte 1250-1500,Marke,Mitteleuropa
BV000037656,ger,{'a': 'DE-M508'},"Marschall, Horst Karl",,,Friedrich von Thiersch,München,"VII, 423 S.","Thiersch, Friedrich von",,,,,Geschichte 1800-1900,Architektur,Deutschland
BV000037975,ger,{'a': 'DE-226'},,,,Das Goldene Evangelienbuch von Echternach,Frankfurt am Main,203 S.,,Kloster Echternach,,Codex aureus Epternacensis,,"Geschichte 1040,ca.",Buchmalerei,Deutschland
BV000037977,ita,{'a': 'DE-Y2'},,,,Leonardo all'Ambrosiana,Milano,163 S.,Leonardo,Biblioteca Ambrosiana,,Codice atlantico,,Geschichte 1500-1600,Umkreis,Italien
BV000038072,ger,{'a': 'DE-Aug11'},"Benzing, Josef",,,Die Buchdrucker des 16. und 17. Jahrhunderts im deutschen Sprachgebiet,Wiesbaden,"XX, 565 S.",,,,,,Geschichte 1500-1600,Buchdruck,Deutsches Sprachgebiet
BV000038076,eng,{'a': 'DE-384'},,,,Fifty years,New York,264 S.,,H. P. Kraus,,,,Geschichte 1455-1700,Rara,
BV000038612,ger,{'a': 'DE-1052'},,,,Theologisches Wörterbuch zum Alten Testament,Stuttgart [u.a.],"XV S., 1031 Sp., S. 517 - 560",,,,,,,,
BV000038613,heb,{'a': 'DE-1052'},,,,Theologisches Wörterbuch zum Alten Testament,Stuttgart [u.a.],"XV S., 1068 Sp., S. 535 - 574",,,,,,,,
BV000038614,ger,{'a': 'DE-1052'},,,,Theologisches Wörterbuch zum Alten Testament,Stuttgart [u.a.],"XIII S., 1090 Sp., S. 547 - 568",,,,,,,,
BV000038615,ger,{'a': 'DE-1052'},,,,Theologisches Wörterbuch zum Alten Testament,Stuttgart [u.a.],"XV S., 1140 Sp., S. 571 - 595",,,,,,,,
BV000038616,ger,{'a': 'DE-1052'},,,,Theologisches Wörterbuch zum Alten Testament,Stuttgart [u.a.],"XIV S., 1208 Sp., S. 605 - 631",,,,,,,,
BV000038850,ita,{'a': 'DE-Y2'},"Ceratto, Marina",,,Il Chi è? delle donne italiane,Milano,339 S.,,,,,,Geschichte 1945-1982,Frau,Italien
BV000038942,ger,{'a': 'DE-Bb23'},,,,Die Zisterzienser,Köln,270 S.,,,,,,,,
BV000038943,ger,{'a': 'DE-Re5'},,,,Kunst des Mittelalters in Armenien,Wien ; München,349 S.,,,,,,Geschichte 0700-1500,Regionalkunst,Asien
BV000039145,ger,{'a': 'DE-Y2'},,,,Römische Sarkophage,München,"XXIII, 672, [320] S.",,,,,,Geschichte 100-400,Sarkophag,Römisches Reich
BV000039147,ger,{'a': 'DE-Y2'},,,,Das Buch im Orient,Wiesbaden,340 S.,,Bayerische Staatsbibliothek,,,,Geschichte,Buchkunst,Südostasien
BV000039198,ger,{'a': 'DE-Y2'},"Asche, Kurt",,,Das Bürgerhaus in Oldenburg,Tübingen,"237, 108 S.",,,,,,Geschichte 1300-1980,Haus,Staat Oldenburg
BV000039200,eng,{'a': 'DE-M157'},"Miller, Naomi",,,Heavenly caves,New York,141 S.,,,,,,,Geschichte,
BV000039201,ita,{'a': 'DE-188'},,,,"Avanguardia, Transavanguardia",Milano,143 S.,,,,,,Geschichte 1900-2000,Ausstellungskatalog,
BV000039397,ger,{'a': 'DE-B1550'},,,,Lexikon der Informatik und Datenverarbeitung,München u.a.,"XII, 667 S.",,,,,,,Wörterbuch,
BV000039468,eng,{'a': 'DE-Y2'},"Bell, Robert E.",,,Dictionary of classical mythology,Oxford u.a.,"XI, 390 S.",,,,,,,Mythologie,
BV000039527,ger,{'a': 'DE-Y2'},"Clutton, Cecil",,,Taschenuhren,München,336 S.,,,,,,Geschichte 1500-2000,Taschenuhr,
BV000039551,ger,{'a': 'DE-M508'},,Bayerisches Nationalmuseum,,Die Glassammlung des Bayerischen Nationalmuseums München,München,"176, 131 S.",,,,,,,,
BV000039553,ger,{'a': 'DE-M508'},,Bayerisches Nationalmuseum,,Die Glassammlung des Bayerischen Nationalmuseums München,München,"S. 179 - 372, 133 - 330",,,,,,,,
BV000039787,ger,{'a': 'DE-M21'},"Förschner, Gisela",,,"Glaspasten, geschnittene Steine, arabische Münzgewichte",Melsungen,111 Seiten,,Historisches Museum Frankfurt,,,,Geschichte,Glaspaste,Arabien
BV000040260,ger,{'a': 'DE-M157'},"Huth, Hans",,,Die Kunstdenkmäler des Stadtkreises Mannheim,München,"XVIII, 855 S.",,,,,,,,
BV000040261,ger,{'a': 'DE-M157'},"Huth, Hans",,,Die Kunstdenkmäler des Stadtkreises Mannheim,München,S. 856 - 1815,,,,,,,,
BV000040372,ita,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,"XXXV, 418 S.",,,,,,,,
BV000040373,ita,{'a': 'DE-B170'},"Stieger, Franz",,,Opernlexikon,Tutzing,S. 419 - 882,,,,,,,,
BV000040374,ita,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,S. 883 - 1344,,,,,,,,
BV000040375,ita,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,"XII, 371 S.",,,,,,,Opéras - Répertoires,
BV000040376,ita,{'a': 'DE-B170'},"Stieger, Franz",,,Opernlexikon,Tutzing,S. 373 - 772,,,,,,,,
BV000040377,ita,{'a': 'DE-B170'},"Stieger, Franz",,,Opernlexikon,Tutzing,S. 773 - 1194,,,,,,,Opéras - Répertoires,
BV000040378,ita,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,328 S.,,,,,,,,
BV000040379,ita,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,S. 333 - 775,,,,,,,,
BV000040380,ita,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,S. 781 - 1043,,,,,,,,
BV000040381,ger,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,328 S.,,,,,,,,
BV000040382,ger,{'a': 'DE-11'},"Stieger, Franz",,,Opernlexikon,Tutzing,530 S.,,,,,,,,
BV000040383,fre,{'a': 'DE-Y7'},"Tillet, Louise-Marie",,,Bretagne romane,[Paris],345 S.,,,,,,Geschichte 950-1250,Kunst,Frankreich
BV000040459,eng,{'a': 'DE-Y2'},,The Cleveland Museum of Art,,Catalogue of paintings,"Cleveland, Ohio","XVI, 183 S.",,,,,,,,
BV000040460,eng,{'a': 'DE-Y7'},,The Cleveland Museum of Art,,Catalogue of paintings,"Cleveland, Ohio","XVI, 542 S.",,,,,,,,
BV000040927,ita,{'a': 'DE-B220'},,,,Francesco d'Assisi,Milano,393 S.,,,,,,,,
BV000040928,ita,{'a': 'DE-Y2'},,,,Francesco d'Assisi,Milano,197 S.,,,,,,,,
BV000040929,ita,{'a': 'DE-Y2'},,,,Francesco d'Assisi,Milano,185 S.,,,,,,,,
BV000040935,lat,{'a': 'DE-M100'},Nikolaus,,,Nicolai de Cusa opera omnia,Lipsiae [u.a.],"XXXIX, 370 S.",,,,,,,,
BV000040936,lat,{'a': 'DE-B220'},Nikolaus,,,Nicolai de Cusa opera omnia,Lipsiae [u.a.],"XXX, 249 S.",,,,,,,,
BV000041047,ger,{'a': 'DE-Y2'},"Goethe, Johann Wolfgang von",,,Johann Wolfgang Goethe zu Bildern,Frankfurt am Main,358 S.,"Goethe, Johann Wolfgang von <1749-1832>",,,,,,,
BV000042173,ger,{'a': 'DE-703'},"Lietz, Sabine",,,Das Fenster des Barock,München,185 S.,,,,,,Geschichte 1680-1780,Fensterbau,Mitteleuropa
BV000042225,ita,{'a': 'DE-Y2'},"Colonna, Vittoria",,,Rime,Roma [u.a.],526 S.,"Morra, Isabella di",,,,,,Lyrik,
