text_2,inventory_year,count
Amtliche Kunstdenkmäler-Inventare,1988,8
Amtliche Kunstdenkmäler-Inventare,2006,2
Architektur,1985,32
Architektur,1986,28
Architektur,1987,22
Architektur,1988,25
Architektur,1989,32
Architektur,1990,50
Architektur,1991,45
Architektur,1992,43
Architektur,1993,41
Architektur,1994,25
Architektur,1995,42
Architektur,1996,33
Architektur,1997,30
Architektur,1998,37
Architektur,1999,53
Architektur,2000,73
Architektur,2001,54
Architektur,2002,65
Architektur,2003,60
Architektur,2004,55
Architektur,2005,75
Architektur,2006,86
Architektur,2007,70
Architektur,2008,74
Architektur,2009,48
Architektur,2010,58
Architektur,2011,70
Architektur,2012,59
Architektur,2013,46
Architektur,2014,56
Architektur,2015,47
Architektur,2016,41
Architektur,2017,38
Architektur,2018,50
Architektur,2019,31
Architektur,2020,60
Architektur,2021,41
Architektur,2022,30
Architektur,2023,5
Buchmalerei,1985,17
Buchmalerei,1986,28
Buchmalerei,1987,8
Buchmalerei,1988,19
Buchmalerei,1989,6
Buchmalerei,1990,7
Buchmalerei,1991,12
Buchmalerei,1992,9
Buchmalerei,1993,8
Buchmalerei,1994,11
Buchmalerei,1995,12
Buchmalerei,1996,1
Buchmalerei,1997,8
Buchmalerei,1998,6
Buchmalerei,1999,6
Buchmalerei,2000,18
Buchmalerei,2001,1
Buchmalerei,2002,6
Buchmalerei,2003,7
Buchmalerei,2004,20
Buchmalerei,2005,21
Buchmalerei,2006,11
Buchmalerei,2007,3
Buchmalerei,2008,19
Buchmalerei,2009,6
Buchmalerei,2010,24
Buchmalerei,2011,3
Buchmalerei,2012,10
Buchmalerei,2013,21
Buchmalerei,2014,12
Buchmalerei,2015,8
Buchmalerei,2016,13
Buchmalerei,2017,9
Buchmalerei,2018,7
Buchmalerei,2019,25
Buchmalerei,2020,14
Buchmalerei,2021,10
Buchmalerei,2022,21
Buchmalerei,2023,2
Graphik,1985,7
Graphik,1986,15
Graphik,1987,5
Graphik,1988,9
Graphik,1989,15
Graphik,1990,14
Graphik,1991,25
Graphik,1992,23
Graphik,1993,22
Graphik,1994,17
Graphik,1995,7
Graphik,1996,12
Graphik,1997,19
Graphik,1998,22
Graphik,1999,24
Graphik,2000,14
Graphik,2001,18
Graphik,2002,25
Graphik,2003,9
Graphik,2004,25
Graphik,2005,27
Graphik,2006,11
Graphik,2007,30
Graphik,2008,18
Graphik,2009,6
Graphik,2010,25
Graphik,2011,26
Graphik,2012,27
Graphik,2013,32
Graphik,2014,25
Graphik,2015,18
Graphik,2016,22
Graphik,2017,18
Graphik,2018,16
Graphik,2019,8
Graphik,2020,16
Graphik,2021,52
Graphik,2022,22
Graphik,2023,4
Kunst allgemein,1985,41
Kunst allgemein,1986,41
Kunst allgemein,1987,83
Kunst allgemein,1988,38
Kunst allgemein,1989,34
Kunst allgemein,1990,29
Kunst allgemein,1991,62
Kunst allgemein,1992,31
Kunst allgemein,1993,54
Kunst allgemein,1994,33
Kunst allgemein,1995,56
Kunst allgemein,1996,72
Kunst allgemein,1997,46
Kunst allgemein,1998,129
Kunst allgemein,1999,85
Kunst allgemein,2000,90
Kunst allgemein,2001,68
Kunst allgemein,2002,54
Kunst allgemein,2003,57
Kunst allgemein,2004,60
Kunst allgemein,2005,44
Kunst allgemein,2006,49
Kunst allgemein,2007,80
Kunst allgemein,2008,52
Kunst allgemein,2009,69
Kunst allgemein,2010,86
Kunst allgemein,2011,64
Kunst allgemein,2012,78
Kunst allgemein,2013,68
Kunst allgemein,2014,62
Kunst allgemein,2015,49
Kunst allgemein,2016,47
Kunst allgemein,2017,49
Kunst allgemein,2018,68
Kunst allgemein,2019,45
Kunst allgemein,2020,60
Kunst allgemein,2021,75
Kunst allgemein,2022,55
Kunst allgemein,2023,19
Kunst nach Landschaften,1985,85
Kunst nach Landschaften,1986,82
Kunst nach Landschaften,1987,100
Kunst nach Landschaften,1988,100
Kunst nach Landschaften,1989,141
Kunst nach Landschaften,1990,149
Kunst nach Landschaften,1991,113
Kunst nach Landschaften,1992,107
Kunst nach Landschaften,1993,143
Kunst nach Landschaften,1994,108
Kunst nach Landschaften,1995,157
Kunst nach Landschaften,1996,110
Kunst nach Landschaften,1997,162
Kunst nach Landschaften,1998,118
Kunst nach Landschaften,1999,159
Kunst nach Landschaften,2000,181
Kunst nach Landschaften,2001,185
Kunst nach Landschaften,2002,208
Kunst nach Landschaften,2003,239
Kunst nach Landschaften,2004,218
Kunst nach Landschaften,2005,252
Kunst nach Landschaften,2006,232
Kunst nach Landschaften,2007,324
Kunst nach Landschaften,2008,243
Kunst nach Landschaften,2009,254
Kunst nach Landschaften,2010,190
Kunst nach Landschaften,2011,186
Kunst nach Landschaften,2012,186
Kunst nach Landschaften,2013,181
Kunst nach Landschaften,2014,201
Kunst nach Landschaften,2015,157
Kunst nach Landschaften,2016,152
Kunst nach Landschaften,2017,166
Kunst nach Landschaften,2018,223
Kunst nach Landschaften,2019,141
Kunst nach Landschaften,2020,164
Kunst nach Landschaften,2021,175
Kunst nach Landschaften,2022,129
Kunst nach Landschaften,2023,31
Kunstgewerbe,1985,94
Kunstgewerbe,1986,104
