text_2,inventory_year,count
Elfenbeinplastik (Technik und Geschichte),1985,3
Elfenbeinplastik (Technik und Geschichte),1987,2
Elfenbeinplastik (Technik und Geschichte),1990,2
Elfenbeinplastik (Technik und Geschichte),1995,2
Elfenbeinplastik (Technik und Geschichte),1998,1
Elfenbeinplastik (Technik und Geschichte),2000,1
Elfenbeinplastik (Technik und Geschichte),2001,3
Elfenbeinplastik (Technik und Geschichte),2004,1
Elfenbeinplastik (Technik und Geschichte),2006,4
Elfenbeinplastik (Technik und Geschichte),2007,3
Elfenbeinplastik (Technik und Geschichte),2008,1
Elfenbeinplastik (Technik und Geschichte),2010,1
Elfenbeinplastik (Technik und Geschichte),2012,1
Elfenbeinplastik (Technik und Geschichte),2014,6
Elfenbeinplastik (Technik und Geschichte),2017,2
Elfenbeinplastik (Technik und Geschichte),2019,4
Elfenbeinplastik (Technik und Geschichte),2021,2
Elfenbeinplastik (Technik und Geschichte),2022,2
Geschichte der Plastik (außer Elfenbeinplastik speziell),1985,7
Geschichte der Plastik (außer Elfenbeinplastik speziell),1986,6
Geschichte der Plastik (außer Elfenbeinplastik speziell),1987,8
Geschichte der Plastik (außer Elfenbeinplastik speziell),1989,7
Geschichte der Plastik (außer Elfenbeinplastik speziell),1990,3
Geschichte der Plastik (außer Elfenbeinplastik speziell),1991,4
Geschichte der Plastik (außer Elfenbeinplastik speziell),1992,15
Geschichte der Plastik (außer Elfenbeinplastik speziell),1993,15
Geschichte der Plastik (außer Elfenbeinplastik speziell),1994,4
Geschichte der Plastik (außer Elfenbeinplastik speziell),1995,14
Geschichte der Plastik (außer Elfenbeinplastik speziell),1996,5
Geschichte der Plastik (außer Elfenbeinplastik speziell),1997,3
Geschichte der Plastik (außer Elfenbeinplastik speziell),1998,14
Geschichte der Plastik (außer Elfenbeinplastik speziell),1999,10
Geschichte der Plastik (außer Elfenbeinplastik speziell),2000,9
Geschichte der Plastik (außer Elfenbeinplastik speziell),2001,7
Geschichte der Plastik (außer Elfenbeinplastik speziell),2002,3
Geschichte der Plastik (außer Elfenbeinplastik speziell),2003,8
Geschichte der Plastik (außer Elfenbeinplastik speziell),2004,2
Geschichte der Plastik (außer Elfenbeinplastik speziell),2005,4
Geschichte der Plastik (außer Elfenbeinplastik speziell),2006,3
Geschichte der Plastik (außer Elfenbeinplastik speziell),2007,14
Geschichte der Plastik (außer Elfenbeinplastik speziell),2008,4
Geschichte der Plastik (außer Elfenbeinplastik speziell),2009,7
Geschichte der Plastik (außer Elfenbeinplastik speziell),2010,9
Geschichte der Plastik (außer Elfenbeinplastik speziell),2011,10
Geschichte der Plastik (außer Elfenbeinplastik speziell),2012,19
Geschichte der Plastik (außer Elfenbeinplastik speziell),2013,9
Geschichte der Plastik (außer Elfenbeinplastik speziell),2014,22
Geschichte der Plastik (außer Elfenbeinplastik speziell),2015,23
Geschichte der Plastik (außer Elfenbeinplastik speziell),2016,8
Geschichte der Plastik (außer Elfenbeinplastik speziell),2017,28
Geschichte der Plastik (außer Elfenbeinplastik speziell),2018,12
Geschichte der Plastik (außer Elfenbeinplastik speziell),2019,27
Geschichte der Plastik (außer Elfenbeinplastik speziell),2020,8
Geschichte der Plastik (außer Elfenbeinplastik speziell),2021,5
Geschichte der Plastik (außer Elfenbeinplastik speziell),2022,23
Geschichte der Plastik (außer Elfenbeinplastik speziell),2023,1
"Technik, Nationalstile und Varia",1985,1
"Technik, Nationalstile und Varia",1987,1
"Technik, Nationalstile und Varia",1988,2
"Technik, Nationalstile und Varia",1992,6
"Technik, Nationalstile und Varia",1993,1
"Technik, Nationalstile und Varia",1998,1
"Technik, Nationalstile und Varia",2002,2
"Technik, Nationalstile und Varia",2006,7
"Technik, Nationalstile und Varia",2007,2
"Technik, Nationalstile und Varia",2013,1
"Technik, Nationalstile und Varia",2016,2
"Technik, Nationalstile und Varia",2017,1
"Technik, Nationalstile und Varia",2018,5
"Technik, Nationalstile und Varia",2019,3
"Technik, Nationalstile und Varia",2020,3
