text_2,inventory_year,count
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1985,16
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1986,13
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1987,11
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1988,10
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1989,17
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1990,12
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1991,22
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1992,32
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1993,53
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1994,22
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1995,28
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1996,33
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1997,46
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1998,49
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",1999,27
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2000,35
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2001,28
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2002,18
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2003,19
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2004,22
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2005,34
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2006,23
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2007,33
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2008,22
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2009,36
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2010,35
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2011,41
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2012,25
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2013,17
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2014,30
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2015,36
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2016,26
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2017,43
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2018,39
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2019,41
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2020,36
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2021,17
"Geschichte der Malerei (außer speziell Glasmalerei, Mosaik und Sgraffito)",2022,17
Glasmalerei (Technik und Geschichte),1985,2
Glasmalerei (Technik und Geschichte),1986,9
Glasmalerei (Technik und Geschichte),1987,6
Glasmalerei (Technik und Geschichte),1988,11
Glasmalerei (Technik und Geschichte),1990,6
Glasmalerei (Technik und Geschichte),1992,4
Glasmalerei (Technik und Geschichte),1993,17
Glasmalerei (Technik und Geschichte),1994,5
Glasmalerei (Technik und Geschichte),1995,10
Glasmalerei (Technik und Geschichte),1996,4
Glasmalerei (Technik und Geschichte),1997,3
Glasmalerei (Technik und Geschichte),1998,6
Glasmalerei (Technik und Geschichte),1999,4
Glasmalerei (Technik und Geschichte),2000,6
Glasmalerei (Technik und Geschichte),2001,8
Glasmalerei (Technik und Geschichte),2002,9
Glasmalerei (Technik und Geschichte),2003,42
Glasmalerei (Technik und Geschichte),2004,8
Glasmalerei (Technik und Geschichte),2005,10
Glasmalerei (Technik und Geschichte),2006,5
Glasmalerei (Technik und Geschichte),2007,7
Glasmalerei (Technik und Geschichte),2008,2
Glasmalerei (Technik und Geschichte),2010,2
Glasmalerei (Technik und Geschichte),2015,2
Glasmalerei (Technik und Geschichte),2016,1
Glasmalerei (Technik und Geschichte),2017,12
Glasmalerei (Technik und Geschichte),2018,1
Glasmalerei (Technik und Geschichte),2019,3
Glasmalerei (Technik und Geschichte),2020,2
Glasmalerei (Technik und Geschichte),2022,6
Mosaik und Sgraffito (Technik und Geschichte),1985,3
Mosaik und Sgraffito (Technik und Geschichte),1988,16
Mosaik und Sgraffito (Technik und Geschichte),1995,4
Mosaik und Sgraffito (Technik und Geschichte),1996,1
Mosaik und Sgraffito (Technik und Geschichte),1997,3
Mosaik und Sgraffito (Technik und Geschichte),2000,7
Mosaik und Sgraffito (Technik und Geschichte),2001,4
Mosaik und Sgraffito (Technik und Geschichte),2002,2
Mosaik und Sgraffito (Technik und Geschichte),2005,4
Mosaik und Sgraffito (Technik und Geschichte),2006,2
Mosaik und Sgraffito (Technik und Geschichte),2010,1
Mosaik und Sgraffito (Technik und Geschichte),2011,2
Mosaik und Sgraffito (Technik und Geschichte),2012,1
Mosaik und Sgraffito (Technik und Geschichte),2013,1
Mosaik und Sgraffito (Technik und Geschichte),2015,3
Mosaik und Sgraffito (Technik und Geschichte),2017,16
Mosaik und Sgraffito (Technik und Geschichte),2019,6
Mosaik und Sgraffito (Technik und Geschichte),2020,2
Mosaik und Sgraffito (Technik und Geschichte),2021,2
Mosaik und Sgraffito (Technik und Geschichte),2022,1
"Technik, Nationalstile und Varia",1985,1
"Technik, Nationalstile und Varia",1988,4
"Technik, Nationalstile und Varia",1990,9
"Technik, Nationalstile und Varia",1991,1
"Technik, Nationalstile und Varia",1992,1
"Technik, Nationalstile und Varia",1993,1
"Technik, Nationalstile und Varia",1994,1
"Technik, Nationalstile und Varia",1995,4
"Technik, Nationalstile und Varia",1997,5
"Technik, Nationalstile und Varia",1998,7
"Technik, Nationalstile und Varia",1999,8
"Technik, Nationalstile und Varia",2000,3
"Technik, Nationalstile und Varia",2001,4
"Technik, Nationalstile und Varia",2002,1
"Technik, Nationalstile und Varia",2005,1
"Technik, Nationalstile und Varia",2006,3
"Technik, Nationalstile und Varia",2007,1
"Technik, Nationalstile und Varia",2008,5
"Technik, Nationalstile und Varia",2009,1
"Technik, Nationalstile und Varia",2011,3
"Technik, Nationalstile und Varia",2012,3
"Technik, Nationalstile und Varia",2013,3
"Technik, Nationalstile und Varia",2015,17
"Technik, Nationalstile und Varia",2016,1
"Technik, Nationalstile und Varia",2018,8
"Technik, Nationalstile und Varia",2021,3
