text_2,inventory_year,count
Buchgestaltung und Buchillustration,1985,5
Buchgestaltung und Buchillustration,1986,1
Buchgestaltung und Buchillustration,1987,4
Buchgestaltung und Buchillustration,1988,8
Buchgestaltung und Buchillustration,1989,15
Buchgestaltung und Buchillustration,1990,3
Buchgestaltung und Buchillustration,1991,3
Buchgestaltung und Buchillustration,1992,7
Buchgestaltung und Buchillustration,1993,23
Buchgestaltung und Buchillustration,1994,15
Buchgestaltung und Buchillustration,1995,11
Buchgestaltung und Buchillustration,1996,8
Buchgestaltung und Buchillustration,1997,16
Buchgestaltung und Buchillustration,1998,13
Buchgestaltung und Buchillustration,1999,12
Buchgestaltung und Buchillustration,2000,35
Buchgestaltung und Buchillustration,2001,28
Buchgestaltung und Buchillustration,2002,20
Buchgestaltung und Buchillustration,2003,6
Buchgestaltung und Buchillustration,2004,9
Buchgestaltung und Buchillustration,2005,9
Buchgestaltung und Buchillustration,2006,11
Buchgestaltung und Buchillustration,2007,6
Buchgestaltung und Buchillustration,2008,14
Buchgestaltung und Buchillustration,2009,8
Buchgestaltung und Buchillustration,2010,7
Buchgestaltung und Buchillustration,2011,1
Buchgestaltung und Buchillustration,2012,7
Buchgestaltung und Buchillustration,2013,5
Buchgestaltung und Buchillustration,2014,20
Buchgestaltung und Buchillustration,2015,11
Buchgestaltung und Buchillustration,2016,11
Buchgestaltung und Buchillustration,2017,6
Buchgestaltung und Buchillustration,2018,12
Buchgestaltung und Buchillustration,2019,4
Buchgestaltung und Buchillustration,2020,7
Buchgestaltung und Buchillustration,2021,14
Buchgestaltung und Buchillustration,2022,24
Buchgestaltung und Buchillustration,2023,3
Gebrauchs- und Gelegenheitsgraphik,1985,3
Gebrauchs- und Gelegenheitsgraphik,1986,1
Gebrauchs- und Gelegenheitsgraphik,1987,11
Gebrauchs- und Gelegenheitsgraphik,1988,7
Gebrauchs- und Gelegenheitsgraphik,1989,2
Gebrauchs- und Gelegenheitsgraphik,1990,1
Gebrauchs- und Gelegenheitsgraphik,1991,2
Gebrauchs- und Gelegenheitsgraphik,1993,5
Gebrauchs- und Gelegenheitsgraphik,1994,6
Gebrauchs- und Gelegenheitsgraphik,1995,2
Gebrauchs- und Gelegenheitsgraphik,1996,3
Gebrauchs- und Gelegenheitsgraphik,1997,5
Gebrauchs- und Gelegenheitsgraphik,1998,4
Gebrauchs- und Gelegenheitsgraphik,1999,5
Gebrauchs- und Gelegenheitsgraphik,2000,7
Gebrauchs- und Gelegenheitsgraphik,2001,7
Gebrauchs- und Gelegenheitsgraphik,2002,4
Gebrauchs- und Gelegenheitsgraphik,2003,5
Gebrauchs- und Gelegenheitsgraphik,2004,6
Gebrauchs- und Gelegenheitsgraphik,2005,7
Gebrauchs- und Gelegenheitsgraphik,2006,3
Gebrauchs- und Gelegenheitsgraphik,2008,9
Gebrauchs- und Gelegenheitsgraphik,2009,20
Gebrauchs- und Gelegenheitsgraphik,2010,4
Gebrauchs- und Gelegenheitsgraphik,2011,3
Gebrauchs- und Gelegenheitsgraphik,2012,4
Gebrauchs- und Gelegenheitsgraphik,2013,8
Gebrauchs- und Gelegenheitsgraphik,2014,21
Gebrauchs- und Gelegenheitsgraphik,2015,10
Gebrauchs- und Gelegenheitsgraphik,2016,27
Gebrauchs- und Gelegenheitsgraphik,2017,8
Gebrauchs- und Gelegenheitsgraphik,2018,21
Gebrauchs- und Gelegenheitsgraphik,2019,15
Gebrauchs- und Gelegenheitsgraphik,2020,18
Gebrauchs- und Gelegenheitsgraphik,2021,5
Gebrauchs- und Gelegenheitsgraphik,2022,50
Graphik allgemein,1991,1
Graphik allgemein,1994,2
Graphik allgemein,1997,2
Graphik allgemein,1998,10
Graphik allgemein,1999,4
Graphik allgemein,2000,1
Graphik allgemein,2001,3
Graphik allgemein,2002,2
Graphik allgemein,2003,1
Graphik allgemein,2004,1
Graphik allgemein,2005,2
Graphik allgemein,2006,5
Graphik allgemein,2007,1
Graphik allgemein,2008,1
Graphik allgemein,2009,9
Graphik allgemein,2010,3
Graphik allgemein,2011,3
Graphik allgemein,2013,2
Graphik allgemein,2015,4
Graphik allgemein,2017,4
Graphik allgemein,2018,12
Graphik allgemein,2019,1
Graphik allgemein,2020,1
Graphik allgemein,2021,4
Graphik allgemein,2022,2
Handzeichnung,1985,7
Handzeichnung,1987,3
Handzeichnung,1988,2
Handzeichnung,1989,2
Handzeichnung,1992,5
Handzeichnung,1993,1
Handzeichnung,1994,3
Handzeichnung,1995,1
Handzeichnung,1998,5
Handzeichnung,1999,5
Handzeichnung,2000,6
Handzeichnung,2002,2
Handzeichnung,2003,1
Handzeichnung,2004,1
Handzeichnung,2005,1
Handzeichnung,2006,1
Handzeichnung,2007,1
Handzeichnung,2009,2
Handzeichnung,2011,2
Handzeichnung,2012,1
Handzeichnung,2014,2
Handzeichnung,2015,2
Handzeichnung,2016,2
Handzeichnung,2017,8
Handzeichnung,2018,8
Handzeichnung,2019,1
Handzeichnung,2020,5
Handzeichnung,2021,5
Handzeichnung,2022,3
Holz- und Metallschnitt,1996,1
Holz- und Metallschnitt,1999,1
Holz- und Metallschnitt,2000,1
Holz- und Metallschnitt,2001,1
Holz- und Metallschnitt,2002,4
Holz- und Metallschnitt,2007,4
Holz- und Metallschnitt,2010,2
Holz- und Metallschnitt,2011,2
Holz- und Metallschnitt,2013,16
Holz- und Metallschnitt,2015,2
Holz- und Metallschnitt,2018,3
Holz- und Metallschnitt,2019,2
Holz- und Metallschnitt,2020,2
Kupfer- und Stahlstich,1985,1
Kupfer- und Stahlstich,1988,3
Kupfer- und Stahlstich,1989,1
Kupfer- und Stahlstich,1990,1
