text_2,inventory_year,count
Architektur,1985,3
Architektur,1986,6
Architektur,1987,6
Architektur,1988,5
Architektur,1989,9
Architektur,1990,31
Architektur,1991,16
Architektur,1992,6
Architektur,1993,3
Architektur,1994,4
Architektur,1995,12
Architektur,1996,8
Architektur,1997,29
Architektur,1998,24
Architektur,1999,11
Architektur,2000,21
Architektur,2001,24
Architektur,2002,10
Architektur,2003,18
Architektur,2004,4
Architektur,2005,12
Architektur,2006,9
Architektur,2007,8
Architektur,2008,10
Architektur,2009,16
Architektur,2010,10
Architektur,2011,11
Architektur,2012,8
Architektur,2013,18
Architektur,2014,9
Architektur,2015,12
Architektur,2016,5
Architektur,2017,8
Architektur,2018,7
Architektur,2019,6
Architektur,2020,9
Architektur,2021,11
Architektur,2022,5
Architektur,2023,2
Bibliographien,1989,1
Bibliographien,1995,4
Bibliographien,2001,4
Bibliographien,2002,7
Bibliographien,2004,10
Einzelne profane Gebäude,1985,14
Einzelne profane Gebäude,1986,28
Einzelne profane Gebäude,1987,11
Einzelne profane Gebäude,1988,21
Einzelne profane Gebäude,1989,26
Einzelne profane Gebäude,1990,22
Einzelne profane Gebäude,1991,20
Einzelne profane Gebäude,1992,36
Einzelne profane Gebäude,1993,20
Einzelne profane Gebäude,1994,33
Einzelne profane Gebäude,1995,25
Einzelne profane Gebäude,1996,26
Einzelne profane Gebäude,1997,24
Einzelne profane Gebäude,1998,28
Einzelne profane Gebäude,1999,27
Einzelne profane Gebäude,2000,26
Einzelne profane Gebäude,2001,27
Einzelne profane Gebäude,2002,24
Einzelne profane Gebäude,2003,15
Einzelne profane Gebäude,2004,33
Einzelne profane Gebäude,2005,33
Einzelne profane Gebäude,2006,27
Einzelne profane Gebäude,2007,31
Einzelne profane Gebäude,2008,39
Einzelne profane Gebäude,2009,38
Einzelne profane Gebäude,2010,18
Einzelne profane Gebäude,2011,40
Einzelne profane Gebäude,2012,29
Einzelne profane Gebäude,2013,43
Einzelne profane Gebäude,2014,32
Einzelne profane Gebäude,2015,39
Einzelne profane Gebäude,2016,29
Einzelne profane Gebäude,2017,19
Einzelne profane Gebäude,2018,24
Einzelne profane Gebäude,2019,18
Einzelne profane Gebäude,2020,31
Einzelne profane Gebäude,2021,23
Einzelne profane Gebäude,2022,16
Einzelne profane Gebäude,2023,6
Einzelne sakrale Gebäude,1985,20
Einzelne sakrale Gebäude,1986,16
Einzelne sakrale Gebäude,1987,8
Einzelne sakrale Gebäude,1988,14
Einzelne sakrale Gebäude,1989,19
Einzelne sakrale Gebäude,1990,26
Einzelne sakrale Gebäude,1991,28
Einzelne sakrale Gebäude,1992,40
Einzelne sakrale Gebäude,1993,17
Einzelne sakrale Gebäude,1994,25
Einzelne sakrale Gebäude,1995,24
Einzelne sakrale Gebäude,1996,12
Einzelne sakrale Gebäude,1997,16
Einzelne sakrale Gebäude,1998,11
Einzelne sakrale Gebäude,1999,20
Einzelne sakrale Gebäude,2000,25
Einzelne sakrale Gebäude,2001,24
Einzelne sakrale Gebäude,2002,18
Einzelne sakrale Gebäude,2003,33
Einzelne sakrale Gebäude,2004,19
Einzelne sakrale Gebäude,2005,40
Einzelne sakrale Gebäude,2006,30
Einzelne sakrale Gebäude,2007,24
Einzelne sakrale Gebäude,2008,32
Einzelne sakrale Gebäude,2009,32
Einzelne sakrale Gebäude,2010,44
Einzelne sakrale Gebäude,2011,21
Einzelne sakrale Gebäude,2012,30
Einzelne sakrale Gebäude,2013,40
Einzelne sakrale Gebäude,2014,42
Einzelne sakrale Gebäude,2015,28
Einzelne sakrale Gebäude,2016,36
Einzelne sakrale Gebäude,2017,25
Einzelne sakrale Gebäude,2018,68
Einzelne sakrale Gebäude,2019,97
Einzelne sakrale Gebäude,2020,14
Einzelne sakrale Gebäude,2021,17
Einzelne sakrale Gebäude,2022,17
Einzelne sakrale Gebäude,2023,2
Geschichte und Kulturgeschichte,1985,30
Geschichte und Kulturgeschichte,1986,32
Geschichte und Kulturgeschichte,1987,45
Geschichte und Kulturgeschichte,1988,24
Geschichte und Kulturgeschichte,1989,29
Geschichte und Kulturgeschichte,1990,35
Geschichte und Kulturgeschichte,1991,20
Geschichte und Kulturgeschichte,1992,48
Geschichte und Kulturgeschichte,1993,40
Geschichte und Kulturgeschichte,1994,45
Geschichte und Kulturgeschichte,1995,27
Geschichte und Kulturgeschichte,1996,35
Geschichte und Kulturgeschichte,1997,36
Geschichte und Kulturgeschichte,1998,39
Geschichte und Kulturgeschichte,1999,42
Geschichte und Kulturgeschichte,2000,81
Geschichte und Kulturgeschichte,2001,80
Geschichte und Kulturgeschichte,2002,51
Geschichte und Kulturgeschichte,2003,34
Geschichte und Kulturgeschichte,2004,72
Geschichte und Kulturgeschichte,2005,39
Geschichte und Kulturgeschichte,2006,74
Geschichte und Kulturgeschichte,2007,50
Geschichte und Kulturgeschichte,2008,51
Geschichte und Kulturgeschichte,2009,48
Geschichte und Kulturgeschichte,2010,71
Geschichte und Kulturgeschichte,2011,68
Geschichte und Kulturgeschichte,2012,52
Geschichte und Kulturgeschichte,2013,83
Geschichte und Kulturgeschichte,2014,79
Geschichte und Kulturgeschichte,2015,60
Geschichte und Kulturgeschichte,2016,90
Geschichte und Kulturgeschichte,2017,104
Geschichte und Kulturgeschichte,2018,57
Geschichte und Kulturgeschichte,2019,62
Geschichte und Kulturgeschichte,2020,61
Geschichte und Kulturgeschichte,2021,75
Geschichte und Kulturgeschichte,2022,83
Geschichte und Kulturgeschichte,2023,24
Holland,1985,2
Holland,1986,2
Holland,1987,9
Holland,1988,9
Holland,1989,9
Holland,1990,2
Holland,1991,8
Holland,1992,6
Holland,1993,11
Holland,1994,3
Holland,1995,10
Holland,1996,8
Holland,1997,3
Holland,1998,14
Holland,1999,11
Holland,2000,9
Holland,2001,8
Holland,2002,13
Holland,2003,3
Holland,2004,14
Holland,2005,9
Holland,2006,34
Holland,2007,8
Holland,2008,6
Holland,2009,12
Holland,2010,17
Holland,2011,21
Holland,2012,6
Holland,2013,17
Holland,2014,16
Holland,2015,11
Holland,2016,28
Holland,2017,13
Holland,2018,14
Holland,2019,11
Holland,2020,17
Holland,2021,20
Holland,2022,46
Holland,2023,9
Kunst allgemein,1985,13
Kunst allgemein,1986,18
Kunst allgemein,1987,14
Kunst allgemein,1988,20
Kunst allgemein,1989,14
Kunst allgemein,1990,17
Kunst allgemein,1991,22
Kunst allgemein,1992,14
Kunst allgemein,1993,13
Kunst allgemein,1994,8
Kunst allgemein,1995,13
Kunst allgemein,1996,7
Kunst allgemein,1997,19
Kunst allgemein,1998,19
Kunst allgemein,1999,15
Kunst allgemein,2000,28
Kunst allgemein,2001,16
Kunst allgemein,2002,20
Kunst allgemein,2003,24
Kunst allgemein,2004,18
Kunst allgemein,2005,15
Kunst allgemein,2006,20
Kunst allgemein,2007,24
Kunst allgemein,2008,23
Kunst allgemein,2009,25
Kunst allgemein,2010,22
Kunst allgemein,2011,23
Kunst allgemein,2012,27
Kunst allgemein,2013,29
Kunst allgemein,2014,26
Kunst allgemein,2015,26
Kunst allgemein,2016,19
Kunst allgemein,2017,11
Kunst allgemein,2018,38
Kunst allgemein,2019,13
Kunst allgemein,2020,28
Kunst allgemein,2021,15
Kunst allgemein,2022,9
Kunst allgemein,2023,5
Malerei,1985,2
Malerei,1987,5
Malerei,1988,4
Malerei,1990,1
Malerei,1991,2
Malerei,1992,4
Malerei,1993,3
Malerei,1994,11
Malerei,1995,2
Malerei,1996,8
Malerei,1997,9
Malerei,1998,1
Malerei,1999,5
Malerei,2000,4
Malerei,2001,4
Malerei,2002,4
Malerei,2003,2
Malerei,2004,1
Malerei,2005,3
Malerei,2006,9
Malerei,2007,6
Malerei,2008,7
Malerei,2009,5
Malerei,2010,11
Malerei,2011,5
Malerei,2012,5
Malerei,2013,10
Malerei,2014,3
Malerei,2015,2
Malerei,2016,5
Malerei,2017,2
Malerei,2018,8
Malerei,2019,5
Malerei,2020,3
Malerei,2022,4
Plastik,1987,2
Plastik,1988,3
Plastik,1989,1
Plastik,1990,4
Plastik,1991,3
Plastik,1992,8
Plastik,1994,1
Plastik,1996,7
Plastik,1997,4
Plastik,1998,3
Plastik,2000,2
Plastik,2001,1
Plastik,2004,4
Plastik,2005,2
Plastik,2009,2
Plastik,2010,4
Plastik,2011,2
Plastik,2012,5
Plastik,2013,6
Plastik,2014,1
Plastik,2015,3
Plastik,2016,2
Plastik,2017,2
Plastik,2019,2
Plastik,2020,11
Plastik,2022,2
Stadtbaukunst,1985,21
Stadtbaukunst,1986,28
Stadtbaukunst,1987,20
Stadtbaukunst,1988,40
Stadtbaukunst,1989,21
Stadtbaukunst,1990,29
Stadtbaukunst,1991,42
Stadtbaukunst,1992,28
Stadtbaukunst,1993,26
Stadtbaukunst,1994,15
Stadtbaukunst,1995,20
Stadtbaukunst,1996,12
Stadtbaukunst,1997,26
Stadtbaukunst,1998,31
Stadtbaukunst,1999,26
Stadtbaukunst,2000,36
Stadtbaukunst,2001,44
Stadtbaukunst,2002,19
Stadtbaukunst,2003,38
Stadtbaukunst,2004,44
Stadtbaukunst,2005,26
Stadtbaukunst,2006,43
Stadtbaukunst,2007,39
Stadtbaukunst,2008,44
Stadtbaukunst,2009,34
Stadtbaukunst,2010,49
Stadtbaukunst,2011,70
Stadtbaukunst,2012,47
Stadtbaukunst,2013,53
Stadtbaukunst,2014,39
Stadtbaukunst,2015,57
Stadtbaukunst,2016,50
Stadtbaukunst,2017,31
Stadtbaukunst,2018,36
Stadtbaukunst,2019,34
Stadtbaukunst,2020,40
Stadtbaukunst,2021,32
Stadtbaukunst,2022,29
Stadtbaukunst,2023,15
"Statistik, Stadtpläne, Guiden, Veduten",1985,6
"Statistik, Stadtpläne, Guiden, Veduten",1986,24
"Statistik, Stadtpläne, Guiden, Veduten",1987,21
"Statistik, Stadtpläne, Guiden, Veduten",1988,22
"Statistik, Stadtpläne, Guiden, Veduten",1989,26
"Statistik, Stadtpläne, Guiden, Veduten",1990,20
"Statistik, Stadtpläne, Guiden, Veduten",1991,27
"Statistik, Stadtpläne, Guiden, Veduten",1992,25
"Statistik, Stadtpläne, Guiden, Veduten",1993,19
"Statistik, Stadtpläne, Guiden, Veduten",1994,26
"Statistik, Stadtpläne, Guiden, Veduten",1995,22
"Statistik, Stadtpläne, Guiden, Veduten",1996,13
"Statistik, Stadtpläne, Guiden, Veduten",1997,26
"Statistik, Stadtpläne, Guiden, Veduten",1998,13
"Statistik, Stadtpläne, Guiden, Veduten",1999,15
"Statistik, Stadtpläne, Guiden, Veduten",2000,21
"Statistik, Stadtpläne, Guiden, Veduten",2001,51
"Statistik, Stadtpläne, Guiden, Veduten",2002,35
"Statistik, Stadtpläne, Guiden, Veduten",2003,25
"Statistik, Stadtpläne, Guiden, Veduten",2004,27
"Statistik, Stadtpläne, Guiden, Veduten",2005,28
"Statistik, Stadtpläne, Guiden, Veduten",2006,32
"Statistik, Stadtpläne, Guiden, Veduten",2007,15
"Statistik, Stadtpläne, Guiden, Veduten",2008,15
"Statistik, Stadtpläne, Guiden, Veduten",2009,27
