text_2,inventory_year,count
Einzelschriften aus dem Mittelalter (800-1400),1987,1
Einzelschriften aus dem Mittelalter (800-1400),1988,1
Einzelschriften aus dem Mittelalter (800-1400),1993,2
Einzelschriften aus dem Mittelalter (800-1400),2000,2
Einzelschriften aus dem Mittelalter (800-1400),2001,8
Einzelschriften aus dem Mittelalter (800-1400),2006,2
Einzelschriften aus dem Mittelalter (800-1400),2008,1
Einzelschriften aus dem Mittelalter (800-1400),2011,3
Einzelschriften aus dem Mittelalter (800-1400),2017,1
Einzelschriften aus der Antike (bis 800),1985,1
Einzelschriften aus der Antike (bis 800),1986,4
Einzelschriften aus der Antike (bis 800),1987,5
Einzelschriften aus der Antike (bis 800),1988,10
Einzelschriften aus der Antike (bis 800),1989,13
Einzelschriften aus der Antike (bis 800),1990,6
Einzelschriften aus der Antike (bis 800),1993,5
Einzelschriften aus der Antike (bis 800),1994,2
Einzelschriften aus der Antike (bis 800),1995,2
Einzelschriften aus der Antike (bis 800),1996,7
Einzelschriften aus der Antike (bis 800),1997,3
Einzelschriften aus der Antike (bis 800),1998,2
Einzelschriften aus der Antike (bis 800),1999,4
Einzelschriften aus der Antike (bis 800),2000,5
Einzelschriften aus der Antike (bis 800),2001,6
Einzelschriften aus der Antike (bis 800),2002,1
Einzelschriften aus der Antike (bis 800),2003,3
Einzelschriften aus der Antike (bis 800),2004,10
Einzelschriften aus der Antike (bis 800),2005,2
Einzelschriften aus der Antike (bis 800),2006,1
Einzelschriften aus der Antike (bis 800),2007,7
Einzelschriften aus der Antike (bis 800),2009,5
Einzelschriften aus der Antike (bis 800),2010,1
Einzelschriften aus der Antike (bis 800),2011,10
Einzelschriften aus der Antike (bis 800),2012,4
Einzelschriften aus der Antike (bis 800),2013,2
Einzelschriften aus der Antike (bis 800),2014,2
Einzelschriften aus der Antike (bis 800),2015,3
Einzelschriften aus der Antike (bis 800),2017,1
Einzelschriften aus der Antike (bis 800),2019,1
Einzelschriften aus der Antike (bis 800),2020,1
Einzelschriften aus der Antike (bis 800),2021,3
Einzelschriften aus der Antike (bis 800),2022,1
Einzelschriften unbekannter Autoren aus der Neuzeit (1400-1800),1986,4
Einzelschriften unbekannter Autoren aus der Neuzeit (1400-1800),1991,1
Einzelschriften unbekannter Autoren aus der Neuzeit (1400-1800),1992,1
Einzelschriften unbekannter Autoren aus der Neuzeit (1400-1800),1994,1
Einzelschriften unbekannter Autoren aus der Neuzeit (1400-1800),1995,2
Gesammelte Künstlerbriefe und Künstleranekdoten,1993,2
Gesammelte Künstlerbriefe und Künstleranekdoten,2008,2
Gesammelte Künstlerbriefe und Künstleranekdoten,2014,3
Gesammelte Künstlerbriefe und Künstleranekdoten,2018,1
Gesammelte Künstlerbriefe und Künstleranekdoten,2019,2
Gesammelte Künstlerbriefe und Künstleranekdoten,2022,3
Programmschriften und Manifeste von Künstlergemeinschaften des 19. und 20. Jahrhunderts,1985,2
Programmschriften und Manifeste von Künstlergemeinschaften des 19. und 20. Jahrhunderts,1986,1
Programmschriften und Manifeste von Künstlergemeinschaften des 19. und 20. Jahrhunderts,1987,1
Programmschriften und Manifeste von Künstlergemeinschaften des 19. und 20. Jahrhunderts,1988,2
Programmschriften und Manifeste von Künstlergemeinschaften des 19. und 20. Jahrhunderts,1990,1
Programmschriften und Manifeste von Künstlergemeinschaften des 19. und 20. Jahrhunderts,1997,1
