text_2,inventory_year,count
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1986,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1991,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1994,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1996,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1997,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1998,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",1999,3
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2001,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2002,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2003,3
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2005,3
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2006,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2007,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2009,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2010,3
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2011,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2013,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2014,3
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2015,5
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2016,6
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2017,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2018,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2019,4
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2020,2
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2021,1
"Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte)",2022,2
"Baukunde, Nationalstile und Varia",1987,5
"Baukunde, Nationalstile und Varia",1988,4
"Baukunde, Nationalstile und Varia",1989,5
"Baukunde, Nationalstile und Varia",1991,1
"Baukunde, Nationalstile und Varia",1992,10
"Baukunde, Nationalstile und Varia",1993,6
"Baukunde, Nationalstile und Varia",1994,6
"Baukunde, Nationalstile und Varia",1995,7
"Baukunde, Nationalstile und Varia",1996,3
"Baukunde, Nationalstile und Varia",1997,1
"Baukunde, Nationalstile und Varia",1998,7
"Baukunde, Nationalstile und Varia",2000,7
"Baukunde, Nationalstile und Varia",2001,14
"Baukunde, Nationalstile und Varia",2002,6
"Baukunde, Nationalstile und Varia",2003,2
"Baukunde, Nationalstile und Varia",2004,9
"Baukunde, Nationalstile und Varia",2005,64
"Baukunde, Nationalstile und Varia",2006,9
"Baukunde, Nationalstile und Varia",2007,16
"Baukunde, Nationalstile und Varia",2008,8
"Baukunde, Nationalstile und Varia",2009,8
"Baukunde, Nationalstile und Varia",2010,3
"Baukunde, Nationalstile und Varia",2011,4
"Baukunde, Nationalstile und Varia",2012,8
"Baukunde, Nationalstile und Varia",2013,12
"Baukunde, Nationalstile und Varia",2014,8
"Baukunde, Nationalstile und Varia",2015,18
"Baukunde, Nationalstile und Varia",2016,9
"Baukunde, Nationalstile und Varia",2017,8
"Baukunde, Nationalstile und Varia",2018,7
"Baukunde, Nationalstile und Varia",2019,7
"Baukunde, Nationalstile und Varia",2020,4
"Baukunde, Nationalstile und Varia",2021,9
"Baukunde, Nationalstile und Varia",2022,24
Bühnenbild und Bühnenausstattung,1991,1
Bühnenbild und Bühnenausstattung,1996,1
Bühnenbild und Bühnenausstattung,1997,1
Bühnenbild und Bühnenausstattung,1998,2
Bühnenbild und Bühnenausstattung,2006,2
Bühnenbild und Bühnenausstattung,2010,5
Bühnenbild und Bühnenausstattung,2014,2
Bühnenbild und Bühnenausstattung,2021,1
Bühnenbild und Bühnenausstattung,2023,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1985,1
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1987,1
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1988,3
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1989,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1991,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1993,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1995,3
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1997,1
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",1998,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2001,3
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2005,1
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2006,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2008,1
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2014,9
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2016,2
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2017,1
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2018,8
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2019,8
"Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbogen, Trauergerüste, Ausstellungspavillons etc.)",2020,4
Gartenanlagen,1985,3
Gartenanlagen,1986,1
Gartenanlagen,1987,4
Gartenanlagen,1988,2
Gartenanlagen,1989,5
Gartenanlagen,1990,3
Gartenanlagen,1991,4
Gartenanlagen,1993,8
Gartenanlagen,1994,21
Gartenanlagen,1995,5
Gartenanlagen,1996,10
Gartenanlagen,1997,13
Gartenanlagen,1998,9
Gartenanlagen,1999,11
Gartenanlagen,2000,8
Gartenanlagen,2001,11
Gartenanlagen,2002,14
Gartenanlagen,2003,17
Gartenanlagen,2004,10
Gartenanlagen,2005,7
Gartenanlagen,2006,14
Gartenanlagen,2007,16
Gartenanlagen,2008,5
Gartenanlagen,2009,15
Gartenanlagen,2010,6
Gartenanlagen,2011,8
Gartenanlagen,2012,8
Gartenanlagen,2013,36
Gartenanlagen,2014,13
Gartenanlagen,2015,8
Gartenanlagen,2016,21
Gartenanlagen,2017,9
Gartenanlagen,2018,15
Gartenanlagen,2019,7
Gartenanlagen,2020,9
Gartenanlagen,2021,8
Gartenanlagen,2022,11
Gartenanlagen,2023,3
Geschichte der Architektur (außer Profanbau speziell),1985,22
Geschichte der Architektur (außer Profanbau speziell),1986,10
Geschichte der Architektur (außer Profanbau speziell),1987,30
Geschichte der Architektur (außer Profanbau speziell),1988,38
Geschichte der Architektur (außer Profanbau speziell),1989,18
Geschichte der Architektur (außer Profanbau speziell),1990,15
Geschichte der Architektur (außer Profanbau speziell),1991,15
Geschichte der Architektur (außer Profanbau speziell),1992,11
Geschichte der Architektur (außer Profanbau speziell),1993,50
Geschichte der Architektur (außer Profanbau speziell),1994,11
Geschichte der Architektur (außer Profanbau speziell),1995,38
Geschichte der Architektur (außer Profanbau speziell),1996,31
Geschichte der Architektur (außer Profanbau speziell),1997,34
Geschichte der Architektur (außer Profanbau speziell),1998,74
Geschichte der Architektur (außer Profanbau speziell),1999,45
Geschichte der Architektur (außer Profanbau speziell),2000,64
Geschichte der Architektur (außer Profanbau speziell),2001,43
Geschichte der Architektur (außer Profanbau speziell),2002,67
Geschichte der Architektur (außer Profanbau speziell),2003,33
Geschichte der Architektur (außer Profanbau speziell),2004,50
Geschichte der Architektur (außer Profanbau speziell),2005,30
Geschichte der Architektur (außer Profanbau speziell),2006,35
Geschichte der Architektur (außer Profanbau speziell),2007,31
Geschichte der Architektur (außer Profanbau speziell),2008,60
Geschichte der Architektur (außer Profanbau speziell),2009,58
Geschichte der Architektur (außer Profanbau speziell),2010,45
Geschichte der Architektur (außer Profanbau speziell),2011,42
Geschichte der Architektur (außer Profanbau speziell),2012,46
Geschichte der Architektur (außer Profanbau speziell),2013,38
Geschichte der Architektur (außer Profanbau speziell),2014,48
Geschichte der Architektur (außer Profanbau speziell),2015,72
Geschichte der Architektur (außer Profanbau speziell),2016,34
Geschichte der Architektur (außer Profanbau speziell),2017,45
Geschichte der Architektur (außer Profanbau speziell),2018,59
Geschichte der Architektur (außer Profanbau speziell),2019,41
Geschichte der Architektur (außer Profanbau speziell),2020,16
Geschichte der Architektur (außer Profanbau speziell),2021,28
Geschichte der Architektur (außer Profanbau speziell),2022,24
Geschichte der Architektur (außer Profanbau speziell),2023,4
Geschichte der Profanarchitektur,1994,1
Geschichte der Profanarchitektur,1998,3
Geschichte der Profanarchitektur,1999,3
Geschichte der Profanarchitektur,2000,2
Geschichte der Profanarchitektur,2002,3
Geschichte der Profanarchitektur,2008,1
Geschichte der Profanarchitektur,2009,3
Geschichte der Profanarchitektur,2013,1
Geschichte der Profanarchitektur,2014,1
Geschichte der Profanarchitektur,2016,5
Geschichte der Profanarchitektur,2017,1
Geschichte der Profanarchitektur,2020,2
Geschichte der Profanarchitektur,2021,1
Geschichte der Profanarchitektur,2022,2
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1985,16
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1987,25
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1989,8
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1990,10
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1992,15
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1995,60
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1996,17
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1997,25
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1998,1
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,1999,10
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2000,20
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2001,7
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2002,20
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2003,15
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2004,22
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2005,1
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2006,11
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2007,17
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2008,15
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2009,7
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2012,11
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2013,11
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2014,2
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2015,15
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2016,5
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2017,10
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2018,40
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2019,32
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2020,5
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2021,41
Konstruktive Bauglieder in der Sakral-und Profanarchitektur,2022,26
Sachfragen zur Profanarchitektur,1985,7
Sachfragen zur Profanarchitektur,1986,8
Sachfragen zur Profanarchitektur,1987,10
Sachfragen zur Profanarchitektur,1988,4
Sachfragen zur Profanarchitektur,1989,6
Sachfragen zur Profanarchitektur,1990,4
Sachfragen zur Profanarchitektur,1991,4
Sachfragen zur Profanarchitektur,1992,2
Sachfragen zur Profanarchitektur,1993,12
Sachfragen zur Profanarchitektur,1994,18
Sachfragen zur Profanarchitektur,1995,17
Sachfragen zur Profanarchitektur,1996,25
Sachfragen zur Profanarchitektur,1997,11
Sachfragen zur Profanarchitektur,1998,19
Sachfragen zur Profanarchitektur,1999,10
Sachfragen zur Profanarchitektur,2000,15
Sachfragen zur Profanarchitektur,2001,12
Sachfragen zur Profanarchitektur,2002,18
Sachfragen zur Profanarchitektur,2003,7
Sachfragen zur Profanarchitektur,2004,14
Sachfragen zur Profanarchitektur,2005,14
Sachfragen zur Profanarchitektur,2006,7
Sachfragen zur Profanarchitektur,2007,12
Sachfragen zur Profanarchitektur,2008,6
Sachfragen zur Profanarchitektur,2009,6
Sachfragen zur Profanarchitektur,2010,14
Sachfragen zur Profanarchitektur,2011,7
Sachfragen zur Profanarchitektur,2012,15
Sachfragen zur Profanarchitektur,2013,11
Sachfragen zur Profanarchitektur,2014,23
Sachfragen zur Profanarchitektur,2015,25
Sachfragen zur Profanarchitektur,2016,9
Sachfragen zur Profanarchitektur,2017,22
Sachfragen zur Profanarchitektur,2018,42
Sachfragen zur Profanarchitektur,2019,32
Sachfragen zur Profanarchitektur,2020,7
Sachfragen zur Profanarchitektur,2021,7
Sachfragen zur Profanarchitektur,2022,10
Sachfragen zur Profanarchitektur,2023,6
Sachfragen zur Sakralarchitektur,1985,13
Sachfragen zur Sakralarchitektur,1986,10
Sachfragen zur Sakralarchitektur,1987,2
Sachfragen zur Sakralarchitektur,1988,2
Sachfragen zur Sakralarchitektur,1989,1
Sachfragen zur Sakralarchitektur,1991,2
Sachfragen zur Sakralarchitektur,1994,8
Sachfragen zur Sakralarchitektur,1995,6
Sachfragen zur Sakralarchitektur,1996,11
Sachfragen zur Sakralarchitektur,1997,4
Sachfragen zur Sakralarchitektur,1998,14
Sachfragen zur Sakralarchitektur,1999,5
Sachfragen zur Sakralarchitektur,2000,7
Sachfragen zur Sakralarchitektur,2001,14
Sachfragen zur Sakralarchitektur,2002,4
Sachfragen zur Sakralarchitektur,2003,9
Sachfragen zur Sakralarchitektur,2004,8
Sachfragen zur Sakralarchitektur,2005,11
Sachfragen zur Sakralarchitektur,2006,29
Sachfragen zur Sakralarchitektur,2007,7
Sachfragen zur Sakralarchitektur,2008,6
Sachfragen zur Sakralarchitektur,2009,3
Sachfragen zur Sakralarchitektur,2010,7
