text_2,inventory_year,count
Deutschland,1986,7
Deutschland,1993,6
Deutschland,1995,1
Deutschland,1999,3
Deutschland,2003,1
Deutschland,2007,4
Deutschland,2008,1
Deutschland,2015,1
Deutschland,2016,1
Deutschland,2018,1
Europäische Sowjetunion (einschließlich baltische Staaten),1994,6
Europäische Sowjetunion (einschließlich baltische Staaten),2002,1
Europäische Sowjetunion (einschließlich baltische Staaten),2003,1
Europäische Sowjetunion (einschließlich baltische Staaten),2008,6
Europäische Sowjetunion (einschließlich baltische Staaten),2012,1
Europäische Türkei,1987,1
Europäische Türkei,1998,5
Europäische Türkei,1999,1
Europäische Türkei,2001,1
Europäische Türkei,2008,3
Frankreich und Monaco,1988,1
Frankreich und Monaco,1996,1
Frankreich und Monaco,2001,1
Frankreich und Monaco,2012,2
Frankreich und Monaco,2013,1
Frankreich und Monaco,2017,1
Griechenland (mit Rhodos) und Zypern,2001,1
Jugoslawien und Albanien,1987,2
Jugoslawien und Albanien,1988,2
Jugoslawien und Albanien,2013,2
Schweiz und Lichtenstein,2010,1
Spanien mit Gibraltar und Andorra,2007,1
Spanien mit Gibraltar und Andorra,2019,1
Tschechoslowakei,1998,1
Österreich,2004,1
Österreich,2005,1
Österreich,2016,1
