text_2,inventory_year,count
Allgemeine Nachschlagewerke,1985,33
Allgemeine Nachschlagewerke,1986,183
Allgemeine Nachschlagewerke,1987,19
Allgemeine Nachschlagewerke,1988,17
Allgemeine Nachschlagewerke,1989,30
Allgemeine Nachschlagewerke,1990,55
Allgemeine Nachschlagewerke,1991,36
Allgemeine Nachschlagewerke,1992,49
Allgemeine Nachschlagewerke,1993,50
Allgemeine Nachschlagewerke,1994,214
Allgemeine Nachschlagewerke,1995,56
Allgemeine Nachschlagewerke,1996,29
Allgemeine Nachschlagewerke,1997,29
Allgemeine Nachschlagewerke,1998,30
Allgemeine Nachschlagewerke,1999,52
Allgemeine Nachschlagewerke,2000,42
Allgemeine Nachschlagewerke,2001,27
Allgemeine Nachschlagewerke,2002,49
Allgemeine Nachschlagewerke,2003,21
Allgemeine Nachschlagewerke,2004,30
Allgemeine Nachschlagewerke,2005,23
Allgemeine Nachschlagewerke,2006,30
Allgemeine Nachschlagewerke,2007,36
Allgemeine Nachschlagewerke,2008,32
Allgemeine Nachschlagewerke,2009,21
Allgemeine Nachschlagewerke,2010,34
Allgemeine Nachschlagewerke,2011,100
Allgemeine Nachschlagewerke,2012,27
Allgemeine Nachschlagewerke,2013,106
Allgemeine Nachschlagewerke,2014,43
Allgemeine Nachschlagewerke,2015,11
Allgemeine Nachschlagewerke,2016,34
Allgemeine Nachschlagewerke,2017,17
Allgemeine Nachschlagewerke,2018,29
Allgemeine Nachschlagewerke,2020,55
Allgemeine Nachschlagewerke,2021,40
Allgemeine Nachschlagewerke,2022,7
Archäologie,1985,3
Archäologie,1990,2
Archäologie,1991,4
Archäologie,1996,2
Archäologie,1997,1
Archäologie,1998,3
Archäologie,2001,1
Archäologie,2003,3
Archäologie,2006,23
Archäologie,2007,2
Archäologie,2008,1
Archäologie,2013,10
Archäologie,2014,3
"Buch-, Bibliotheks- und Archivwesen",1985,2
"Buch-, Bibliotheks- und Archivwesen",1986,13
"Buch-, Bibliotheks- und Archivwesen",1987,20
"Buch-, Bibliotheks- und Archivwesen",1988,26
"Buch-, Bibliotheks- und Archivwesen",1989,7
"Buch-, Bibliotheks- und Archivwesen",1990,9
"Buch-, Bibliotheks- und Archivwesen",1991,13
"Buch-, Bibliotheks- und Archivwesen",1992,21
"Buch-, Bibliotheks- und Archivwesen",1993,19
"Buch-, Bibliotheks- und Archivwesen",1994,25
"Buch-, Bibliotheks- und Archivwesen",1995,25
"Buch-, Bibliotheks- und Archivwesen",1996,26
"Buch-, Bibliotheks- und Archivwesen",1997,28
"Buch-, Bibliotheks- und Archivwesen",1998,14
"Buch-, Bibliotheks- und Archivwesen",1999,38
"Buch-, Bibliotheks- und Archivwesen",2000,36
"Buch-, Bibliotheks- und Archivwesen",2001,23
"Buch-, Bibliotheks- und Archivwesen",2002,18
"Buch-, Bibliotheks- und Archivwesen",2003,21
"Buch-, Bibliotheks- und Archivwesen",2004,15
"Buch-, Bibliotheks- und Archivwesen",2005,5
"Buch-, Bibliotheks- und Archivwesen",2006,8
"Buch-, Bibliotheks- und Archivwesen",2007,8
"Buch-, Bibliotheks- und Archivwesen",2008,17
"Buch-, Bibliotheks- und Archivwesen",2009,9
"Buch-, Bibliotheks- und Archivwesen",2010,12
"Buch-, Bibliotheks- und Archivwesen",2011,5
"Buch-, Bibliotheks- und Archivwesen",2012,35
"Buch-, Bibliotheks- und Archivwesen",2013,10
"Buch-, Bibliotheks- und Archivwesen",2014,4
"Buch-, Bibliotheks- und Archivwesen",2015,5
"Buch-, Bibliotheks- und Archivwesen",2016,18
"Buch-, Bibliotheks- und Archivwesen",2017,11
"Buch-, Bibliotheks- und Archivwesen",2018,16
"Buch-, Bibliotheks- und Archivwesen",2019,4
"Buch-, Bibliotheks- und Archivwesen",2020,5
"Buch-, Bibliotheks- und Archivwesen",2021,8
"Buch-, Bibliotheks- und Archivwesen",2022,9
"Geographie, Geologie, Astronomie",1987,2
"Geographie, Geologie, Astronomie",1988,6
"Geographie, Geologie, Astronomie",1991,3
"Geographie, Geologie, Astronomie",1992,4
"Geographie, Geologie, Astronomie",1994,1
"Geographie, Geologie, Astronomie",1996,2
"Geographie, Geologie, Astronomie",1997,6
"Geographie, Geologie, Astronomie",1999,2
"Geographie, Geologie, Astronomie",2003,1
"Geographie, Geologie, Astronomie",2004,2
"Geographie, Geologie, Astronomie",2005,54
"Geographie, Geologie, Astronomie",2007,12
"Geographie, Geologie, Astronomie",2008,12
"Geographie, Geologie, Astronomie",2009,6
"Geographie, Geologie, Astronomie",2010,6
"Geographie, Geologie, Astronomie",2012,2
"Geographie, Geologie, Astronomie",2013,9
"Geographie, Geologie, Astronomie",2014,1
"Geographie, Geologie, Astronomie",2018,3
"Geographie, Geologie, Astronomie",2022,1
Historische Hilfswissenschaften,1985,2
Historische Hilfswissenschaften,1989,1
Historische Hilfswissenschaften,1991,2
Historische Hilfswissenschaften,1992,2
Historische Hilfswissenschaften,1994,2
Historische Hilfswissenschaften,1998,1
Historische Hilfswissenschaften,1999,1
Historische Hilfswissenschaften,2000,3
Historische Hilfswissenschaften,2005,1
Historische Hilfswissenschaften,2008,1
Historische Hilfswissenschaften,2009,3
Historische Hilfswissenschaften,2010,9
Historische Hilfswissenschaften,2011,4
Historische Hilfswissenschaften,2012,2
Historische Hilfswissenschaften,2014,4
Historische Hilfswissenschaften,2015,6
Historische Hilfswissenschaften,2017,1
Historische Hilfswissenschaften,2019,6
