text_2,inventory_year,count
Alte Künstler (geboren vor 1870),1985,153
Alte Künstler (geboren vor 1870),1986,217
Alte Künstler (geboren vor 1870),1987,178
Alte Künstler (geboren vor 1870),1988,198
Alte Künstler (geboren vor 1870),1989,194
Alte Künstler (geboren vor 1870),1990,204
Alte Künstler (geboren vor 1870),1991,255
Alte Künstler (geboren vor 1870),1992,254
Alte Künstler (geboren vor 1870),1993,266
Alte Künstler (geboren vor 1870),1994,201
Alte Künstler (geboren vor 1870),1995,229
Alte Künstler (geboren vor 1870),1996,241
Alte Künstler (geboren vor 1870),1997,227
Alte Künstler (geboren vor 1870),1998,273
Alte Künstler (geboren vor 1870),1999,341
Alte Künstler (geboren vor 1870),2000,241
Alte Künstler (geboren vor 1870),2001,245
Alte Künstler (geboren vor 1870),2002,272
Alte Künstler (geboren vor 1870),2003,248
Alte Künstler (geboren vor 1870),2004,262
Alte Künstler (geboren vor 1870),2005,296
Alte Künstler (geboren vor 1870),2006,262
Alte Künstler (geboren vor 1870),2007,310
Alte Künstler (geboren vor 1870),2008,361
Alte Künstler (geboren vor 1870),2009,360
Alte Künstler (geboren vor 1870),2010,308
Alte Künstler (geboren vor 1870),2011,339
Alte Künstler (geboren vor 1870),2012,291
Alte Künstler (geboren vor 1870),2013,312
Alte Künstler (geboren vor 1870),2014,356
Alte Künstler (geboren vor 1870),2015,297
Alte Künstler (geboren vor 1870),2016,296
Alte Künstler (geboren vor 1870),2017,320
Alte Künstler (geboren vor 1870),2018,249
Alte Künstler (geboren vor 1870),2019,232
Alte Künstler (geboren vor 1870),2020,299
Alte Künstler (geboren vor 1870),2021,232
Alte Künstler (geboren vor 1870),2022,210
Alte Künstler (geboren vor 1870),2023,56
Moderne Künstler (geboren nach 1870),1985,259
Moderne Künstler (geboren nach 1870),1986,355
Moderne Künstler (geboren nach 1870),1987,321
Moderne Künstler (geboren nach 1870),1988,386
Moderne Künstler (geboren nach 1870),1989,342
Moderne Künstler (geboren nach 1870),1990,445
Moderne Künstler (geboren nach 1870),1991,606
Moderne Künstler (geboren nach 1870),1992,625
Moderne Künstler (geboren nach 1870),1993,447
Moderne Künstler (geboren nach 1870),1994,488
Moderne Künstler (geboren nach 1870),1995,430
Moderne Künstler (geboren nach 1870),1996,226
Moderne Künstler (geboren nach 1870),1997,351
Moderne Künstler (geboren nach 1870),1998,2026
Moderne Künstler (geboren nach 1870),1999,1821
Moderne Künstler (geboren nach 1870),2000,642
Moderne Künstler (geboren nach 1870),2001,486
Moderne Künstler (geboren nach 1870),2002,516
Moderne Künstler (geboren nach 1870),2003,330
Moderne Künstler (geboren nach 1870),2004,475
Moderne Künstler (geboren nach 1870),2005,719
Moderne Künstler (geboren nach 1870),2006,652
Moderne Künstler (geboren nach 1870),2007,545
Moderne Künstler (geboren nach 1870),2008,623
Moderne Künstler (geboren nach 1870),2009,569
Moderne Künstler (geboren nach 1870),2010,448
Moderne Künstler (geboren nach 1870),2011,310
Moderne Künstler (geboren nach 1870),2012,437
Moderne Künstler (geboren nach 1870),2013,463
Moderne Künstler (geboren nach 1870),2014,598
Moderne Künstler (geboren nach 1870),2015,718
Moderne Künstler (geboren nach 1870),2016,537
Moderne Künstler (geboren nach 1870),2017,509
Moderne Künstler (geboren nach 1870),2018,478
Moderne Künstler (geboren nach 1870),2019,307
Moderne Künstler (geboren nach 1870),2020,328
Moderne Künstler (geboren nach 1870),2021,359
Moderne Künstler (geboren nach 1870),2022,287
Moderne Künstler (geboren nach 1870),2023,52
