text_2,inventory_year,count
Italien-Reisen,1985,14
Italien-Reisen,1986,32
Italien-Reisen,1987,29
Italien-Reisen,1988,24
Italien-Reisen,1989,8
Italien-Reisen,1990,15
Italien-Reisen,1991,25
Italien-Reisen,1992,21
Italien-Reisen,1993,56
Italien-Reisen,1994,13
Italien-Reisen,1995,23
Italien-Reisen,1996,20
Italien-Reisen,1997,14
Italien-Reisen,1998,8
Italien-Reisen,1999,20
Italien-Reisen,2000,21
Italien-Reisen,2001,22
Italien-Reisen,2002,30
Italien-Reisen,2003,26
Italien-Reisen,2004,33
Italien-Reisen,2005,35
Italien-Reisen,2006,26
Italien-Reisen,2007,10
Italien-Reisen,2008,26
Italien-Reisen,2009,31
Italien-Reisen,2010,38
Italien-Reisen,2011,30
Italien-Reisen,2012,23
Italien-Reisen,2013,27
Italien-Reisen,2014,26
Italien-Reisen,2015,21
Italien-Reisen,2016,40
Italien-Reisen,2017,22
Italien-Reisen,2018,34
Italien-Reisen,2019,30
Italien-Reisen,2020,29
Italien-Reisen,2021,22
Italien-Reisen,2022,14
Italien-Reisen,2023,7
Sonstige Reisen,1985,15
Sonstige Reisen,1986,7
Sonstige Reisen,1987,12
Sonstige Reisen,1988,2
Sonstige Reisen,1989,4
Sonstige Reisen,1990,2
Sonstige Reisen,1991,3
Sonstige Reisen,1992,4
Sonstige Reisen,1993,31
Sonstige Reisen,1994,6
Sonstige Reisen,1995,14
Sonstige Reisen,1996,10
Sonstige Reisen,1997,18
Sonstige Reisen,1998,13
Sonstige Reisen,1999,38
Sonstige Reisen,2000,30
Sonstige Reisen,2001,17
Sonstige Reisen,2002,32
Sonstige Reisen,2003,11
Sonstige Reisen,2004,27
Sonstige Reisen,2005,37
Sonstige Reisen,2006,10
Sonstige Reisen,2007,7
Sonstige Reisen,2008,25
Sonstige Reisen,2009,12
Sonstige Reisen,2010,19
Sonstige Reisen,2011,15
Sonstige Reisen,2012,26
Sonstige Reisen,2013,23
Sonstige Reisen,2014,37
Sonstige Reisen,2015,30
Sonstige Reisen,2016,62
Sonstige Reisen,2017,88
Sonstige Reisen,2018,81
Sonstige Reisen,2019,58
Sonstige Reisen,2020,54
Sonstige Reisen,2021,68
Sonstige Reisen,2022,80
Sonstige Reisen,2023,4
