text_2,inventory_year,count
Allgemeine Ikonographie,1985,23
Allgemeine Ikonographie,1986,28
Allgemeine Ikonographie,1987,20
Allgemeine Ikonographie,1988,19
Allgemeine Ikonographie,1989,15
Allgemeine Ikonographie,1990,18
Allgemeine Ikonographie,1991,11
Allgemeine Ikonographie,1992,30
Allgemeine Ikonographie,1993,16
Allgemeine Ikonographie,1994,18
Allgemeine Ikonographie,1995,16
Allgemeine Ikonographie,1996,26
Allgemeine Ikonographie,1997,35
Allgemeine Ikonographie,1998,36
Allgemeine Ikonographie,1999,35
Allgemeine Ikonographie,2000,49
Allgemeine Ikonographie,2001,32
Allgemeine Ikonographie,2002,34
Allgemeine Ikonographie,2003,42
Allgemeine Ikonographie,2004,73
Allgemeine Ikonographie,2005,60
Allgemeine Ikonographie,2006,51
Allgemeine Ikonographie,2007,47
Allgemeine Ikonographie,2008,38
Allgemeine Ikonographie,2009,34
Allgemeine Ikonographie,2010,46
Allgemeine Ikonographie,2011,37
Allgemeine Ikonographie,2012,75
Allgemeine Ikonographie,2013,58
Allgemeine Ikonographie,2014,60
Allgemeine Ikonographie,2015,53
Allgemeine Ikonographie,2016,19
Allgemeine Ikonographie,2017,34
Allgemeine Ikonographie,2018,38
Allgemeine Ikonographie,2019,47
Allgemeine Ikonographie,2020,26
Allgemeine Ikonographie,2021,38
Allgemeine Ikonographie,2022,45
Allgemeine Ikonographie,2023,1
Außerchristlicher Themenkreis,2011,2
Außerchristlicher Themenkreis,2015,2
Außerchristlicher Themenkreis,2016,1
Biblisch-christlicher Themenkreis,1985,16
Biblisch-christlicher Themenkreis,1986,29
Biblisch-christlicher Themenkreis,1987,31
Biblisch-christlicher Themenkreis,1988,22
Biblisch-christlicher Themenkreis,1989,18
Biblisch-christlicher Themenkreis,1990,24
Biblisch-christlicher Themenkreis,1991,44
Biblisch-christlicher Themenkreis,1992,37
Biblisch-christlicher Themenkreis,1993,45
Biblisch-christlicher Themenkreis,1994,52
Biblisch-christlicher Themenkreis,1995,29
Biblisch-christlicher Themenkreis,1996,48
Biblisch-christlicher Themenkreis,1997,45
Biblisch-christlicher Themenkreis,1998,47
Biblisch-christlicher Themenkreis,1999,50
Biblisch-christlicher Themenkreis,2000,66
Biblisch-christlicher Themenkreis,2001,62
Biblisch-christlicher Themenkreis,2002,48
Biblisch-christlicher Themenkreis,2003,45
Biblisch-christlicher Themenkreis,2004,61
Biblisch-christlicher Themenkreis,2005,60
Biblisch-christlicher Themenkreis,2006,75
Biblisch-christlicher Themenkreis,2007,81
Biblisch-christlicher Themenkreis,2008,44
Biblisch-christlicher Themenkreis,2009,39
Biblisch-christlicher Themenkreis,2010,61
Biblisch-christlicher Themenkreis,2011,60
Biblisch-christlicher Themenkreis,2012,80
Biblisch-christlicher Themenkreis,2013,96
Biblisch-christlicher Themenkreis,2014,100
Biblisch-christlicher Themenkreis,2015,67
Biblisch-christlicher Themenkreis,2016,77
