text_2,inventory_year,count
"Handbücher, Nachschlagewerke",1985,6
"Handbücher, Nachschlagewerke",1987,6
"Handbücher, Nachschlagewerke",1988,2
"Handbücher, Nachschlagewerke",1993,4
"Handbücher, Nachschlagewerke",1996,3
"Handbücher, Nachschlagewerke",1997,5
"Handbücher, Nachschlagewerke",1998,7
"Handbücher, Nachschlagewerke",1999,5
"Handbücher, Nachschlagewerke",2000,2
"Handbücher, Nachschlagewerke",2001,3
"Handbücher, Nachschlagewerke",2002,4
"Handbücher, Nachschlagewerke",2004,5
"Handbücher, Nachschlagewerke",2005,1
"Handbücher, Nachschlagewerke",2007,1
"Handbücher, Nachschlagewerke",2008,2
"Handbücher, Nachschlagewerke",2009,6
"Handbücher, Nachschlagewerke",2013,2
"Handbücher, Nachschlagewerke",2014,2
"Handbücher, Nachschlagewerke",2015,1
"Handbücher, Nachschlagewerke",2016,8
"Handbücher, Nachschlagewerke",2017,11
"Handbücher, Nachschlagewerke",2018,4
"Handbücher, Nachschlagewerke",2019,1
"Handbücher, Nachschlagewerke",2020,2
"Handbücher, Nachschlagewerke",2021,5
"Handbücher, Nachschlagewerke",2022,2
