text_2,inventory_year,count
Geschichte der Kunst (allgemein oder vermischte Gattungen),1985,43
Geschichte der Kunst (allgemein oder vermischte Gattungen),1986,37
Geschichte der Kunst (allgemein oder vermischte Gattungen),1987,37
Geschichte der Kunst (allgemein oder vermischte Gattungen),1988,47
Geschichte der Kunst (allgemein oder vermischte Gattungen),1989,52
Geschichte der Kunst (allgemein oder vermischte Gattungen),1990,31
Geschichte der Kunst (allgemein oder vermischte Gattungen),1991,48
Geschichte der Kunst (allgemein oder vermischte Gattungen),1992,64
Geschichte der Kunst (allgemein oder vermischte Gattungen),1993,66
Geschichte der Kunst (allgemein oder vermischte Gattungen),1994,38
Geschichte der Kunst (allgemein oder vermischte Gattungen),1995,54
Geschichte der Kunst (allgemein oder vermischte Gattungen),1996,61
Geschichte der Kunst (allgemein oder vermischte Gattungen),1997,41
Geschichte der Kunst (allgemein oder vermischte Gattungen),1998,86
Geschichte der Kunst (allgemein oder vermischte Gattungen),1999,93
Geschichte der Kunst (allgemein oder vermischte Gattungen),2000,80
Geschichte der Kunst (allgemein oder vermischte Gattungen),2001,47
Geschichte der Kunst (allgemein oder vermischte Gattungen),2002,68
Geschichte der Kunst (allgemein oder vermischte Gattungen),2003,55
Geschichte der Kunst (allgemein oder vermischte Gattungen),2004,78
Geschichte der Kunst (allgemein oder vermischte Gattungen),2005,96
Geschichte der Kunst (allgemein oder vermischte Gattungen),2006,64
Geschichte der Kunst (allgemein oder vermischte Gattungen),2007,101
Geschichte der Kunst (allgemein oder vermischte Gattungen),2008,40
Geschichte der Kunst (allgemein oder vermischte Gattungen),2009,46
Geschichte der Kunst (allgemein oder vermischte Gattungen),2010,49
Geschichte der Kunst (allgemein oder vermischte Gattungen),2011,45
Geschichte der Kunst (allgemein oder vermischte Gattungen),2012,65
Geschichte der Kunst (allgemein oder vermischte Gattungen),2013,71
Geschichte der Kunst (allgemein oder vermischte Gattungen),2014,86
Geschichte der Kunst (allgemein oder vermischte Gattungen),2015,89
Geschichte der Kunst (allgemein oder vermischte Gattungen),2016,67
Geschichte der Kunst (allgemein oder vermischte Gattungen),2017,130
Geschichte der Kunst (allgemein oder vermischte Gattungen),2018,78
Geschichte der Kunst (allgemein oder vermischte Gattungen),2019,106
Geschichte der Kunst (allgemein oder vermischte Gattungen),2020,55
Geschichte der Kunst (allgemein oder vermischte Gattungen),2021,79
Geschichte der Kunst (allgemein oder vermischte Gattungen),2022,66
Geschichte der Kunst (allgemein oder vermischte Gattungen),2023,17
Kunsttechnik und Kunstgeographie (Nationalstile),1985,5
Kunsttechnik und Kunstgeographie (Nationalstile),1988,5
Kunsttechnik und Kunstgeographie (Nationalstile),1997,6
Kunsttechnik und Kunstgeographie (Nationalstile),2000,1
Kunsttechnik und Kunstgeographie (Nationalstile),2004,2
Kunsttechnik und Kunstgeographie (Nationalstile),2005,4
Kunsttechnik und Kunstgeographie (Nationalstile),2007,3
Kunsttechnik und Kunstgeographie (Nationalstile),2008,2
Kunsttechnik und Kunstgeographie (Nationalstile),2009,1
Kunsttechnik und Kunstgeographie (Nationalstile),2011,2
Kunsttechnik und Kunstgeographie (Nationalstile),2014,2
Kunsttechnik und Kunstgeographie (Nationalstile),2016,1
Kunsttechnik und Kunstgeographie (Nationalstile),2018,3
Kunsttechnik und Kunstgeographie (Nationalstile),2019,1
Kunsttechnik und Kunstgeographie (Nationalstile),2020,2
Kunsttechnik und Kunstgeographie (Nationalstile),2021,3
Kunsttechnik und Kunstgeographie (Nationalstile),2022,3
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1985,25
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1986,42
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1987,47
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1988,36
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1989,47
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1990,41
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1991,45
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1992,38
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1993,107
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1994,73
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1995,69
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1996,89
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1997,81
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1998,184
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,1999,232
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,2000,172
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,2001,137
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,2002,140
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,2003,110
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,2004,160
Theoretische Grundlagen und Randgebiete der Kunstwissenschaft,2005,194
