sig_lev_1,inventory_year,count
A: Manuals,1985,72
A: Manuals,1986,253
A: Manuals,1987,104
A: Manuals,1988,89
A: Manuals,1989,85
A: Manuals,1990,144
A: Manuals,1991,137
A: Manuals,1992,164
A: Manuals,1993,303
A: Manuals,1994,454
A: Manuals,1995,233
A: Manuals,1996,212
A: Manuals,1997,205
A: Manuals,1998,255
A: Manuals,1999,248
A: Manuals,2000,295
A: Manuals,2001,364
A: Manuals,2002,239
A: Manuals,2003,230
A: Manuals,2004,235
A: Manuals,2005,234
A: Manuals,2006,194
A: Manuals,2007,198
A: Manuals,2008,179
A: Manuals,2009,154
A: Manuals,2010,173
A: Manuals,2011,228
A: Manuals,2012,334
A: Manuals,2013,292
A: Manuals,2014,253
A: Manuals,2015,200
A: Manuals,2016,175
A: Manuals,2017,160
A: Manuals,2018,172
A: Manuals,2019,185
A: Manuals,2020,320
A: Manuals,2021,136
A: Manuals,2022,107
A: Manuals,2023,7
B: Italian Art,1985,312
B: Italian Art,1986,334
B: Italian Art,1987,305
B: Italian Art,1988,330
B: Italian Art,1989,296
B: Italian Art,1990,377
B: Italian Art,1991,379
B: Italian Art,1992,304
B: Italian Art,1993,429
B: Italian Art,1994,265
B: Italian Art,1995,410
B: Italian Art,1996,324
B: Italian Art,1997,391
B: Italian Art,1998,441
B: Italian Art,1999,565
B: Italian Art,2000,574
B: Italian Art,2001,488
B: Italian Art,2002,533
B: Italian Art,2003,494
B: Italian Art,2004,550
B: Italian Art,2005,587
B: Italian Art,2006,590
B: Italian Art,2007,683
B: Italian Art,2008,563
B: Italian Art,2009,604
B: Italian Art,2010,588
B: Italian Art,2011,483
B: Italian Art,2012,493
B: Italian Art,2013,465
B: Italian Art,2014,505
B: Italian Art,2015,412
B: Italian Art,2016,569
B: Italian Art,2017,441
B: Italian Art,2018,538
B: Italian Art,2019,364
B: Italian Art,2020,430
B: Italian Art,2021,500
B: Italian Art,2022,423
B: Italian Art,2023,85
C: Italian Artists,1985,412
C: Italian Artists,1986,572
C: Italian Artists,1987,499
C: Italian Artists,1988,584
C: Italian Artists,1989,536
C: Italian Artists,1990,649
C: Italian Artists,1991,861
C: Italian Artists,1992,879
C: Italian Artists,1993,713
C: Italian Artists,1994,689
C: Italian Artists,1995,659
C: Italian Artists,1996,467
C: Italian Artists,1997,578
C: Italian Artists,1998,2299
C: Italian Artists,1999,2162
C: Italian Artists,2000,883
C: Italian Artists,2001,731
C: Italian Artists,2002,788
C: Italian Artists,2003,578
C: Italian Artists,2004,737
C: Italian Artists,2005,1015
C: Italian Artists,2006,914
C: Italian Artists,2007,855
C: Italian Artists,2008,984
C: Italian Artists,2009,929
C: Italian Artists,2010,756
C: Italian Artists,2011,649
C: Italian Artists,2012,728
C: Italian Artists,2013,775
C: Italian Artists,2014,954
C: Italian Artists,2015,1015
C: Italian Artists,2016,833
C: Italian Artists,2017,829
C: Italian Artists,2018,727
C: Italian Artists,2019,539
C: Italian Artists,2020,627
C: Italian Artists,2021,591
C: Italian Artists,2022,497
C: Italian Artists,2023,108
D: Rome,1985,113
D: Rome,1986,158
D: Rome,1987,146
D: Rome,1988,177
D: Rome,1989,156
D: Rome,1990,189
D: Rome,1991,198
D: Rome,1992,220
D: Rome,1993,163
D: Rome,1994,184
D: Rome,1995,162
D: Rome,1996,139
D: Rome,1997,204
D: Rome,1998,197
D: Rome,1999,181
D: Rome,2000,277
D: Rome,2001,288
D: Rome,2002,205
D: Rome,2003,196
D: Rome,2004,262
D: Rome,2005,217
D: Rome,2006,286
D: Rome,2007,216
D: Rome,2008,235
D: Rome,2009,251
D: Rome,2010,281
D: Rome,2011,301
D: Rome,2012,236
D: Rome,2013,327
D: Rome,2014,280
D: Rome,2015,291
D: Rome,2016,295
D: Rome,2017,246
D: Rome,2018,265
D: Rome,2019,277
D: Rome,2020,237
D: Rome,2021,212
D: Rome,2022,230
D: Rome,2023,65
E: Italian Topography,1985,290
E: Italian Topography,1986,435
E: Italian Topography,1987,623
E: Italian Topography,1988,685
E: Italian Topography,1989,434
E: Italian Topography,1990,359
E: Italian Topography,1991,472
E: Italian Topography,1992,518
E: Italian Topography,1993,714
E: Italian Topography,1994,657
E: Italian Topography,1995,880
E: Italian Topography,1996,696
E: Italian Topography,1997,885
E: Italian Topography,1998,788
E: Italian Topography,1999,963
E: Italian Topography,2000,1363
E: Italian Topography,2001,1998
E: Italian Topography,2002,1417
E: Italian Topography,2003,1025
E: Italian Topography,2004,1735
E: Italian Topography,2005,1018
E: Italian Topography,2006,1212
E: Italian Topography,2007,1354
E: Italian Topography,2008,1654
E: Italian Topography,2009,1635
E: Italian Topography,2010,1288
E: Italian Topography,2011,1487
E: Italian Topography,2012,1033
E: Italian Topography,2013,1336
E: Italian Topography,2014,996
E: Italian Topography,2015,1496
E: Italian Topography,2016,1522
E: Italian Topography,2017,1192
E: Italian Topography,2018,3462
