cat,year,frequency
Applied Arts,2013,239
Applied Arts,2014,291
Applied Arts,2015,218
Applied Arts,2016,211
Applied Arts,2017,238
Applied Arts,2018,110
Applied Arts,2019,66
Applied Arts,2020,36
Applied Arts,2021,40
Applied Arts,2022,67
Applied Arts,2023,63
Architecture,2013,374
Architecture,2014,662
Architecture,2015,911
Architecture,2016,695
Architecture,2017,632
Architecture,2018,338
Architecture,2019,178
Architecture,2020,62
Architecture,2021,87
Architecture,2022,102
Architecture,2023,130
Art in General,2013,1538
Art in General,2014,1778
Art in General,2015,1750
Art in General,2016,1849
Art in General,2017,1453
Art in General,2018,1448
Art in General,2019,1112
Art in General,2020,304
Art in General,2021,364
Art in General,2022,510
Art in General,2023,517
Catalogues,2013,6958
Catalogues,2014,7743
Catalogues,2015,7514
Catalogues,2016,6968
Catalogues,2017,6451
Catalogues,2018,4601
Catalogues,2019,2745
Catalogues,2020,449
Catalogues,2021,885
Catalogues,2022,1446
Catalogues,2023,1282
"Collecting Art, Museum Studies",2013,381
"Collecting Art, Museum Studies",2014,312
"Collecting Art, Museum Studies",2015,380
"Collecting Art, Museum Studies",2016,543
"Collecting Art, Museum Studies",2017,270
"Collecting Art, Museum Studies",2018,272
"Collecting Art, Museum Studies",2019,102
"Collecting Art, Museum Studies",2020,18
"Collecting Art, Museum Studies",2021,67
"Collecting Art, Museum Studies",2022,123
"Collecting Art, Museum Studies",2023,128
Congress Publications,2013,3375
Congress Publications,2014,3512
Congress Publications,2015,3796
Congress Publications,2016,3638
Congress Publications,2017,3094
Congress Publications,2018,2289
Congress Publications,2019,1489
Congress Publications,2020,162
Congress Publications,2021,289
Congress Publications,2022,497
Congress Publications,2023,339
Cultural Institutions,2013,323
Cultural Institutions,2014,475
Cultural Institutions,2015,753
Cultural Institutions,2016,623
Cultural Institutions,2017,605
Cultural Institutions,2018,348
Cultural Institutions,2019,235
Cultural Institutions,2020,35
Cultural Institutions,2021,90
Cultural Institutions,2022,123
Cultural Institutions,2023,116
European Topography,2013,321
European Topography,2014,506
European Topography,2015,520
European Topography,2016,442
European Topography,2017,612
European Topography,2018,539
European Topography,2019,236
European Topography,2020,63
European Topography,2021,146
European Topography,2022,130
European Topography,2023,118
Graphic Arts,2013,238
Graphic Arts,2014,182
Graphic Arts,2015,171
Graphic Arts,2016,204
Graphic Arts,2017,222
Graphic Arts,2018,208
Graphic Arts,2019,151
Graphic Arts,2020,31
Graphic Arts,2021,77
Graphic Arts,2022,130
Graphic Arts,2023,52
