,cluster,x,y,users,nr_users,nr_books,titles_tokenized,keywords,super
0,0,878.5547169811321,281.69056603773583,"['User124', 'User735', 'User325', 'User472', 'User152', 'User445', 'User378', 'User252', 'User459', 'User688', 'User635', 'User569', 'User127', 'User150', 'User234', 'User454', 'User116', 'User500', 'User715', 'User522', 'User708', 'User183', 'User719', 'User270', 'User342', 'User245', 'User254', 'User346', 'User106', 'User601', 'User626', 'User355', 'User619', 'User544', 'User675', 'User126', 'User498', 'User649', 'User568', 'User174', 'User135', 'User478', 'User537', 'User629', 'User420', 'User184', 'User65', 'User549', 'User533', 'User723', 'User497', 'User551', 'User503', 'User558', 'User427', 'User471', 'User54', 'User281', 'User145', 'User474', 'User182', 'User156', 'User80', 'User170', 'User72', 'User35', 'User16', 'User71', 'User638', 'User36', 'User680', 'User217', 'User451', 'User531', 'User190', 'User713', 'User560', 'User429', 'User273', 'User117', 'User177', 'User134', 'User438', 'User431', 'User390', 'User462', 'User580', 'User402', 'User76', 'User128']",90,530,"22451                                    peintre graveurnan
39380     Diccionario Histórico Ilustres Profesores Bell...
39386     Adiciones Diccionario histórico ilustres profe...
47509                      Anatomia Uso Pittori Scultorinan
48014                vero proprietario monumenti antichinan
                                ...                        
632500                                   Roma Trionfantenan
632632    Corona aurea correscantibus gemmis preciosissi...
634043    Athanasii^Kircheri^Fvldensis^E^Soc.^Iesv^Presb...
635828    Ricordi Overo Ammaestramenti Monsignor Sabba C...
639919    Athanasii Kircheri Phonurgia nova sive conjugi...
Name: title_tok, Length: 530, dtype: object","['Iconography', 'Sculpture', 'Patronage', 'Renaissance', 'Baroque']",2
1,1,895.6595744680851,429.6063829787234,"['User243', 'User647', 'User185', 'User606', 'User6', 'User665', 'User706', 'User46', 'User274', 'User8', 'User287', 'User135', 'User332', 'User224', 'User464']",15,94,"63892                       Skulptur Renaissance Italiennan
135931               Sämtliche Gemälde Schriften Malereinan
392853                            Reise Moskowitern 1526nan
392873    Vermehrte newe Beschreibung muscowitischen per...
392888                           Tagebuch Reise Russlandnan
                                ...                        
593096                           Historischer Schulatlasnan
593097                              Tabula Peutingeriananan
593105                            medieval Peutinger mapnan
593106                                          map tournan
593646    Claudii Ptolemaei Geographiae Codex Urbinas Gr...
Name: title_tok, Length: 94, dtype: object","['Renaissance Sculpture', 'Italian Art', 'Travelogues', 'Cartography', 'Medieval Maps']",3
2,2,893.5555555555555,429.6296296296296,"['User243', 'User206']",2,27,"392858                   älteste deutsche Routenhandbuchnan
392951    Reise verschiedene Provinzen Russischen Reichsnan
408815                                  Auge Mittelalternan
409464           Blindheit Literatur Ästhetik 1750 1850)nan
410581                                  Entdeckung Nachtnan
418150                       Eine hundertblättrige Tulpenan
522293                                 Vision textualitynan
523077                                       Poetik Formnan
523749             geometric beauty human figure definednan
523755                                          Symmetrynan
523762                                Lehre Proportionennan
523768                                   Mathematics artnan
523780    Proportionsgesetz antiken Baukunst Nachleben M...
523781                                       Tempelmaszenan
568514                                         Rembrandtnan
593087    Adolf Stieler's Handatlas Theile Erde Weltgebä...
593093                         Shepherd historical atlasnan
593094      Atlante internazionale Touring Club Italianonan
593108         Eisenbahn- Dampfschiffrouten-Karte Europanan
593652    Claudii Ptolemaei Geographiae Codex Urbinas Gr...
593658    Claudii Ptolemaei Geographiae Codex Urbinas Gr...
593664    Claudii Ptolemaei Geographiae Codex Urbinas Gr...
594328                                Geschichte Ukrainenan
594329                               Bosporanische Reichnan
612802                            Disability Middle Agesnan
635654           Klaudios Ptolemaios Handbuch Geographienan
636436                     Gemälde mohammedanischen Weltnan
Name: title_tok, dtype: object","['Aesthetics', 'Proportion', 'Symmetry', 'Cartography', 'Iconography']",3
3,3,864.3798449612403,379.6124031007752,"['User140', 'User42', 'User243', 'User110', 'User635', 'User47', 'User3', 'User170', 'User444', 'User22', 'User279', 'User215']",12,129,"47828     italienische Deutschlandbild Geschichtenan
47836     italienische Deutschlandbild Geschichtenan
103436                 Korkmodelle Antonio Chichinan
278260                          venuti i tedeschinan
282840      Deutsche Romfahrer Winkelmann Böcklinnan
                             ...                    
639880                            save click herenan
640095                                 Televisionnan
640120                counterculture cyberculturenan
640139                            Technobiophilianan
640258                      Informationskontrollenan
Name: title_tok, Length: 129, dtype: object","['Italianate', 'CulturalExchange', 'Neoclassicism', 'Kunstliteratur', 'MediaTheory']",-1
4,4,793.5921787709498,565.0558659217877,"['User82', 'User10', 'User478', 'User243', 'User485', 'User715', 'User91', 'User727', 'User522', 'User271', 'User409', 'User414', 'User430', 'User701', 'User555', 'User236', 'User711', 'User246', 'User136', 'User88', 'User658', 'User120', 'User250', 'User110', 'User225', 'User44', 'User305', 'User16', 'User14', 'User113', 'User554', 'User71', 'User227', 'User19', 'User694', 'User3', 'User493', 'User403', 'User181', 'User180', 'User117', 'User510', 'User61', 'User186', 'User66', 'User356', 'User189', 'User32', 'User37', 'User35', 'User62', 'User518', 'User596', 'User483', 'User55', 'User372', 'User689', 'User130', 'User95', 'User310', 'User544', 'User462', 'User422', 'User17', 'User40', 'User482']",66,179,"41657     Atlante archivi fotografici audiovisivi italia...
47890                           Escultura Carrara Españanan
48281           Historisch-kritische Nachrichten Italiennan
49886                                         Italy 1900nan
57150                                      memoria acquanan
                                ...                        
636369    Heilige Problem gegenwärtigen Religionswissens...
636381              elementaren Formen religiösen Lebensnan
636382                                           Heiligenan
636834                                             Dingenan
640305                                Medways open atlasnan
Name: title_tok, Length: 179, dtype: object","['Archival Photography', 'Italian Sculpture', 'Art Historiography', 'Modernism', 'Religious Iconography']",-1
5,5,808.3913043478261,228.7826086956522,"['User152', 'User145', 'User638', 'User407', 'User549', 'User1', 'User17', 'User154', 'User169', 'User90', 'User358', 'User432', 'User451', 'User528', 'User260', 'User55', 'User552', 'User247', 'User554', 'User180', 'User462', 'User500', 'User668', 'User12', 'User657', 'User474', 'User35', 'User80', 'User111', 'User437', 'User411', 'User484', 'User715', 'User591', 'User234', 'User670', 'User731', 'User497', 'User150', 'User545', 'User479', 'User277', 'User306', 'User26', 'User635', 'User471', 'User687', 'User124', 'User390', 'User613', 'User188', 'User601', 'User136', 'User270', 'User409', 'User271', 'User250', 'User9', 'User177', 'User558', 'User510', 'User445', 'User107', 'User608', 'User624', 'User438', 'User434', 'User420', 'User495', 'User610', 'User398', 'User81', 'User231', 'User380', 'User546', 'User575', 'User582', 'User544', 'User569', 'User555', 'User19', 'User144', 'User89', 'User66', 'User16', 'User427', 'User522', 'User184']",88,322,"70                  Internationale Personalbibliographienan
8958      Dictionnaire biographique historique hommes ma...
10103     Enciclopedia universal ilustrada europeo-ameri...
10413                                     Meyers Lexikonnan
10429         Enciclopedia italiana scienze lettere artinan
                                ...                        
626955                                     Goethes Werkenan
631594                 deutschen technischen Hochschulennan
635967                                     Lorenzo Vallanan
639165             Geschichte Girolamo Savonarola's Zeitnan
639943                       El libro agregà de Serapiomnan
Name: title_tok, Length: 322, dtype: object","['Bibliography', 'Encyclopedic Knowledge', 'Lexicon', 'Renaissance', 'Biography']",3
6,6,799.2125984251968,271.3228346456693,"['User145', 'User563', 'User627', 'User93', 'User85', 'User10', 'User474', 'User183', 'User14', 'User17', 'User457', 'User67', 'User91', 'User117', 'User107', 'User580', 'User295', 'User139', 'User629', 'User437', 'User373', 'User80', 'User727', 'User482', 'User84', 'User411', 'User44', 'User543', 'User164', 'User140']",30,127,"16092                       Glossaire français moyen âgenan
48644                                           Ciceronenan
52627      Italienische Kunstwerke Meisterbeschreibungennan
52963                                         clash godsnan
53025                     L art italien Renaissance 1905nan
                                ...                        
596507                                sud Tropico Cancronan
612011                                     Thurnier Buchnan
612153                            Essai histoire théâtrenan
631451    L Italie qu' on voit et Italie qu' on voit pasnan
637037                                                     
Name: title_tok, Length: 127, dtype: object","['Renaissance', 'Iconography', 'Italian Art', 'Theatrical History', 'Medieval Glossary']",3
7,7,833.4237623762376,476.46336633663367,"['User63', 'User407', 'User545', 'User678', 'User55', 'User377', 'User212', 'User210', 'User316', 'User554', 'User181', 'User430', 'User503', 'User287', 'User403', 'User14', 'User107', 'User370', 'User109', 'User80', 'User713', 'User537', 'User7', 'User435', 'User560', 'User478', 'User184', 'User241', 'User52', 'User11', 'User556', 'User156', 'User391', 'User419', 'User355', 'User689', 'User150', 'User59', 'User110', 'User126', 'User192', 'User200', 'User274', 'User169', 'User182', 'User522', 'User495', 'User606', 'User677', 'User310', 'User553', 'User550', 'User83', 'User62', 'User82', 'User34', 'User71', 'User379', 'User466', 'User389', 'User72', 'User15', 'User202', 'User66', 'User108', 'User700', 'User356', 'User422', 'User249', 'User232', 'User9', 'User420', 'User70', 'User635', 'User398', 'User226', 'User566', 'User543', 'User16', 'User667', 'User674', 'User552', 'User687', 'User628', 'User487', 'User248', 'User479', 'User237', 'User557', 'User634', 'User10', 'User442', 'User558', 'User427', 'User548', 'User539', 'User418', 'User546', 'User358', 'User79', 'User524', 'User384', 'User693', 'User254', 'User6', 'User551', 'User573', 'User626', 'User89', 'User627', 'User228', 'User443', 'User41', 'User424', 'User102', 'User13', 'User91', 'User88', 'User39', 'User93', 'User120', 'User452', 'User701', 'User145', 'User159', 'User122', 'User448', 'User168', 'User3', 'User266', 'User559', 'User711', 'User488', 'User454', 'User77', 'User117', 'User42', 'User236', 'User462', 'User162', 'User500', 'User408', 'User586', 'User482', 'User385', 'User421', 'User197', 'User686', 'User231', 'User67', 'User17', 'User444', 'User258', 'User86', 'User528', 'User170', 'User43', 'User665', 'User128', 'User217', 'User572', 'User35', 'User671', 'User601', 'User676', 'User332', 'User580', 'User483', 'User144', 'User111', 'User337', 'User405', 'User50', 'User53', 'User157', 'User8', 'User224', 'User565', 'User268', 'User260', 'User1', 'User327', 'User380', 'User76', 'User409', 'User68', 'User100', 'User65', 'User64', 'User506', 'User40', 'User208', 'User57', 'User227', 'User670', 'User331', 'User555', 'User263', 'User412', 'User544', 'User585', 'User465', 'User568', 'User44', 'User630', 'User303', 'User259']",207,505,"3434             Dizionario biografico Italianinan
14022                     Handbuch Kirchen Romsnan
14790     Reallexikon deutschen Kunstgeschichtenan
15950              Architektonische Formenlehrenan
15952              Architektonische Formenlehrenan
                            ...                   
638932                  Schätze Himmel sammeln nan
640119                      Understanding medianan
640223                 companion Italian cinemanan
640231                        Migrant anxietiesnan
640285                 Origins European economynan
Name: title_tok, Length: 505, dtype: object","['Biography', 'Iconography', 'Architecture', 'Cinema', 'Economy']",3
8,8,632.3995271867612,598.7966903073286,"['User355', 'User435', 'User568', 'User120', 'User417', 'User70', 'User687', 'User483', 'User721', 'User582', 'User316', 'User391', 'User72', 'User542', 'User398', 'User41', 'User11', 'User54', 'User539', 'User260', 'User474', 'User229', 'User2', 'User33', 'User119', 'User49', 'User451', 'User62', 'User1', 'User342', 'User81', 'User16', 'User35', 'User43', 'User410', 'User484', 'User528', 'User181', 'User275', 'User180', 'User497', 'User217', 'User662', 'User177', 'User52', 'User358', 'User184', 'User713', 'User96', 'User462', 'User493', 'User133', 'User424', 'User446', 'User13', 'User68', 'User9', 'User204', 'User395', 'User254', 'User419', 'User110', 'User172', 'User24', 'User113', 'User548', 'User426', 'User150', 'User403', 'User429', 'User245', 'User64', 'User122', 'User80', 'User82', 'User66', 'User226', 'User155', 'User263', 'User427', 'User241', 'User85', 'User392', 'User227', 'User545', 'User42', 'User627', 'User77', 'User559', 'User308', 'User63', 'User237', 'User59', 'User53', 'User613', 'User182', 'User624', 'User19', 'User365', 'User209', 'User502', 'User635', 'User508', 'User111', 'User142', 'User169', 'User726', 'User195', 'User674', 'User136', 'User141', 'User411', 'User555', 'User202', 'User170', 'User228', 'User160', 'User430', 'User93', 'User236', 'User235', 'User89', 'User550', 'User318', 'User269', 'User55', 'User88', 'User558', 'User7', 'User285', 'User547', 'User593', 'User608', 'User10', 'User34', 'User100', 'User176', 'User134', 'User552', 'User561', 'User551', 'User14', 'User50', 'User431', 'User501', 'User32', 'User522', 'User67', 'User75', 'User335', 'User76', 'User564', 'User206', 'User284', 'User145', 'User601', 'User234', 'User274', 'User102', 'User163', 'User575', 'User689', 'User443', 'User626', 'User83', 'User71', 'User79', 'User197', 'User496', 'User282', 'User208', 'User166', 'User418', 'User724', 'User580', 'User86', 'User412', 'User556', 'User270', 'User17', 'User444', 'User162', 'User437', 'User57', 'User486', 'User147', 'User325', 'User718', 'User565', 'User557', 'User15', 'User489', 'User222', 'User420', 'User619', 'User441', 'User91', 'User715', 'User109', 'User454', 'User500', 'User563', 'User690', 'User249', 'User29', 'User224', 'User39', 'User38', 'User695', 'User553', 'User268', 'User409', 'User668', 'User250', 'User129']",215,423,"4444                      Dizionario biografico Italianinan
13982                                    Neapel Umgebungnan
15961                            Dizionario architetturanan
30161                              Catalogo arte modernanan
30297       Dizionario Bolaffi scultori italiani moderninan
                                ...                        
637328                                                     
637642                     Seventh century popes martyrsnan
639475                                             Operenan
640254    Theodosiani libri XVI cum constitutionibus Sir...
640276                                     Byzanz Indiennan
Name: title_tok, Length: 423, dtype: object","['Italian Biographies', 'Neapolitan Studies', 'Architectural Dictionary', 'Modern Art Catalog', 'Italian Sculpture']",0
9,9,821.3646408839779,393.7292817679558,"['User120', 'User293', 'User283', 'User185', 'User80', 'User71', 'User533', 'User715', 'User74', 'User70', 'User487', 'User422', 'User486', 'User444', 'User668', 'User630', 'User42', 'User690', 'User420', 'User23', 'User166', 'User309', 'User45', 'User61', 'User186', 'User566', 'User670', 'User224', 'User488', 'User204', 'User12', 'User17', 'User33', 'User82', 'User269', 'User41', 'User55', 'User572', 'User697', 'User72', 'User9', 'User129', 'User464', 'User638']",44,181,"49880                              L immagine voce poetinan
58103     Delitiæ Neapolitanæ Außführliche Beschreibung ...
59727                   Chilometri amore nell' obiettivonan
66492     presencia Abu Abdullad Mohammed Ibn Al-Sharif ...
69029                                  Ferrante Imperatonan
                                ...                        
640219                  Scritti modernismo film italianonan
640228                              L Italia neorealistanan
640229                                     Brutal visionnan
640244             Amerikanische Fernsehserien Gegenwartnan
640303                kaleidoscope maritime perspectivesnan
Name: title_tok, Length: 181, dtype: object","['Neorealism', 'Iconography', 'Modernism', 'Maritime Art', 'Arabesque']",1
