cluster,Applied Arts,Architecture,Art in General,Catalogues,"Collecting Art, Museum Studies",Congress Publications,Cultural Institutions,European Topography,Graphic Arts,Iconography,Italian Art,Italian Artists,Italian Topography,K,Manuals,Manuscript Illumination,Non-Italian Artists,Ornament,Painting,Registers of Artistic Monuments,Related Disciplines,Rome,Sculpture,Sources,Travel Literature,World Topography
2,0.0,1.0,0.0,11.0,0.0,0.0,3.0,2.0,0.0,4.0,43.0,43.0,110.0,0.0,3.0,0.0,12.0,1.0,3.0,0.0,36.0,116.0,0.0,122.0,19.0,0.0
3,0.0,0.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,78.0,3.0,0.0,0.0,7.0,0.0
5,1.0,0.0,2.0,20.0,2.0,0.0,0.0,4.0,3.0,4.0,16.0,11.0,13.0,5.0,1.0,0.0,10.0,0.0,7.0,0.0,15.0,11.0,1.0,0.0,1.0,0.0
7,25.0,11.0,42.0,34.0,0.0,16.0,1.0,28.0,1.0,56.0,29.0,18.0,39.0,21.0,11.0,4.0,23.0,1.0,17.0,1.0,73.0,46.0,4.0,2.0,3.0,0.0
28,2.0,4.0,6.0,50.0,0.0,7.0,2.0,3.0,3.0,15.0,40.0,69.0,41.0,5.0,14.0,0.0,16.0,0.0,3.0,0.0,27.0,28.0,1.0,2.0,3.0,1.0
29,1.0,1.0,15.0,16.0,0.0,1.0,0.0,0.0,0.0,44.0,3.0,12.0,7.0,2.0,8.0,0.0,10.0,0.0,7.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0
42,2.0,0.0,7.0,3.0,4.0,7.0,0.0,0.0,0.0,7.0,11.0,1.0,28.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0
55,3.0,4.0,17.0,69.0,3.0,18.0,1.0,7.0,2.0,31.0,32.0,58.0,32.0,7.0,10.0,0.0,33.0,0.0,7.0,0.0,39.0,21.0,2.0,11.0,9.0,0.0
90,0.0,1.0,4.0,9.0,0.0,2.0,0.0,4.0,2.0,19.0,13.0,4.0,14.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0
112,3.0,1.0,3.0,40.0,0.0,8.0,2.0,2.0,0.0,2.0,0.0,3.0,20.0,4.0,2.0,0.0,6.0,0.0,4.0,0.0,54.0,3.0,1.0,2.0,2.0,0.0
113,4.0,6.0,7.0,36.0,4.0,3.0,4.0,5.0,1.0,6.0,14.0,24.0,23.0,6.0,3.0,0.0,17.0,0.0,2.0,0.0,9.0,5.0,0.0,7.0,3.0,1.0
114,7.0,12.0,39.0,323.0,4.0,66.0,8.0,16.0,2.0,62.0,125.0,325.0,126.0,56.0,32.0,4.0,97.0,2.0,45.0,0.0,152.0,145.0,3.0,47.0,22.0,3.0
