Subject,Z36H_LOAN_DATE,usertype,count
Applied Arts,2013,External,185
Applied Arts,2013,Internal,54
Applied Arts,2014,External,224
Applied Arts,2014,Internal,67
Applied Arts,2015,External,155
Applied Arts,2015,Internal,63
Applied Arts,2016,External,164
Applied Arts,2016,Internal,47
Applied Arts,2017,External,105
Applied Arts,2017,Internal,133
Applied Arts,2018,External,75
Applied Arts,2018,Internal,35
Applied Arts,2019,External,17
Applied Arts,2019,Internal,49
Applied Arts,2020,Internal,36
Applied Arts,2021,Internal,40
Applied Arts,2022,External,1
Applied Arts,2022,Internal,66
Applied Arts,2023,Internal,63
Architecture,2013,External,242
Architecture,2013,Internal,132
Architecture,2014,External,516
Architecture,2014,Internal,146
Architecture,2015,External,699
Architecture,2015,Internal,212
Architecture,2016,External,533
Architecture,2016,Internal,162
Architecture,2017,External,417
Architecture,2017,Internal,215
Architecture,2018,External,209
Architecture,2018,Internal,129
Architecture,2019,External,67
Architecture,2019,Internal,111
Architecture,2020,Internal,62
Architecture,2021,Internal,87
Architecture,2022,External,4
Architecture,2022,Internal,98
Architecture,2023,External,1
Architecture,2023,Internal,129
Art in General,2013,External,1128
Art in General,2013,Internal,410
Art in General,2014,External,1335
Art in General,2014,Internal,443
Art in General,2015,External,1294
Art in General,2015,Internal,456
Art in General,2016,External,1244
Art in General,2016,Internal,605
Art in General,2017,External,824
Art in General,2017,Internal,629
Art in General,2018,External,764
Art in General,2018,Internal,684
Art in General,2019,External,471
Art in General,2019,Internal,641
Art in General,2020,Internal,304
Art in General,2021,Internal,364
Art in General,2022,External,12
Art in General,2022,Internal,498
Art in General,2023,External,6
Art in General,2023,Internal,511
Catalogues,2013,External,6023
Catalogues,2013,Internal,935
Catalogues,2014,External,6824
Catalogues,2014,Internal,919
Catalogues,2015,External,6191
Catalogues,2015,Internal,1323
Catalogues,2016,External,5397
Catalogues,2016,Internal,1571
Catalogues,2017,External,4345
Catalogues,2017,Internal,2106
Catalogues,2018,External,2964
Catalogues,2018,Internal,1637
